"method","exper","id.exper","elapsed.time","xCH4","vBg","vCH4","cvBg","cvCH4"
"grav","2","A1-E2",1.82152777777778,0.5017,731.489590187517,367.788091106376,1396.56311196567,732.303896654192
"grav","2","A1-E2",1.82152777777778,0.5017,731.489590187517,367.788091106376,1396.56311196567,732.303896654192
"man","2","A1-E2",0,0,-39.3826852989392,0,-39.3826852989392,0
"man","2","A1-E2",0,0,-39.3826852989392,0,-39.3826852989392,0
"man","2","A1-E2",1.00486111111111,0.547,713.858562038033,391.254079838854,674.475876739094,391.254079838854
"man","2","A1-E2",1.00486111111111,0.547,713.858562038033,391.254079838854,674.475876739094,391.254079838854
"man","2","A1-E2",1.82152777777778,0.5017,703.65061473878,353.79083977704,1378.12649147787,745.044919615894
"man","2","A1-E2",1.82152777777778,0.5017,703.65061473878,353.79083977704,1378.12649147787,745.044919615894
"man","2","A1-E2",2.97916666666667,0.5491,404.353091836854,222.468027514671,1782.47958331473,967.512947130565
"man","2","A1-E2",2.97916666666667,0.5491,404.353091836854,222.468027514671,1782.47958331473,967.512947130565
"man","2","A1-E2",4.62291666666667,0.5491,240.261064833976,132.18745265278,2022.7406481487,1099.70039978334
"man","2","A1-E2",4.62291666666667,0.5491,240.261064833976,132.18745265278,2022.7406481487,1099.70039978334
"man","2","A1-E2",6.75208333333333,0.565,171.463418054435,97.0610812129198,2194.20406620314,1196.76148099626
"man","2","A1-E2",6.75208333333333,0.565,171.463418054435,97.0610812129198,2194.20406620314,1196.76148099626
"man","2","A1-E2",11.1263888888889,0.5654,180.746093742604,102.38802477044,2374.95015994574,1299.1495057667
"man","2","A1-E2",11.1263888888889,0.5654,180.746093742604,102.38802477044,2374.95015994574,1299.1495057667
"man","2","A1-E2",14.7868055555556,0.5689,90.4737031976445,51.5675021520156,2465.42386314339,1350.71700791872
"man","2","A1-E2",14.7868055555556,0.5689,90.4737031976445,51.5675021520156,2465.42386314339,1350.71700791872
"man","2","A1-E2",20.0701388888889,0.5721,98.3741256941427,56.3851255777006,2563.79798883753,1407.10213349642
"man","2","A1-E2",20.0701388888889,0.5721,98.3741256941427,56.3851255777006,2563.79798883753,1407.10213349642
"man","2","A1-E2",31.0743055555556,0.5813,122.023201614094,71.0619284695337,2685.82119045162,1478.16406196595
"man","2","A1-E2",31.0743055555556,0.5813,122.023201614094,71.0619284695337,2685.82119045162,1478.16406196595
"grav","2","A1-E2",0,NA,0,0,0,0
"grav","2","A1-E2",0,NA,0,0,0,0
"gd","2","A1-E2",4.62291666666667,0.577997851856766,236.653056448236,136.784958262418,2083.45710080774,1157.3133471673
"gd","2","A1-E2",4.62291666666667,0.577997851856766,236.653056448236,136.784958262418,2083.45710080774,1157.3133471673
"gd","2","A1-E2",6.75208333333333,0.636593247298052,167.47754764029,106.615075901846,2250.93464844803,1263.92842306915
"gd","2","A1-E2",6.75208333333333,0.636593247298052,167.47754764029,106.615075901846,2250.93464844803,1263.92842306915
"grav","2","A1-E2",2.97916666666667,0.5491,382.442337251601,210.413112015457,1779.00544921727,942.717008669649
"grav","2","A1-E2",2.97916666666667,0.5491,382.442337251601,210.413112015457,1779.00544921727,942.717008669649
"grav","2","A1-E2",4.62291666666667,0.5491,229.465402350926,126.247867209255,2008.4708515682,1068.9648758789
