"descrip","exper","elapsed.time","mean.vol","sd.vol","mean.grav","sd.grav","mean.man","sd.man","mean.gd","sd.gd"
"B",2,0.816666666666667,249.34345327061,19.0420046285118,122.618947774265,12.0080599474339,236.435652964679,17.2783786141155,241.641531132173,9.96976571468129
"B",2,1.97430555555556,308.427793004091,4.11659926325385,184.412055090146,1.56735146973508,298.687296248243,4.7735821880776,286.457991831513,26.3480826521065
"B",2,3.61805555555556,338.415327007479,4.35337660723502,214.174912708986,9.66552811797199,327.45294454693,3.63508349505932,333.507472024424,16.7636271920834
"B",2,5.74722222222222,353.467137940992,5.19689748922851,228.371091538062,5.32121930231123,342.56510248952,3.29544057206362,353.647101726562,30.376010562113
"B",2,10.1215277777778,370.508414708949,3.37205870483116,239.423261549206,2.45741163805273,355.763992325217,3.07186497271579,400.377054544821,38.9641876590094
"B",2,13.7819444444444,363.312988217781,21.677575716582,246.897541701071,8.49598301509368,353.191806534404,15.5741806928342,382.047258373032,55.4956525001864
"B",2,19.0652777777778,370.920037805739,23.318607294867,254.015717874783,8.68061676954915,360.886900946924,17.3145540156288,392.524185505887,58.8826587779188
"B",2,30.0694444444444,380.03373681455,27.2909660644797,259.411594337315,5.52432144407391,370.630047580749,21.5402789896203,394.111952895322,79.3405810117284
"C",2,0,132.10528540581,9.42998032221385,0,0,126.192826941204,7.83611302543524,88.2510736608414,17.2451672652525
"C",2,0.816666666666667,246.636040623007,13.892604251909,87.8645263275017,6.91372742720197,235.850663053993,10.4340880258853,213.829778522143,22.0159156972701
"C",2,1.97430555555556,343.892970610784,3.47969624323121,190.216522916309,5.74503411671435,330.234071542191,5.76257041337215,310.3044202185,10.471931067051
"C",2,3.61805555555556,379.038508657978,58.0535307851048,267.839466653052,15.9509854352286,362.679267423571,60.9066556242337,358.021627502702,50.1536839689092
"C",2,5.74722222222222,419.741140956843,59.3186662206189,315.102555198925,12.4177888381889,400.525734731868,62.2428488066357,406.824583568249,57.5369546384072
"C",2,10.1215277777778,457.842539048405,57.7646705306498,338.253169425254,7.88283055724975,422.27437131532,54.1744461492518,468.351554367388,57.5582353393155
"C",2,13.7798611111111,499.105690148348,NA,355.973244831036,NA,444.782501182379,NA,507.603239969932,NA
"C",2,13.7819444444444,458.790273599498,72.5652708400597,354.854752131478,9.29958560003191,431.203466758959,76.1225186174764,498.736202490945,64.0861064106368
"C",2,19.0652777777778,492.418453103818,56.6852433262196,365.699789671602,16.9994562383472,453.818960456308,55.1923468089668,541.325567619017,34.3966534996402
"C",2,30.0694444444444,512.88231831153,55.1872833664759,380.731256107537,10.7490853226592,470.918334806657,58.3267593504669,556.524424039289,52.986888581138
"CB",2,0,91.1644325360951,16.1037051519989,0,0,86.3593939416351,15.4238776612723,73.3773366422674,14.6675039133495
"CB",2,0.816666666666667,194.422361770228,29.6702025769053,100.374353123232,4.96157949219723,185.376689345509,27.8116612964001,176.096650820237,18.7354448367927
"CB",2,1.97430555555556,282.765872576151,51.6791577565037,204.698685383377,0.587058369512375,266.454575934179,46.6332651042049,265.689454324648,34.2262604649423
"CB",2,3.61805555555556,346.876188918957,73.7335744492822,288.931891394677,15.571742155513,328.538247702653,67.6423067182003,340.298868823293,64.3704309353679
"CB",2,5.74722222222222,372.567841951472,85.7254780303569,327.483122097831,14.9259426050412,358.467087070816,83.8635680780039,376.977121159668,80.9401408899903
"CB",2,10.1215277777778,400.035143974492,109.487168070461,360.996310491026,12.1284437766007,386.68885261447,108.584580921049,419.424919912216,110.978760325506
"CB",2,13.05625,412.271968370736,113.315874690266,377.59599546198,4.4919168862235,397.374371180095,114.339069537767,421.875607533968,114.497109133514
"CB",2,19.0652777777778,419.530779094354,126.263324031043,392.741813642067,11.0418920232996,403.958270717503,128.879982838403,435.445619656997,129.663946336929
"CB",2,30.0694444444444,508.197059227257,14.9380392777602,403.40919286362,10.0252594259428,492.544988468739,39.8418789644302,525.190161497957,25.9662160419061
"Cellulose",2,0,7.77230604014024,4.49498515246742,0,0,4.16640471800985,5.43906628828116,1.26230166236266,16.3800772637295
"Cellulose",2,0.816666666666667,32.6130154361123,8.49903186577813,15.0863508252999,15.9057475316428,30.0319941162155,11.1841012167905,42.8038993750201,26.3083586212995
"Cellulose",2,1.97430555555556,170.176219048059,26.8062416567627,151.759711301024,18.4346372971468,163.693939300742,29.9489217412465,201.323784717628,31.0770917574137
"Cellulose",2,3.61805555555556,247.806472516151,39.3117823602428,250.015898362746,17.2452259078675,239.619328347597,41.7634311694272,292.954867994801,29.1388367999492
"Cellulose",2,5.74722222222222,290.144365358883,52.1827371947364,297.861413826151,11.7855470407644,281.327701013299,53.7998847772973,350.201756705402,56.3469685798564
"Cellulose",2,10.1215277777778,291.807757514982,75.8281964739241,311.114533208423,4.80991454672832,285.202213925664,79.5481303103425,384.958567180007,75.0072405635778
"Cellulose",2,13.7819444444444,297.005782907162,59.836300929273,324.973672875521,15.1510841124346,290.054741238862,63.8671912009872,378.816915136304,68.4722395449676
"Cellulose",2,19.0652777777778,303.850890613466,65.7370717818033,327.356821802652,8.49728302113141,296.865801261394,70.3640500475378,380.30971227543,66.4227793824503
"Cellulose",2,30.0694444444444,312.031748796751,78.9016922456844,342.979966914119,11.4074789493257,306.131396857399,82.6580488862677,380.5427203463,97.2965843231312
"Ethanol",2,0,60.6016708133611,7.6152388197514,0,0,52.4874587040826,8.7009534589347,0.172146671061467,42.1160532362526
"Ethanol",2,0.816666666666667,149.272829275826,11.5701434334184,11.2799915083806,24.5213635416142,139.365012439074,12.2481656165876,102.036003038906,18.9864134485811
"Ethanol",2,1.97430555555556,521.934388268656,18.8177850825518,405.835021365951,7.03980744414932,506.011447834362,18.5671045527095,451.127935635798,45.5961565110957
"Ethanol",2,3.61805555555556,667.945038772055,10.1522667197274,555.726224662504,21.1393140247505,648.573352707599,10.940897160063,601.843276729033,44.0092229477211
"Ethanol",2,5.74722222222222,682.271157994556,7.47366137048474,595.131660171959,42.3416839667513,662.588293714477,11.4708804905245,614.116289315326,82.7783473471015
"Ethanol",2,10.1215277777778,694.221422660761,14.4243340033303,599.48154669371,29.3164386610579,675.755723560088,16.1788543341774,651.779693900013,53.7324746315504
"Ethanol",2,13.7819444444444,700.749905830654,13.8361557860776,618.536442856988,29.3686110685374,685.399130678181,15.5104135061091,643.757211292442,50.5621713419947
"Ethanol",2,19.0652777777778,712.165710057057,16.2345757427478,630.009483437662,13.4039895596419,698.169949591507,16.5060911911243,644.363288148814,45.1708315421892
"Ethanol",2,30.0694444444444,735.119042501546,28.7767608046253,628.849740909117,13.840898603764,724.124504190079,26.4198679895442,676.613535185237,47.4217849001941
