"id","date","day","time","pres.init","pres.resid","mass.init","mass.final","cCH4","cCO2","xCO2","notes","date.time","start.time","elapsed.time","xCH4","vol.hs","temperature","pressure","massloss","cmassloss","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4","method"
"C3","19112018",6.8395833333343,"0839",424,NA,184.2222,184.1868,58.06,37.22,0.39063811922754,NA,2018-11-19 08:39:00,2018-11-12 12:30:00,6.83958333333333,0.60936188077246,79.0056,30,1050,0.0389999999999873,0.803449999999998,31.4005676631177,19.1669829094333,644.936050581825,391.312112597609,32.0232418094118,19.5470647235013,"grav"
"C3","21112018",8.91666666666424,"1030",538,NA,184.1899,184.1456,62.59,37.32,0.373536182564308,NA,2018-11-21 10:30:00,2018-11-12 12:30:00,8.91666666666667,0.626463817435692,79.0056,30,1050,0.0412000000000035,0.844650000000001,33.7567298995092,21.1818978185717,678.692780481335,412.494010416181,16.2519863106965,10.1979046669152,"grav"
"C3","23112018",10.878472222219,"0935",382,NA,184.1488,184.1163,61.26,37.05,0.376869087580104,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222,0.623130912419896,79.0056,30,1050,0.0293000000000063,0.873950000000008,23.9244076119171,14.9325962829407,702.617188093252,427.426606699121,12.1950962694374,7.61165969820697,"grav"
"C3","25112018",13.125,"1530",342,NA,184.1142,184.0855,60.39,37.05,0.380233990147783,NA,2018-11-25 15:30:00,2018-11-12 12:30:00,13.125,0.619766009852217,79.0056,30,1050,0.0307999999999993,0.904750000000007,25.0625657778762,15.5587429615064,727.679753871128,442.985349660628,11.1561343802602,6.92568465674475,"grav"
"C3","28112018",15.8541666666642,"0900",304,NA,184.0837,184.0583,60.532579,37.081952,0.379881474818539,NA,2018-11-28 09:00:00,2018-11-12 12:30:00,15.8541666666667,0.620118525181461,79.0056,30,1050,0.0271999999999935,0.931950000000001,22.1411661391887,13.752946355512,749.820920010317,456.73829601614,8.11279369985542,5.03924751957693,"grav"
"C3","01122018",18.909722222219,"1020",286,NA,184.0583,184.0348,60.95,37.02,0.377870776768399,NA,2018-12-01 10:20:00,2018-11-12 12:30:00,18.9097222222222,0.622129223231602,79.0056,30,1050,0.0235000000000127,0.955450000000013,19.1687916448223,11.9451628390459,768.989711655139,468.683458855186,6.27342272012366,3.90932602005139,"grav"
"C3","05122018",22.8611111111095,"0910",289,NA,184.0299,184.0064,61.89,36.65,0.371930180637305,NA,2018-12-05 09:10:00,2018-11-12 12:30:00,22.8611111111111,0.628069819362695,79.0056,30,1050,0.0283999999999764,0.98384999999999,23.3077890161117,14.6627173064787,792.297500671251,483.346176161664,5.89863201813722,3.71077555735138,"grav"
"C3","09122018",27.1458333333285,"1600",276,NA,184.0044,183.9829,63.08,36.92,0.3692,NA,2018-12-09 16:00:00,2018-11-12 12:30:00,27.1458333333333,0.6308,79.0056,30,1050,0.0235000000000127,1.00735,19.3408966860023,12.2199257111654,811.638397357253,495.56610187283,4.51392078247056,2.85197617894298,"grav"
"I1","12112018",0,"1230",0,0,NA,183.7168,0,0,NA,NA,2018-11-12 12:30:00,2018-11-12 12:30:00,0,NA,79.961,30,1050,0,0,0,0,0,0,NA,NA,"grav"
"I1","13112018",0.840277777773736,"0840",348,NA,183.7157,183.6832,11.78,22.22,0.653529411764706,NA,2018-11-13 08:40:00,2018-11-12 12:30:00,0.840277777777778,0.346470588235294,79.961,30,1050,0.033600000000007,0.033600000000007,31.1592505694622,10.8266406537686,31.1592505694622,10.8266406537686,37.0820833223352,12.884597141675,"grav"
"I1","14112018",1.84375,"0845",260,NA,183.682,183.6602,22.07,24.42,0.525274252527425,NA,2018-11-14 08:45:00,2018-11-12 12:30:00,1.84375,0.474725747472575,79.961,30,1050,0.0229999999999961,0.0566000000000031,16.2943388083567,7.75311413475051,47.4535893778189,18.5797547885191,16.237957013172,7.7262867502012,"grav"
"I1","15112018",2.85069444444525,"0855",216,NA,183.6585,183.641,28.81,26.01,0.474461875228019,NA,2018-11-15 08:55:00,2018-11-12 12:30:00,2.85069444444444,0.525538124771981,79.961,30,1050,0.0192000000000121,0.0758000000000152,14.248259825677,7.50353980164883,61.7018492034959,26.083294590168,14.1499959648103,7.45179125129263,"grav"
"I1","16112018",3.80902777777374,"0755",188,NA,183.6415,183.6269,33.7,27.39,0.448354886233426,NA,2018-11-16 07:55:00,2018-11-12 12:30:00,3.80902777777778,0.551645113766574,79.961,30,1050,0.0140999999999849,0.0899000000000001,10.7251963427053,5.92810089193062,72.4270455462013,32.0113954820986,11.1915092271708,6.18584440897108,"grav"
"I1","17112018",4.86111111110949,"0910",158,NA,183.6256,183.6123,36.96,27.54,0.426976744186046,NA,2018-11-17 09:10:00,2018-11-12 12:30:00,4.86111111111111,0.573023255813954,79.961,30,1050,0.0146000000000015,0.104500000000002,11.3376107607599,6.50884240600187,83.7646563069612,38.5202378881005,10.7763429013163,6.18662248491267,"grav"
"I1","18112018",5.85902777777665,"0907",130,NA,183.6145,183.6039,39.62,27.97,0.413818612220743,NA,2018-11-18 09:07:00,2018-11-12 12:30:00,5.85902777777778,0.586181387779257,79.961,30,1050,0.00839999999999463,0.112899999999996,6.60799399513292,3.88049069867155,90.3726503020941,42.400728586772,6.62178938969479,3.88859193186293,"grav"
"I1","19112018",6.8395833333343,"0839",118,NA,183.6004,183.5923,42.59,29.02,0.405250663315179,NA,2018-11-19 08:39:00,2018-11-12 12:30:00,6.83958333333333,0.594749336684821,79.961,30,1050,0.0116000000000156,0.124500000000012,9.20339502250463,5.48341031322949,99.5760453245987,47.8841389000015,9.3858986065203,5.59214649507823,"grav"
"I1","21112018",8.91666666666424,"1030",190,NA,183.5946,183.58,47.38,29.33,0.382349107026463,NA,2018-11-21 10:30:00,2018-11-12 12:30:00,8.91666666666667,0.617650892973537,79.961,30,1050,0.012299999999982,0.136799999999994,9.9871241753829,6.17886576916904,109.563169499982,54.0630046691705,4.80824433719538,2.97477990892792,"grav"
"I1","23112018",10.878472222219,"0935",170,NA,183.5817,183.5681,49.61,29.3,0.371309086300849,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222,0.628690913699151,79.961,30,1050,0.0119000000000256,0.148700000000019,9.77255907491855,6.15389054794258,119.3357285749,60.2168952171131,4.9814106434983,3.13685040319905,"grav"
"I1","25112018",13.125,"1530",178,NA,183.5679,183.5539,50.71,29.33,0.366441779110445,NA,2018-11-25 15:30:00,2018-11-12 12:30:00,13.125,0.633558220889555,79.961,30,1050,0.0141999999999882,0.162900000000008,11.7203121398789,7.43739331180582,131.056040714779,67.6542885289189,5.21707866504657,3.31061711561063,"grav"
"I1","28112018",15.8541666666642,"0900",178,NA,183.5526,183.5397,52.452556,29.966672,0.363588360716021,NA,2018-11-28 09:00:00,2018-11-12 12:30:00,15.8541666666667,0.636411639283979,79.961,30,1050,0.0141999999999882,0.177099999999996,11.7551413724724,7.49299760971299,142.811182087252,75.1472861386319,4.30722737311966,2.7455258417269,"grav"
"I1","01122018",18.909722222219,"1020",170,NA,183.538,183.526,55.31,31.04,0.359467284308049,NA,2018-12-01 10:20:00,2018-11-12 12:30:00,18.9097222222222,0.640532715691951,79.961,30,1050,0.0137,0.190799999999996,11.3901117127557,7.30720180001836,154.201293800007,82.4544879386503,3.72767292417459,2.39144786182419,"grav"
"I1","05122018",22.8611111111095,"0910",180,NA,183.5203,183.5077,56.78,31.03,0.353376608586721,NA,2018-12-05 09:10:00,2018-11-12 12:30:00,22.8611111111111,0.646623391413279,79.961,30,1050,0.0183000000000106,0.209100000000007,15.312066783805,9.91643262787265,169.513360583812,92.3709205665229,3.87511004721954,2.50960685134211,"grav"
"I1","09122018",27.1458333333285,"1600",200,NA,183.5068,183.4914,58.15,31.18,0.349042874734132,NA,2018-12-09 16:00:00,2018-11-12 12:30:00,27.1458333333333,0.650957125265868,79.961,30,1050,0.0163000000000011,0.225400000000008,13.7011122740608,8.93244239814844,183.214472857873,101.303362964671,3.1976663978359,2.08471913344145,"grav"
"I2","12112018",0,"1230",0,NA,NA,184.28255,0,0,NA,NA,2018-11-12 12:30:00,2018-11-12 12:30:00,0,NA,79.961,30,1050,0,0,0,0,0,0,NA,NA,"grav"
"I2","13112018",0.840277777773736,"0840",344,NA,184.2815,184.25,11.77,22.2,0.653517809832205,NA,2018-11-13 08:40:00,2018-11-12 12:30:00,0.840277777777778,0.346482190167795,79.961,30,1050,0.0325499999999863,0.0325499999999863,30.4914637232173,10.5949646529672,30.4914637232173,10.5949646529672,36.2873617863082,12.6088835539444,"grav"
"I2","14112018",1.84375,"0845",266,NA,184.2496,184.2266,21.61,24.25,0.528783253379852,NA,2018-11-14 08:45:00,2018-11-12 12:30:00,1.84375,0.471216746620148,79.961,30,1050,0.0234000000000094,0.0559499999999957,16.5259610101052,7.80532073803852,47.0174247333224,18.4002853910057,16.4687777540148,7.77831270780309,"grav"
"I2","15112018",2.85069444444525,"0855",208,NA,184.2241,184.2067,28.68,26.19,0.477310005467469,NA,2018-11-15 08:55:00,2018-11-12 12:30:00,2.85069444444444,0.522689994532531,79.961,30,1050,0.0198999999999785,0.0758499999999742,14.7285263275707,7.71452211842966,61.7459510608931,26.1148075094354,14.6269502839323,7.66131851761291,"grav"
"I2","16112018",3.80902777777374,"0755",178,NA,184.2073,184.1926,33.57,26.88,0.444665012406948,NA,2018-11-16 07:55:00,2018-11-12 12:30:00,3.80902777777778,0.555334987593052,79.961,30,1050,0.0141000000000133,0.0899499999999875,10.7632283647732,5.98881839061834,72.5091794256663,32.1036259000537,11.2311948154155,6.2492017989061,"grav"
"I2","17112018",4.86111111110949,"0910",147,NA,184.1919,184.1801,36.52,27.79,0.432125641424351,NA,2018-11-17 09:10:00,2018-11-12 12:30:00,4.86111111111111,0.567874358575649,79.961,30,1050,0.0124999999999886,0.102449999999976,9.65824847574934,5.49503389597208,82.1674279014157,37.5986597960258,9.18011736308848,5.22300251498337,"grav"
"I2","18112018",5.85902777777665,"0907",124,NA,184.1819,184.1719,39.29,28.07,0.416716152019002,NA,2018-11-18 09:07:00,2018-11-12 12:30:00,5.85902777777778,0.583283847980998,79.961,30,1050,0.00820000000001642,0.110649999999993,6.43220766034195,3.75863792090589,88.5996355617576,41.3572977169317,6.44563606881866,3.76648476416457,"grav"
"I2","19112018",6.8395833333343,"0839",112,NA,184.1677,184.1714,41.56,28.73,0.408735239721155,"Marked yellow in original data file",2018-11-19 08:39:00,2018-11-12 12:30:00,6.83958333333333,0.591264760278845,79.961,30,1050,0.000499999999988177,0.111149999999981,0.395322592196859,0.234157978961135,88.9949581539545,41.5914556958928,0.403161850399063,0.238801338317305,"grav"
"I2","21112018",8.91666666666424,"1030",196,NA,184.1738,184.158,46.87,29.19,0.383775966342361,NA,2018-11-21 10:30:00,2018-11-12 12:30:00,8.91666666666667,0.616224033657639,79.961,30,1050,0.0134000000000185,0.124549999999999,10.8644439161008,6.70616262335306,99.8594020700552,48.2976183192459,5.23062495459215,3.22864399118302,"grav"
"I2","23112018",10.878472222219,"0935",169,NA,184.1604,184.1466,49.45,28.91,0.368938233792751,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222,0.631061766207249,79.961,30,1050,0.0113999999999805,0.13594999999998,9.38493615190899,5.9320249644484,109.244338221964,54.2296432836943,4.78382586150405,3.02375785798432,"grav"
"I2","25112018",13.125,"1530",180,NA,184.1456,184.1328,50.79,29.55,0.367811799850635,NA,2018-11-25 15:30:00,2018-11-12 12:30:00,13.125,0.632188200149365,79.961,30,1050,0.0138000000000034,0.149749999999983,11.3739817658885,7.2020569951256,120.618319987853,61.4317002788199,5.06291614926723,3.20586153724292,"grav"
"I2","28112018",15.8541666666642,"0900",175,NA,184.1314,184.1175,52.55,30.04,0.363724421842838,NA,2018-11-28 09:00:00,2018-11-12 12:30:00,15.8541666666667,0.636275578157162,79.961,30,1050,0.0152999999999963,0.165049999999979,12.6639564397082,8.0705762355229,133.282276427561,69.5022765143428,4.6402283137862,2.95715770461908,"grav"
"I2","01122018",18.909722222219,"1020",176,NA,184.1158,184.1028,54.31,30.53,0.35985384252711,"Composition is marked red in original file",2018-12-01 10:20:00,2018-11-12 12:30:00,18.9097222222222,0.64014615747289,79.961,30,1050,0.0147000000000048,0.179749999999984,12.216567592557,7.83268894509137,145.498844020118,77.3349654594342,3.99814939392773,2.56342547293899,"grav"
"I2","05122018",22.8611111111095,"0910",172,NA,184.0993,184.0869,56.57,31.26,0.355914835477627,NA,2018-12-05 09:10:00,2018-11-12 12:30:00,22.8611111111111,0.644085164522373,79.961,30,1050,0.0158999999999878,0.195649999999972,13.2684786368465,8.55932433893357,158.767322656964,85.8942897983677,3.35792780967645,2.16615589596913,"grav"
"I2","09122018",27.1458333333285,"1600",192,NA,184.0863,184.072,58.22,31.44,0.350658041490074,NA,2018-12-09 16:00:00,2018-11-12 12:30:00,27.1458333333333,0.649341958509926,79.961,30,1050,0.0149000000000115,0.210549999999984,12.5029774937257,8.13115043001492,171.27030015069,94.0254402283826,2.91803688670421,1.8977077178641,"grav"
"I3","12112018",0,"1230",0,NA,NA,183.2664,0,0,NA,NA,2018-11-12 12:30:00,2018-11-12 12:30:00,0,NA,79.961,30,1050,0,0,0,0,0,0,NA,NA,"grav"
"I3","13112018",0.840277777773736,"0840",348,NA,183.2655,183.2331,11.85,22.27,0.652696365767878,NA,2018-11-13 08:40:00,2018-11-12 12:30:00,0.840277777777778,0.347303634232122,79.961,30,1050,0.033299999999997,0.033299999999997,30.9431273851008,10.7773576447483,30.9431273851008,10.7773576447483,36.824878871525,12.8259462879649,"grav"
"I3","14112018",1.84375,"0845",262,NA,183.2337,183.2102,21.96,24.41,0.526417942635324,NA,2018-11-14 08:45:00,2018-11-12 12:30:00,1.84375,0.473582057364675,79.961,30,1050,0.0229000000000212,0.0562000000000182,16.2069502907988,7.69299341103538,47.1500776758997,18.4703510557837,16.1508708780279,7.66637405667193,"grav"
"I3","15112018",2.85069444444525,"0855",202,NA,183.208,183.1925,28.86,26.04,0.47431693989071,NA,2018-11-15 08:55:00,2018-11-12 12:30:00,2.85069444444444,0.52568306010929,79.961,30,1050,0.0176999999999907,0.073900000000009,13.1368938000996,6.92016633527315,60.2869714759993,25.3905173910568,13.0462945325127,6.8724410502023,"grav"
"I3","16112018",3.80902777777374,"0755",191,NA,183.192,183.178,33.8,27.18,0.445719908166612,NA,2018-11-16 07:55:00,2018-11-12 12:30:00,3.80902777777778,0.554280091833388,79.961,30,1050,0.0144999999999982,0.0884000000000071,11.0573586159884,6.14081806846229,71.3443300919876,31.5313354595191,11.5381133384226,6.40781015839544,"grav"
