"id","date","day","time","pres.init","pres.resid","mass.init","mass.final","cCH4","cCO2","xCO2","notes","date.time","start.time","elapsed.time","xCH4","vol.hs","temperature","pres.init.abs","pres.resid.abs","rh.resid","pres.resid.prev","rh.resid.prev","temp.prev","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4","method"
"C3","09122018",27.1458333333285,"1600",276,0,184.0044,183.9829,63.08,36.92,0.3692,NA,2018-12-09 16:00:00,2018-11-12 12:30:00,27.1458333333333,0.6308,79.0056,30,1289.25,1013.25,0.785922047702152,1013.25,0.778076406220004,30,18.7229552657154,11.8294992292731,766.647958908469,470.473533457974,4.36970106687684,2.76085557376876,"man"
"I1","12112018",0,"1230",0,0,NA,183.7168,0,0,NA,NA,2018-11-12 12:30:00,2018-11-12 12:30:00,0,0,79.961,30,1013.25,1013.25,1,1013.25,1,20,-3.76126188331718,0,-3.76126188331718,0,NA,NA,"man"
"I1","13112018",0.840277777773736,"0840",348,0,183.7157,183.6832,11.78,22.22,0.653529411764706,NA,2018-11-13 08:40:00,2018-11-12 12:30:00,0.840277777777778,0.346470588235294,79.961,30,1361.25,1013.25,0.74435261707989,1013.25,1,30,24.7400841254279,8.5962273056889,20.9788222421108,8.5962273056889,29.4427447443109,10.2302209257785,"man"
"I1","14112018",1.84375,"0845",260,0,183.682,183.6602,22.07,24.42,0.525274252527425,NA,2018-11-14 08:45:00,2018-11-12 12:30:00,1.84375,0.474725747472575,79.961,30,1273.25,1013.25,0.795798154329472,1013.25,0.74435261707989,30,17.7097635898378,8.4265965024026,38.6885858319485,17.0228238080915,17.6484841310494,8.39743872903788,"man"
"I1","15112018",2.85069444444525,"0855",216,0,183.6585,183.641,28.81,26.01,0.474461875228019,NA,2018-11-15 08:55:00,2018-11-12 12:30:00,2.85069444444444,0.525538124771981,79.961,30,1229.25,1013.25,0.824283099450885,1013.25,0.795798154329472,30,14.7375059160953,7.76119073988056,53.4260917480439,24.784014547972,14.6358679442602,7.70766528650207,"man"
"I1","16112018",3.80902777777374,"0755",188,0,183.6415,183.6269,33.7,27.39,0.448354886233426,NA,2018-11-16 07:55:00,2018-11-12 12:30:00,3.80902777777778,0.551645113766574,79.961,30,1201.25,1013.25,0.843496357960458,1013.25,0.824283099450885,30,12.8331889008038,7.09324436945268,66.2592806488477,31.8772589174247,13.3911536356214,7.40164629855933,"man"
"I1","17112018",4.86111111110949,"0910",158,0,183.6256,183.6123,36.96,27.54,0.426976744186046,NA,2018-11-17 09:10:00,2018-11-12 12:30:00,4.86111111111111,0.573023255813954,79.961,30,1171.25,1013.25,0.865101387406617,1013.25,0.843496357960458,30,10.7586088696782,6.17644150237665,77.0178895185259,38.0537004198014,10.2260044701892,5.87067707156593,"man"
"I1","18112018",5.85902777777665,"0907",130,0,183.6145,183.6039,39.62,27.97,0.413818612220743,NA,2018-11-18 09:07:00,2018-11-12 12:30:00,5.85902777777778,0.586181387779257,79.961,30,1143.25,1013.25,0.886289088125957,1013.25,0.865101387406617,30,8.83345647071037,5.18737542693879,85.8513459892363,43.2410758467402,8.85189792472021,5.19820502073198,"man"
"I1","19112018",6.8395833333343,"0839",118,0,183.6004,183.5923,42.59,29.02,0.405250663315179,NA,2018-11-19 08:39:00,2018-11-12 12:30:00,6.83958333333333,0.594749336684821,79.961,30,1131.25,1013.25,0.895690607734807,1013.25,0.886289088125957,30,8.04451537144257,4.79294634695543,93.8958613606789,48.0340221936956,8.20403833914823,4.88799060879307,"man"
"I1","21112018",8.91666666666424,"1030",190,0,183.5946,183.58,47.38,29.33,0.382349107026463,NA,2018-11-21 10:30:00,2018-11-12 12:30:00,8.91666666666667,0.617650892973537,79.961,30,1203.25,1013.25,0.84209432786204,1013.25,0.895690607734807,30,13.1916253182028,8.16143673463653,107.087486678882,56.1954589283321,6.35103325249481,3.9292774650206,"man"
"I1","23112018",10.878472222219,"0935",170,0,183.5817,183.5681,49.61,29.3,0.371309086300849,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222,0.628690913699151,79.961,30,1183.25,1013.25,0.856327910416226,1013.25,0.84209432786204,30,11.6074692882293,7.30935418151598,118.694955967111,63.5048131098481,5.91672770798235,3.72583009606478,"man"
"I1","25112018",13.125,"1530",178,0,183.5679,183.5539,50.71,29.33,0.366441779110445,NA,2018-11-25 15:30:00,2018-11-12 12:30:00,13.125,0.633558220889555,79.961,30,1191.25,1013.25,0.850577124868835,1013.25,0.856327910416226,30,12.2193121406478,7.75404522551054,130.914268107759,71.2588583353587,5.43919922180303,3.45156881753792,"man"
"I1","28112018",15.8541666666642,"0900",178,0,183.5526,183.5397,52.452556,29.966672,0.363588360716021,NA,2018-11-28 09:00:00,2018-11-12 12:30:00,15.8541666666667,0.636411639283979,79.961,30,1191.25,1013.25,0.850577124868835,1013.25,0.850577124868835,30,12.2018963385081,7.77776950539363,143.116164446267,79.0366278407523,4.47092384922435,2.84986974243431,"man"
"I1","01122018",18.909722222219,"1020",170,0,183.538,183.526,55.31,31.04,0.359467284308049,NA,2018-12-01 10:20:00,2018-11-12 12:30:00,18.9097222222222,0.640532715691951,79.961,30,1183.25,1013.25,0.856327910416226,1013.25,0.850577124868835,30,11.6331587723952,7.46312598728493,154.749323218662,86.4997538280372,3.80721559823843,2.4424775958387,"man"
"I1","05122018",22.8611111111095,"0910",180,0,183.5203,183.5077,56.78,31.03,0.353376608586721,NA,2018-12-05 09:10:00,2018-11-12 12:30:00,22.8611111111111,0.646623391413279,79.961,30,1193.25,1013.25,0.849151477058454,1013.25,0.856327910416226,30,12.3614965315623,8.00557816692449,167.110819750224,94.5053319949617,3.12839279533387,2.02601626720057,"man"
"I1","09122018",27.1458333333285,"1600",200,0,183.5068,183.4914,58.15,31.18,0.349042874734132,NA,2018-12-09 16:00:00,2018-11-12 12:30:00,27.1458333333333,0.650957125265868,79.961,30,1213.25,1013.25,0.835153513290748,1013.25,0.849151477058454,30,13.7616071626968,8.97188205073392,180.872426912921,103.477214045696,3.21178514007834,2.0939238497661,"man"
"I2","12112018",0,"1230",0,0,NA,184.28255,0,0,NA,NA,2018-11-12 12:30:00,2018-11-12 12:30:00,0,0,79.961,30,1013.25,1013.25,1,1013.25,1,20,-3.76126188331718,0,-3.76126188331718,0,NA,NA,"man"
"I2","13112018",0.840277777773736,"0840",344,0,184.2815,184.25,11.77,22.2,0.653517809832205,NA,2018-11-13 08:40:00,2018-11-12 12:30:00,0.840277777777778,0.346482190167795,79.961,30,1357.25,1013.25,0.746546325290109,1013.25,1,30,24.4557153846128,8.4977042235498,20.6944535012957,8.4977042235498,29.1043224411921,10.1129703156295,"man"
"I2","14112018",1.84375,"0845",266,0,184.2496,184.2266,21.61,24.25,0.528783253379852,NA,2018-11-14 08:45:00,2018-11-12 12:30:00,1.84375,0.471216746620148,79.961,30,1279.25,1013.25,0.792065663474692,1013.25,0.746546325290109,30,18.1429602045778,8.56904015733835,38.8374137058735,17.0667443808881,18.0801817955655,8.53938949935448,"man"
"I2","15112018",2.85069444444525,"0855",208,0,184.2241,184.2067,28.68,26.19,0.477310005467469,NA,2018-11-15 08:55:00,2018-11-12 12:30:00,2.85069444444444,0.522689994532531,79.961,30,1221.25,1013.25,0.829682702149437,1013.25,0.792065663474692,30,14.157464813383,7.41541095250549,52.9948785192565,24.4821553333936,14.0598271250149,7.3642701873158,"man"
"I2","16112018",3.80902777777374,"0755",178,0,184.2073,184.1926,33.57,26.88,0.444665012406948,NA,2018-11-16 07:55:00,2018-11-12 12:30:00,3.80902777777778,0.555334987593052,79.961,30,1191.25,1013.25,0.850577124868835,1013.25,0.829682702149437,30,12.1386192211639,6.75410606973136,65.1334977404204,31.236261403125,12.666385274258,7.04776285537186,"man"
