"descrip","elapsed.time","n","mean.vol","se.vol","sd.vol","mean.grav","se.grav","sd.grav","mean.gd","se.gd","sd.gd"
"Substrate D",0,3,0,0,0,0,0,0,0,0,0
"Substrate D",0.725694444444444,3,19.3552475104408,0.257817637450164,0.446553247151056,18.7557907776989,0.506831949123293,0.877858686780708,18.9808528062316,1.05072099021694,1.81990213963482
"Substrate D",1.60416666666667,3,38.7727129113995,0.595564151850993,1.03154737017259,40.0146350651908,1.01478876835835,1.75766570574691,36.3562297023061,0.824843103845522,1.42867016413325
"Substrate D",2.97708333333333,3,79.7419765473133,1.42719416526648,2.47197280650739,81.8205026436778,1.3789353471888,2.38838608168362,75.1727742506726,1.72416948412978,2.98634914737259
"Substrate D",3.71875,3,105.110659481382,1.10887416020421,1.92062638467396,110.207492779203,2.36157677151916,4.09037095424566,96.6467207564434,1.02941081333883,1.78299183056366
"Substrate D",5.68888888888889,3,163.273648877515,1.08984747638004,1.88767120159096,170.795775436676,1.98051454577686,3.43035181841472,149.953257574282,2.11177591963679,3.65770318701141
"Substrate D",7.81527777777778,3,223.282798897088,1.53496915011537,2.65864455605063,234.884379272011,2.54835999685828,4.41388899053461,204.662452479665,2.67208957063776,4.62819489871951
"Substrate D",9.23958333333333,3,256.250274431301,0.964024387547417,1.6697392189676,272.377939111945,1.50760092388379,2.6112413977045,229.96324177771,4.08658218357692,7.07816797126099
"Substrate D",10.8388888888889,3,283.469536796104,1.04700566466329,1.81346700700925,302.205288373715,1.73952825497752,3.01295131882269,252.465018089371,5.05246988179676,8.7511345389835
"Substrate D",13.8597222222222,3,316.158700010982,0.857910760291027,1.4859450251841,337.921884578675,1.7625193376427,3.0527730421198,280.222483307574,5.57426265904972,9.65490614020811
"Substrate D",18.2409722222222,3,342.877052220016,1.09062766254692,1.88902252367136,367.442307698601,1.61688882298543,2.80053359160101,303.044363675951,3.6105677642174,6.2536868117949
"Substrate D",21.8006944444444,3,356.516119881735,0.857885228236873,1.48590080236909,383.707805552676,1.2576201652749,2.17826202287929,314.257496231848,3.81285933168294,6.60406608458796
"Substrate D",27.9395833333333,3,363.184464972079,0.765525781373871,1.32592954784341,398.207337651066,1.46548518790219,2.53829480318621,319.123894664164,3.91446275881673,6.7800483826068
"Substrate D",31.7576388888889,3,367.421633288586,0.775254745095881,1.34278060731492,405.050859290144,2.29815434238672,3.98052008464885,323.491958749532,3.98597338472197,6.90390841995574
"Substrate D",49.9388888888889,3,378.292848789349,1.04322421314874,1.80691734085969,419.159150451777,1.89437735177504,3.28115782198214,333.465553309507,4.8337355130193,8.37227549889944
"Substrate D",80.8354166666667,3,390.200407270406,1.40473813964343,2.4330778291922,436.32489820612,1.15800270378832,2.0057195182635,341.420904686219,5.94211827382141,10.2920507548422
"Substrate D",129.899305555556,3,400.780117483215,1.2394148373807,2.1467294699981,452.340175750269,1.52250740037035,2.63706017234105,347.560763229218,3.57387604686784,6.19013489312851
