"method","elapsed.time","id","exper","descrip","descrip1","substrate","tare","m.inoc","m.sub","m.tot1","m.tot2","m.tot","m.tot.sd","m.gained","c.sub.vs","c.inoc.vs","m.sub.vs","m.inoc.vs","ISR","vol.tot","vol.hs","notes.setup","cvCH4","vol.mi.mn","vol.mi.se","n","rsd.inoc","cvCH4.tot","cvCH4.inoc","fv.inoc","se.inoc","cvCH4.se","leak.l"
"gd04",31.75764,"L2","IIS-BMP2","Cellulose","Cellulose","CEL",322.04,142.8,1.62,468.51,468.5,468.505,7.07106781185904,2.04499999999996,989.19,22.3,1.6024878,3.18444,1.98718517545032,520,375.58,NA,403.100737121763,1.54701935786119,0.0564266071842637,4,7.29488055822077,540.957864210392,137.857127088629,0.254838937021189,5.02825638105505,0,FALSE
"gd04",31.75764,"L3","IIS-BMP2","Cellulose","Cellulose","CEL",321.59,145.19,1.64,470.55,470.55,470.55,0,2.13000000000005,989.19,22.3,1.6222716,3.237737,1.99580452496364,520,373.17,NA,446.823594615766,1.54701935786119,0.0564266071842637,4,7.29488055822077,585.278672401672,138.455077785906,0.236562656926759,5.05006627563674,0,FALSE
"gd04",31.75764,"C1","IIS-BMP2","FIC","Substrate C","SC",322.03,142.25,2.12,468.51,468.52,468.515,7.07106781185904,2.11500000000001,802.16,22.3,1.7005792,3.172175,1.86534975848229,520,375.63,NA,581.033555606317,1.54701935786119,0.0564266071842637,4,7.29488055822077,710.438586348639,129.405030742322,0.182148088841022,4.71997121449064,0,FALSE
"gd04",31.75764,"C2","IIS-BMP2","FIC","Substrate C","SC",321.69,146.13,2.14,471.9,471.9,471.9,0,1.94,802.16,22.3,1.7166224,3.258699,1.89832021299501,520,371.73,NA,593.207416906941,1.54701935786119,0.0564266071842637,4,7.29488055822077,724.899709145616,131.692292238675,0.181669671786585,4.80339771159718,0,FALSE
"gd04",31.75764,"C3","IIS-BMP2","FIC","Substrate C","SC",321.78,142.2,2.18,468.3,468.3,468.3,0,2.14000000000004,802.16,22.3,1.7487088,3.17106,1.81337224356622,520,375.62,NA,561.398425724994,1.54701935786119,0.0564266071842637,4,7.29488055822077,687.197616927017,125.799191202023,0.18306115752346,4.58845037069768,0,FALSE
"gd04",31.75764,"D1","IIS-BMP2","LBD","Substrate D","SD",322.24,143.09,3.79,471.15,471.15,471.15,0,2.02999999999992,861.15,22.3,3.2637585,3.190907,0.977678648711294,520,373.12,"D bottles received tool much inoculum (SDH mistake) so I doubled substrate mass. Noticed mistake after flushing so had to open, add substrate, and flush again.",330.013527836856,1.54701935786119,0.0564266071842637,4,7.29488055822077,397.838092649589,67.8245648127327,0.170482832252244,2.47386049611094,0,FALSE
"gd04",31.75764,"D2","IIS-BMP2","LBD","Substrate D","SD",323.34,142.92,3.78,472.1,472.1,472.1,0,2.06000000000006,861.15,22.3,3.255147,3.187116,0.979100483019661,520,373.3,"D bottles received tool much inoculum (SDH mistake) so I doubled substrate mass. Noticed mistake after flushing so had to open, add substrate, and flush again.",328.959166340845,1.54701935786119,0.0564266071842637,4,7.29488055822077,396.882368158005,67.9232018171593,0.171141898120599,2.47745822194051,0,FALSE
"gd04",31.75764,"D3","IIS-BMP2","LBD","Substrate D","SD",321.89,144.13,3.78,472.51,472.51,472.51,0,2.71000000000004,861.15,22.3,3.255147,3.214099,0.987389816803972,520,372.09,"D bottles received tool much inoculum (SDH mistake) so I doubled substrate mass. Noticed mistake after flushing so had to open, add substrate, and flush again.",340.910270636661,1.54701935786119,0.0564266071842637,4,7.29488055822077,409.408528948354,68.4982583116931,0.167310286592329,2.49843306414977,0,FALSE
"gd05",31.75764,"L1","IIS-BMP2","Cellulose","Cellulose","CEL",321.75,142.37,1.6,467.77,467.75,467.76,14.1421356237181,2.03999999999996,989.19,22.3,1.582704,3.174851,2.00596637147565,520,376.03,NA,422.81126746604,1.54037173943255,0.0583355397106974,4,7.57421578406616,561.373326159904,138.562058693864,0.24682693715019,5.24749466015881,0,FALSE
"gd05",31.75764,"L2","IIS-BMP2","Cellulose","Cellulose","CEL",322.04,142.8,1.62,468.51,468.5,468.505,7.07106781185904,2.04499999999996,989.19,22.3,1.6024878,3.18444,1.98718517545032,520,375.58,NA,420.347016004011,1.54037173943255,0.0583355397106974,4,7.57421578406616,557.611764222979,137.264748218968,0.246165445254269,5.19836411277989,0,FALSE
"gd05",31.75764,"L3","IIS-BMP2","Cellulose","Cellulose","CEL",321.59,145.19,1.64,470.55,470.55,470.55,0,2.13000000000005,989.19,22.3,1.6222716,3.237737,1.99580452496364,520,373.17,NA,429.954910217876,1.54037173943255,0.0583355397106974,4,7.57421578406616,567.815039710504,137.860129492628,0.242790556521565,5.22091184398233,0,FALSE
