"id","date","elapsed.time","exper","time","temp.air","pres.amb","mass.init","vol","mass.final","notes","date.time.e","etime","date.time","start.time","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.vent","cmass.leak","xCH4","vol.hs","massloss","cmassloss","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4","method"
"C3","17.12.2018",80.8354166666667,"IIS-BMP2","11.38",21.4,1010.47,465.93,104,465.82,NA,2022-12-18 11:38:00,80.8354166666468,2018-12-17 11:38:00,2018-09-27 15:35:00,0.129999999999995,0.110000000000014,0.0199999999999818,2.48000000000002,2.09000000000003,0.389999999999986,0.6,375.62,0.129999999999995,2.48000000000002,104.779361662794,62.9775476689804,1989.58329143098,1195.83737282868,3.39129893224299,2.03833738606306,"grav"
"C3","04.02.2019",129.899305555556,"IIS-BMP2","13.10",22.1,1009.4,465.78,99,465.66,NA,2023-02-04 13:10:00,128.899305555555,2019-02-04 13:10:00,2018-09-27 15:35:00,0.159999999999968,0.119999999999948,0.0400000000000205,2.63999999999999,2.20999999999998,0.430000000000007,0.6,375.62,0.159999999999968,2.63999999999999,128.859621559281,77.4509677342122,2118.44291299026,1273.2883405629,2.62636379784528,1.57857376347825,"grav"
"D1","27.09.2018",0,"IIS-BMP2","15.35",20.8,1007.24,471.15,0,471.15,NA,2022-09-28 15:35:00,0,2018-09-27 15:35:00,2018-09-27 15:35:00,0,0,0,0,0,0,0.6,373.12,0,0,0,0,0,0,NA,NA,"grav"
"D1","28.09.2018",0.725694444444444,"IIS-BMP2","09.00",20.3,1011.22,471.14,144,470.97,"Final mass measured after D3 (3 bottles later)",2022-09-29 09:00:00,0.725694444445253,2018-09-28 09:00:00,2018-09-27 15:35:00,0.17999999999995,0.169999999999959,0.00999999999999091,0.17999999999995,0.169999999999959,0.00999999999999091,0.6,373.12,0.17999999999995,0.17999999999995,133.581403707373,80.2889909440788,133.581403707373,80.2889909440788,184.073896017815,110.637461205238,"grav"
"D1","29.09.2018",1.60416666666667,"IIS-BMP2","06.05",19,1000,470.96,143,470.8,"Pressure not measured.",2022-09-30 06:05:00,1.60416666664241,2018-09-29 06:05:00,2018-09-27 15:35:00,0.170000000000016,0.159999999999968,0.0100000000000477,0.349999999999966,0.329999999999927,0.0200000000000387,0.6,373.12,0.170000000000016,0.349999999999966,137.323063484839,82.537912423051,270.904467192212,162.82690336713,156.320325231753,93.9562007029197,"grav"
"D1","30.09.2018",2.97708333333333,"IIS-BMP2","15.02",20.3,1002.34,470.81,260,470.51,NA,2022-10-01 15:02:00,2.97708333334594,2018-09-30 15:02:00,2018-09-27 15:35:00,0.29000000000002,0.300000000000011,-0.00999999999999091,0.639999999999986,0.629999999999939,0.0100000000000477,0.6,373.12,0.29000000000002,0.639999999999986,233.971442126322,140.628339549456,504.875909318534,303.455242916585,170.419259818869,102.430353541333,"grav"
"D1","01.10.2018",3.71875,"IIS-BMP2","08.50",20.3,1000.62,470.51,184,470.3,NA,2022-10-02 08:50:00,3.71875000004366,2018-10-01 08:50:00,2018-09-27 15:35:00,0.20999999999998,0.20999999999998,0,0.849999999999966,0.839999999999918,0.0100000000000477,0.6,373.12,0.20999999999998,0.849999999999966,169.422877191375,101.831478596652,674.298786509909,405.286721513237,228.435340033315,137.300870017958,"grav"
"D1","03.10.2018",5.68888888888889,"IIS-BMP2","08.07",20,1002.27,470.28,393,469.83,NA,2022-10-04 08:07:00,5.68888888884248,2018-10-03 08:07:00,2018-09-27 15:35:00,0.470000000000027,0.449999999999989,0.0200000000000387,1.31999999999999,1.28999999999991,0.0300000000000864,0.6,373.12,0.470000000000027,1.31999999999999,379.307589435514,227.982509301386,1053.60637594542,633.269230814623,192.528349942594,115.719003663728,"grav"
"D1","05.10.2018",7.81527777777778,"IIS-BMP2","11.09",20.1,1009.23,469.82,403,469.35,NA,2022-10-06 11:09:00,7.81527777774318,2018-10-05 11:09:00,2018-09-27 15:35:00,0.479999999999961,0.46999999999997,0.00999999999999091,1.79999999999995,1.75999999999988,0.0400000000000773,0.6,373.12,0.479999999999961,1.79999999999995,387.382466872094,232.835907629197,1440.98884281752,866.105138443821,182.178560514636,109.49827138669,"grav"
"D1","06.10.2018",9.23958333333333,"IIS-BMP2","21.20",20.4,1001.38,469.35,214,469.09,NA,2022-10-07 21:20:00,9.23958333334303,2018-10-06 21:20:00,2018-09-27 15:35:00,0.260000000000048,0.260000000000048,0,2.06,2.01999999999992,0.0400000000000773,0.6,373.12,0.260000000000048,2.06,209.743168901158,126.06595619685,1650.73201171867,992.171094640671,147.259952812124,88.5104714400118,"grav"
