"id","date","elapsed.time","exper","time","temp.air","pres.amb","mass.init","vol","mass.final","notes","date.time.e","etime","date.time","start.time","descrip","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.vent","cmass.leak","temp.grav","pres.grav","vBg","cvBg","xCH4","xCH4.lim.flag","vCH4","cvCH4","rvBg","rvCH4","method"
"I1","29.09.2018",1.60416666666667,"IIS-BMP2","06.05",19,1000,729.39,64,729.33,"Pressure not measured.",2022-09-30 06:05:00,1.60416666664241,2018-09-29 06:05:00,2018-09-27 15:35:00,"Inoculum",0.0699999999999363,0.0599999999999454,0.00999999999999091,0.164999999999964,0.149999999999977,0.0149999999999864,30,1500,60.5257718288122,142.667890739441,0.668988023372197,"",40.5495902481948,95.5811770136679,68.8989023189641,46.1592173576289,"gd"
"I1","30.09.2018",2.97708333333333,"IIS-BMP2","15.02",20.3,1002.34,729.33,82,729.24,"Easy to mix. No floating layer.",2022-10-01 15:02:00,2.97708333334594,2018-09-30 15:02:00,2018-09-27 15:35:00,"Inoculum",0.0900000000000318,0.0900000000000318,0,0.254999999999995,0.240000000000009,0.0149999999999864,30,1500,77.8188494942854,220.486740233727,0.668988023372197,"",52.1351874620306,147.716364475698,56.6814078258831,37.9740363911604,"gd"
"I1","01.10.2018",3.71875,"IIS-BMP2","08.50",20.3,1000.62,729.26,60,729.19,"Forgot to check volume - so this is an estimate",2022-10-02 08:50:00,3.71875000004366,2018-10-01 08:50:00,2018-09-27 15:35:00,"Inoculum",0.0499999999999545,0.0699999999999363,-0.0199999999999818,0.30499999999995,0.309999999999945,-0.00499999999999545,30,1500,43.2326941634373,263.719434397164,0.668988023372197,"",28.9639930344249,176.680357510123,58.2912730293536,39.0525748778762,"gd"
"I1","03.10.2018",5.68888888888889,"IIS-BMP2","8.07",20,1002.27,729.18,103,729.09,NA,2022-10-04 08:07:00,5.68888888884248,2018-10-03 08:07:00,2018-09-27 15:35:00,"Inoculum",0.100000000000023,0.0899999999999181,0.0100000000001046,0.404999999999973,0.399999999999864,0.00500000000010914,30,1500,86.4653883269728,350.184822724137,0.668988023372197,"",57.9279860689156,234.608343579039,43.8879658762217,29.4029961012472,"gd"
"I1","05.10.2018",7.81527777777778,"IIS-BMP2","11.09",20.1,1009.23,729.08,97,728.98,NA,2022-10-06 11:09:00,7.81527777774318,2018-10-05 11:09:00,2018-09-27 15:35:00,"Inoculum",0.110000000000014,0.100000000000023,0.00999999999999091,0.514999999999986,0.499999999999886,0.0150000000001,30,1500,95.1119271596603,445.296749883797,0.668988023372197,"",63.7207846758005,298.329128254839,44.7293191083967,29.9666655562223,"gd"
"I1","06.10.2018",9.23958333333333,"IIS-BMP2","21.20",20.4,1001.38,728.98,65,728.9,NA,2022-10-07 21:20:00,9.23958333334303,2018-10-06 21:20:00,2018-09-27 15:35:00,"Inoculum",0.0800000000000409,0.0800000000000409,0,0.595000000000027,0.579999999999927,0.0150000000001,30,1500,69.1723106615979,514.469060545395,0.668988023372197,"",46.3423888551456,344.671517109985,48.5656398599225,32.5368307905459,"gd"
"I1","08.10.2018",10.8388888888889,"IIS-BMP2","11.43",20.4,1007.72,728.91,55,728.85,NA,2022-10-09 11:43:00,10.8388888888439,2018-10-08 11:43:00,2018-09-27 15:35:00,"Inoculum",0.0499999999999545,0.0599999999999454,-0.00999999999999091,0.644999999999982,0.639999999999873,0.00500000000010914,30,1500,43.2326941634373,557.701754708832,0.668988023372197,"",28.9639930344249,373.63551014441,27.0321665633303,18.1103560441041,"gd"
"I1","11.10.2018",13.8597222222222,"IIS-BMP2","12.13",20.5,1009.19,728.88,76,728.77,NA,2022-10-12 12:20:00,13.864583333343,2018-10-11 12:13:00,2018-09-27 15:35:00,"Inoculum",0.0800000000000409,0.110000000000014,-0.0299999999999727,0.725000000000023,0.749999999999886,-0.0249999999998636,30,1500,69.1723106615979,626.87406537043,0.668988023372197,"",46.3423888551456,419.977898999556,22.8984200810807,15.340928724462,"gd"
"I1","15.10.2018",18.2409722222222,"IIS-BMP2","21.22",20.1,1006.09,728.76,104,728.65,NA,2022-10-16 21:22:00,18.2409722222437,2018-10-15 21:22:00,2018-09-27 15:35:00,"Inoculum",0.120000000000005,0.110000000000014,0.00999999999999091,0.845000000000027,0.8599999999999,-0.0149999999998727,30,1500,103.758465992348,730.632531362778,0.668988023372197,"",69.5135832826855,489.491482282241,23.6823888142306,15.8661531030381,"gd"
"I1","19.10.2018",21.8006944444444,"IIS-BMP2","10.48",20.5,1017.29,728.66,82,728.57,NA,2022-10-20 10:48:00,21.8006944444423,2018-10-19 10:48:00,2018-09-27 15:35:00,"Inoculum",0.0799999999999272,0.0899999999999181,-0.00999999999999091,0.924999999999955,0.949999999999818,-0.0249999999998636,30,1500,69.1723106614996,799.804842024278,0.668988023372197,"",46.3423888550798,535.833871137321,19.4319405681934,13.0185407630345,"gd"
"I1","25.10.2018",27.9395833333333,"IIS-BMP2","14.08",20.6,997.15,728.5,56,728.44,NA,2022-10-26 14:08:00,27.9395833333474,2018-10-25 14:08:00,2018-09-27 15:35:00,"Inoculum",0.129999999999995,0.0599999999999454,0.07000000000005,1.05499999999995,1.00999999999976,0.0450000000001864,30,1500,112.405004825035,912.209846849313,0.668988023372197,"",75.3063818895705,611.140253026891,18.31031752806,12.2671029322377,"gd"
"I1","29.10.2018",31.7576388888889,"IIS-BMP2","09.46",20,1010.42,728.43,55,728.36,NA,2022-10-30 09:46:00,31.7576388889429,2018-10-29 09:46:00,2018-09-27 15:35:00,"Inoculum",0.0800000000000409,0.0699999999999363,0.0100000000001046,1.13499999999999,1.0799999999997,0.055000000000291,30,1500,69.1723106615979,981.382157510911,0.668988023372197,"",46.3423888551456,657.482641882037,18.1171566665517,12.1376936979647,"gd"
"I1","16.11.2018",49.9388888888889,"IIS-BMP2","14.07",21.5,1000,728.28,172,728.14,"Ambient pressure not measured.",2022-11-17 14:07:00,49.9388888888425,2018-11-16 14:07:00,2018-09-27 15:35:00,"Inoculum",0.220000000000027,0.139999999999986,0.0800000000000409,1.35500000000002,1.21999999999969,0.135000000000332,30,1500,190.223854319321,1171.60601183023,0.668988023372197,"",127.441569351601,784.924211233638,10.4626389450297,7.0095053613806,"gd"
"I1","17.12.2018",80.8354166666667,"IIS-BMP2","11.38",21.4,1010.47,728.11,200,727.92,NA,2022-12-18 11:38:00,80.8354166666468,2018-12-17 11:38:00,2018-09-27 15:35:00,"Inoculum",0.220000000000027,0.190000000000055,0.0299999999999727,1.57500000000005,1.40999999999974,0.165000000000305,30,1500,190.223854319321,1361.82986614955,0.668988023372197,"",127.441569351601,912.365780585239,6.15680362814551,4.12478613351702,"gd"
"I1","04.02.2019",129.899305555556,"IIS-BMP2","13.10",22.1,1009.4,727.83,214,727.61,NA,2023-02-04 13:10:00,128.899305555555,2019-02-04 13:10:00,2018-09-27 15:35:00,"Inoculum",0.309999999999945,0.220000000000027,0.0899999999999181,1.88499999999999,1.62999999999977,0.255000000000223,30,1500,268.042703813508,1629.87256996306,0.668988023372197,"",179.576756813566,1091.9425373988,5.46313612482946,3.66005958517147,"gd"
"I2","27.09.2018",0,"IIS-BMP2","15.35",20.8,1007.24,722.085,0,722.085,NA,2022-09-28 15:35:00,0,2018-09-27 15:35:00,2018-09-27 15:35:00,"Inoculum",0,0,0,0,0,0,30,1500,0,0,0.686728884141961,"",0,0,NA,NA,"gd"
"I2","28.09.2018",0.725694444444444,"IIS-BMP2","09.00",20.3,1011.22,722.08,80,721.98,"Difficult to mix. Sludge level near shoulder of bottle.",2022-09-29 09:00:00,0.725694444445253,2018-09-28 09:00:00,2018-09-27 15:35:00,"Inoculum",0.105000000000018,0.100000000000023,0.00499999999999545,0.105000000000018,0.100000000000023,0.00499999999999545,30,1500,92.5744432494436,92.5744432494436,0.686728884141961,"",63.6605731224274,63.6605731224274,127.566696917894,87.7236605706177,"gd"
"I2","29.09.2018",1.60416666666667,"IIS-BMP2","06.05",19,1000,721.98,66,721.91,"Pressure not measured.",2022-09-30 06:05:00,1.60416666664241,2018-09-29 06:05:00,2018-09-27 15:35:00,"Inoculum",0.07000000000005,0.07000000000005,0,0.175000000000068,0.170000000000073,0.00499999999999545,30,1500,61.7162954996625,154.290738749106,0.686728884141961,"",42.4403820816413,106.100955204069,70.2541229403273,48.3115811838446,"gd"
"I2","30.09.2018",2.97708333333333,"IIS-BMP2","15.02",20.3,1002.34,721.91,93,721.83,"Easy to mix. No floating layer.",2022-10-01 15:02:00,2.97708333334594,2018-09-30 15:02:00,2018-09-27 15:35:00,"Inoculum",0.0799999999999272,0.0799999999999272,0,0.254999999999995,0.25,0.00499999999999545,30,1500,70.5329091423569,224.823647891463,0.686728884141961,"",48.5032938075112,154.60424901158,51.374501347999,35.3286510282328,"gd"
"I2","01.10.2018",3.71875,"IIS-BMP2","08.50",20.3,1000.62,721.83,52,721.77,NA,2022-10-02 08:50:00,3.71875000004366,2018-10-01 08:50:00,2018-09-27 15:35:00,"Inoculum",0.0600000000000591,0.0600000000000591,0,0.315000000000055,0.310000000000059,0.00499999999999545,30,1500,52.8996818568679,277.723329748331,0.686728884141961,"",36.3774703557023,190.981719367282,71.3254137395972,49.048274636902,"gd"
"I2","03.10.2018",5.68888888888889,"IIS-BMP2","08.07",20,1002.27,721.77,105,721.67,"Measured before I2. Wrong order, id correct",2022-10-04 08:07:00,5.68888888884248,2018-10-03 08:07:00,2018-09-27 15:35:00,"Inoculum",0.100000000000023,0.100000000000023,0,0.415000000000077,0.410000000000082,0.00499999999999545,30,1500,88.1661364280463,365.889466176377,0.686728884141961,"",60.629117259458,251.61083662674,44.7512289236471,30.7740320245398,"gd"
"I2","05.10.2018",7.81527777777778,"IIS-BMP2","11.09",20.1,1009.23,721.67,104,721.56,NA,2022-10-06 11:09:00,7.81527777774318,2018-10-05 11:09:00,2018-09-27 15:35:00,"Inoculum",0.110000000000014,0.110000000000014,0,0.525000000000091,0.520000000000095,0.00499999999999545,30,1500,96.982750070841,462.872216247218,0.686728884141961,"",66.6920289853969,318.302865612137,45.6091313200558,31.3639848918914,"gd"
"I2","06.10.2018",9.23958333333333,"IIS-BMP2","21.20",20.4,1001.38,721.55,68,721.49,NA,2022-10-07 21:20:00,9.23958333334303,2018-10-06 21:20:00,2018-09-27 15:35:00,"Inoculum",0.0699999999999363,0.0599999999999454,0.00999999999999091,0.595000000000027,0.580000000000041,0.0149999999999864,30,1500,61.7162954995623,524.58851174678,0.686728884141961,"",42.4403820815723,360.743247693709,43.3307974253387,29.7972453424984,"gd"
"I2","08.10.2018",10.8388888888889,"IIS-BMP2","11.43",20.4,1007.72,721.49,55,721.42,NA,2022-10-09 11:43:00,10.8388888888439,2018-10-08 11:43:00,2018-09-27 15:35:00,"Inoculum",0.07000000000005,0.07000000000005,0,0.665000000000077,0.650000000000091,0.0149999999999864,30,1500,61.7162954996625,586.304807246443,0.686728884141961,"",42.4403820816413,403.183629775351,38.5894335733887,26.5367564904748,"gd"
"I2","11.10.2018",13.8597222222222,"IIS-BMP2","12.13",20.5,1009.19,721.43,88,721.33,NA,2022-10-12 12:21:00,13.8652777777461,2018-10-11 12:13:00,2018-09-27 15:35:00,"Inoculum",0.0899999999999181,0.0999999999999091,-0.00999999999999091,0.754999999999995,0.75,0.00499999999999545,30,1500,79.3495227851515,665.654330031594,0.686728884141961,"",54.5662055334501,457.749835308801,26.267428232326,18.0632956248662,"gd"
"I2","15.10.2018",18.2409722222222,"IIS-BMP2","21.22",20.1,1006.09,721.32,105,721.21,NA,2022-10-16 21:22:00,18.2409722222437,2018-10-15 21:22:00,2018-09-27 15:35:00,"Inoculum",0.120000000000005,0.110000000000014,0.00999999999999091,0.875,0.860000000000014,0.0149999999999864,30,1500,105.799363713636,771.45369374523,0.686728884141961,"",72.7549407113358,530.504776020137,24.1482142570352,16.6059779084361,"gd"
"I2","19.10.2018",21.8006944444444,"IIS-BMP2","10.48",20.5,1017.29,721.21,88,721.12,NA,2022-10-20 10:48:00,21.8006944444423,2018-10-19 10:48:00,2018-09-27 15:35:00,"Inoculum",0.0900000000000318,0.0900000000000318,0,0.965000000000032,0.950000000000045,0.0149999999999864,30,1500,79.3495227852517,850.803216530482,0.686728884141961,"",54.5662055335191,585.070981553656,22.290931098471,15.3287818900249,"gd"
"I2","25.10.2018",27.9395833333333,"IIS-BMP2","14.08",20.6,997.15,721.04,58,720.98,NA,2022-10-26 14:08:00,27.9395833333474,2018-10-25 14:08:00,2018-09-27 15:35:00,"Inoculum",0.139999999999986,0.0599999999999454,0.0800000000000409,1.10500000000002,1.00999999999999,0.0950000000000273,30,1500,123.432590999225,974.235807529707,0.686728884141961,"",84.8807641632136,669.951745716869,20.1066664071135,13.8267308139171,"gd"
"I2","29.10.2018",31.7576388888889,"IIS-BMP2","09.46",20,1010.42,720.96,57,720.89,NA,2022-10-30 09:46:00,31.7576388889429,2018-10-29 09:46:00,2018-09-27 15:35:00,"Inoculum",0.0900000000000318,0.07000000000005,0.0199999999999818,1.19500000000005,1.08000000000004,0.115000000000009,30,1500,79.3495227852517,1053.58533031496,0.686728884141961,"",54.5662055335191,724.517951250388,20.7827051310954,14.2916216748395,"gd"
"I2","16.11.2018",49.9388888888889,"IIS-BMP2","14.07",21.5,1000,720.86,173,720.68,"Ambient pressure not measured.",2022-11-17 14:07:00,49.9388888888425,2018-11-16 14:07:00,2018-09-27 15:35:00,"Inoculum",0.210000000000036,0.180000000000064,0.0299999999999727,1.40500000000009,1.2600000000001,0.144999999999982,30,1500,185.148886498887,1238.73421681385,0.686728884141961,"",127.321146244855,851.839097495243,10.1835069920323,7.00288188352588,"gd"
"I2","17.12.2018",80.8354166666667,"IIS-BMP2","11.38",21.4,1010.47,720.66,206,720.46,NA,2022-12-18 11:38:00,80.8354166666468,2018-12-17 11:38:00,2018-09-27 15:35:00,"Inoculum",0.219999999999914,0.199999999999932,0.0199999999999818,1.625,1.46000000000004,0.164999999999964,30,1500,193.965500141582,1432.69971695543,0.686728884141961,"",133.384057970725,985.223155465968,6.27790609794965,4.31712129369634,"gd"
"I2","04.02.2019",129.899305555556,"IIS-BMP2","13.10",22.1,1009.4,720.4,215,720.21,NA,2023-02-04 13:10:00,128.899305555555,2019-02-04 13:10:00,2018-09-27 15:35:00,"Inoculum",0.25,0.189999999999941,0.0600000000000591,1.875,1.64999999999998,0.225000000000023,30,1500,220.415341070066,1653.11505802549,0.686728884141961,"",151.57279314861,1136.79594861458,4.4924148097845,3.089294317698,"gd"
"I3","27.09.2018",0,"IIS-BMP2","15.35",20.8,1007.24,740.535,0,740.535,NA,2022-09-28 15:35:00,0,2018-09-27 15:35:00,2018-09-27 15:35:00,"Inoculum",0,0,0,0,0,0,30,1500,0,0,0.692786784903635,"",0,0,NA,NA,"gd"
"I3","28.09.2018",0.725694444444444,"IIS-BMP2","09.00",20.3,1011.22,740.53,80,740.44,"Difficult to mix. Sludge level near shoulder of bottle.",2022-09-29 09:00:00,0.725694444445253,2018-09-28 09:00:00,2018-09-27 15:35:00,"Inoculum",0.0949999999999136,0.0899999999999181,0.00499999999999545,0.0949999999999136,0.0899999999999181,0.00499999999999545,30,1500,84.3241365700394,84.3241365700394,0.692786784903635,"",58.4970711335466,58.4970711335466,116.197853263978,80.6084042414422,"gd"
"I3","29.09.2018",1.60416666666667,"IIS-BMP2","06.05",19,1000,740.43,65,740.35,"Pressure not measured.",2022-09-30 06:05:00,1.60416666664241,2018-09-29 06:05:00,2018-09-27 15:35:00,"Inoculum",0.0900000000000318,0.0799999999999272,0.0100000000001046,0.184999999999945,0.169999999999845,0.0150000000001,30,1500,79.8860241190856,164.210160689125,0.692786784903635,"",55.4182779160615,113.915349049608,90.9374503806192,63.0848381020779,"gd"
