"id","date","elapsed.time","exper","time","temp.air","pres.amb","mass.init","vol","mass.final","notes","date.time.e","etime","date.time","start.time","mass.drift","mass.init.orig","mass.final.orig","descrip","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.vent","cmass.leak"
"C2","16.11.2018",49.9388888888889,"IIS-BMP2","14.07",21.5,1000,469.72,92,469.61,"Ambient pressure not measured.",2022-11-17 14:07:00,49.9388888888425,2018-11-16 14:07:00,2018-09-27 15:35:00,0.0600000000000023,469.66,469.55,"FIC",0.120000000000005,0.110000000000014,0.00999999999999091,2.28999999999996,2.15000000000003,0.13999999999993
"C2","17.12.2018",80.8354166666667,"IIS-BMP2","11.38",21.4,1010.47,469.59,105,469.49,NA,2022-12-18 11:38:00,80.8354166666468,2018-12-17 11:38:00,2018-09-27 15:35:00,0.0600000000000023,469.53,469.43,"FIC",0.120000000000005,0.0999999999999659,0.0200000000000387,2.40999999999997,2.25,0.159999999999968
"C2","19.10.2018",21.8006944444444,"IIS-BMP2","10.48",20.5,1017.29,469.91,52,469.86,NA,2022-10-20 10:48:00,21.8006944444423,2018-10-19 10:48:00,2018-09-27 15:35:00,0.0200000000000387,469.89,469.84,"FIC",0.0600000000000023,0.0500000000000114,0.00999999999999091,2.03999999999996,1.98000000000002,0.0599999999999454
"C2","25.10.2018",27.9395833333333,"IIS-BMP2","14.08",20.6,997.15,469.8,38,469.77,NA,2022-10-26 14:08:00,27.9395833333474,2018-10-25 14:08:00,2018-09-27 15:35:00,0.0200000000000387,469.78,469.75,"FIC",0.089999999999975,0.0299999999999727,0.0600000000000023,2.12999999999994,2.00999999999999,0.119999999999948
"C2","27.09.2018",0,"IIS-BMP2","15.35",20.8,1007.24,471.9,0,471.9,NA,2022-09-28 15:35:00,0,2018-09-27 15:35:00,2018-09-27 15:35:00,0,471.9,471.9,"FIC",0,0,0,0,0,0
"C2","28.09.2018",0.725694444444444,"IIS-BMP2","09.00",20.3,1011.22,471.9,216,471.67,NA,2022-09-29 09:00:00,0.725694444445253,2018-09-28 09:00:00,2018-09-27 15:35:00,0.0100000000000477,471.89,471.66,"FIC",0.229999999999905,0.229999999999961,-5.6843418860808e-14,0.229999999999905,0.229999999999961,-5.6843418860808e-14
"C2","29.09.2018",1.60416666666667,"IIS-BMP2","06.05",19,1000,471.67,342,471.26,"Pressure not measured.",2022-09-30 06:05:00,1.60416666664241,2018-09-29 06:05:00,2018-09-27 15:35:00,0.0300000000000296,471.64,471.23,"FIC",0.410000000000025,0.409999999999968,5.6843418860808e-14,0.63999999999993,0.63999999999993,0
"C2","29.10.2018",31.7576388888889,"IIS-BMP2","09.46",20,1010.42,469.76,27,469.73,NA,2022-10-30 09:46:00,31.7576388889429,2018-10-29 09:46:00,2018-09-27 15:35:00,0.0300000000000296,469.73,469.7,"FIC",0.0400000000000205,0.0300000000000296,0.00999999999999091,2.16999999999996,2.04000000000002,0.129999999999939
"C2","30.09.2018",2.97708333333333,"IIS-BMP2","15.02",20.3,1002.34,471.27,436,470.81,NA,2022-10-01 15:02:00,2.97708333334594,2018-09-30 15:02:00,2018-09-27 15:35:00,0.0300000000000296,471.24,470.78,"FIC",0.450000000000045,0.460000000000036,-0.00999999999999091,1.08999999999997,1.09999999999997,-0.00999999999999091
"C3","01.10.2018",3.71875,"IIS-BMP2","08.50",20.3,1000.62,467.22,207,467.01,NA,2022-10-02 08:50:00,3.71875000004366,2018-10-01 08:50:00,2018-09-27 15:35:00,0.0200000000000387,467.2,466.99,"FIC",0.240000000000009,0.20999999999998,0.0300000000000296,1.28999999999996,1.25999999999993,0.0300000000000296
