"id","date","elapsed.time","day","time.orig","time","vol","pres.init","pres.resid","mass.init","mass.final","notes","date.time","start.time","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.vent","cmass.leak","xCH4","vol.hs","temperature","pres.init.abs","pres.resid.abs","rh.resid","pres.resid.prev","rh.resid.prev","temp.prev","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4","method"
"C5-3","15022017",0.874305555555556,1,1002,"0929",191,91.8,0.1,399.36,399.13,NA,2017-02-15 09:29:00,2017-02-14 12:30:00,0.25,0.230000000000018,0.0199999999999818,0.25,0.230000000000018,0.0199999999999818,0.3329,185.464,30,193.125,101.425,0.525177993527508,101.325,1,30,151.372125010944,50.5389065848593,142.648138643495,50.5389065848593,173.134122331818,57.8046270708478,"man"
"C5-3","16022017",2.01388888888889,2,1314,"1250",194,98.8,0.5,399.14,398.92,NA,2017-02-16 12:50:00,2017-02-14 12:30:00,0.20999999999998,0.21999999999997,-0.00999999999999091,0.45999999999998,0.449999999999989,0.00999999999999091,0.5606,185.464,30,200.125,101.825,0.508806995627733,101.425,0.525177993527508,30,159.414497151765,89.5394581537962,302.06263579526,140.078364738655,139.888407007033,78.5721022190533,"man"
"C5-3","17022017",2.85,3,920,"0854",172,87,0.3,398.93,398.73,NA,2017-02-17 08:54:00,2017-02-14 12:30:00,0.189999999999998,0.199999999999989,-0.00999999999999091,0.649999999999977,0.649999999999977,0,0.6007,185.464,30,188.325,101.625,0.539625647152529,101.825,0.508806995627733,30,139.182456143965,83.7528406185029,441.245091939225,223.831205357158,166.464067148928,100.169510374289,"man"
"C5-3","18022017",4.15138888888889,4,1631,"1608",259,130,0.4,398.72,398.44,NA,2017-02-18 16:08:00,2017-02-14 12:30:00,0.29000000000002,0.28000000000003,0.00999999999999091,0.939999999999998,0.930000000000007,0.00999999999999091,0.6666,185.464,30,231.325,101.725,0.439749270506863,101.625,0.539625647152529,30,210.632869810248,140.612450705632,651.877961749474,364.443656062791,161.852365275751,108.047987735385,"man"
"C5-3","19022017",5.14513888888889,5,1624,"1559",224,112.7,0.4,398.44,398.23,NA,2017-02-19 15:59:00,2017-02-14 12:30:00,0.20999999999998,0.20999999999998,0,1.14999999999998,1.13999999999999,0.00999999999999091,0.7004,185.464,30,214.025,101.725,0.475294942179652,101.725,0.439749270506863,30,181.239859654692,127.106579320352,833.117821404165,491.550235383143,182.379732985853,127.905991768908,"man"
"C5-3","20022017",5.93194444444444,6,1112,"1052",176,88,0.4,398.22,398.05,NA,2017-02-20 10:52:00,2017-02-14 12:30:00,0.180000000000007,0.170000000000016,0.00999999999999091,1.32999999999998,1.31,0.0199999999999818,0.7235,185.464,30,189.325,101.725,0.537303578502575,101.725,0.475294942179652,30,140.760898286266,101.963540522665,973.878719690431,593.513775905808,178.901759516525,129.59179024946,"man"
"C5-3","21022017",7.13194444444444,7,1557,"1540",118,59.4,0.2,398.05,397.93,NA,2017-02-21 15:40:00,2017-02-14 12:30:00,0.120000000000005,0.120000000000005,0,1.44999999999999,1.43000000000001,0.0199999999999818,0.72026530442035,185.464,30,160.725,101.525,0.631668999844455,101.725,0.537303578502575,30,94.0369720158281,67.814351262291,1067.91569170626,661.328127168099,78.3641433465234,56.5119593852425,"man"
"C5-3","23022017",9.11111111111111,9,1523,"1510",71,36,0.3,397.91,397.84,NA,2017-02-23 15:10:00,2017-02-14 12:30:00,0.0900000000000318,0.07000000000005,0.0199999999999818,1.54000000000002,1.50000000000006,0.0399999999999636,0.714930303030303,185.464,30,137.325,101.625,0.7400327689787,101.525,0.631668999844455,30,56.4445861331947,40.4042083455828,1124.36027783945,701.732335513682,28.5193698357195,20.414757900926,"man"
"C5-3","07032017",20.9194444444444,21,1051,"1034",65,32.4,0.2,397.65,397.58,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,0.259999999999991,0.0699999999999932,0.189999999999998,1.80000000000001,1.57000000000005,0.229999999999961,0.6831,185.464,30,133.725,101.525,0.759207328472612,101.625,0.7400327689787,30,51.1046992229129,34.9579639201931,1175.46497706237,736.690299433875,4.3278503223356,2.96044860298036,"man"
"C5-3","17032017",30.96875,31,1209,"1145",45,20.5,0.1,397.52,397.5,NA,2017-03-17 11:45:00,2017-02-14 12:30:00,0.0799999999999841,0.0199999999999818,0.0600000000000023,1.88,1.59000000000003,0.289999999999964,0.6831,185.464,30,121.825,101.425,0.832546685819823,101.525,0.759207328472612,30,31.7819725014213,21.7403304375407,1207.24694956379,758.430629871416,3.16260385612927,2.16336644530845,"man"
"C5-3","06042017",50.8645833333333,51,932,"0915",45,25,0.1,397.39,397.34,NA,2017-04-06 09:15:00,2017-02-14 12:30:00,0.160000000000025,0.0500000000000114,0.110000000000014,2.04000000000002,1.64000000000004,0.399999999999977,0.6831,185.464,30,126.325,101.425,0.802889372649911,101.425,0.832546685819823,30,39.8822308874042,27.2812796008707,1247.12918045119,785.711909472287,2.00455191894806,1.37120567627413,"man"
"C5-3","16042017",60.9166666666667,61,1050,"1030",22,11.4,0.1,397.28,397.22,NA,2017-04-16 10:30:00,2017-02-14 12:30:00,0.119999999999948,0.0599999999999454,0.0600000000000023,2.15999999999997,1.69999999999999,0.45999999999998,0.6831,185.464,30,112.725,101.425,0.899756043468618,101.425,0.802889372649911,30,17.2484052741189,11.7987022411272,1264.37758572531,797.510611713414,1.71590352986053,1.17375690688934,"man"
"C6-1","14022017",0,0,1230,"1230",0,0,0,390.92,390.92,NA,2017-02-14 12:30:00,2017-02-14 12:30:00,0,0,0,0,0,0,0,184.914,30,101.325,101.325,1,101.325,1,20,-8.69811507974779,0,-8.69811507974779,0,NA,NA,"man"
"C6-1","15022017",0.874305555555556,1,1009,"0929",168,79.2,0.3,390.87,390.66,NA,2017-02-15 09:29:00,2017-02-14 12:30:00,0.259999999999991,0.20999999999998,0.0500000000000114,0.259999999999991,0.20999999999998,0.0500000000000114,0.2484,184.914,30,180.525,101.625,0.562941420855837,101.325,1,30,130.208280214958,32.4501699492074,121.510165135211,32.4501699492074,148.927659658094,37.1153651523897,"man"
"C6-1","16022017",2.01388888888889,2,1320,"1250",179,89.8,0.5,390.64,390.43,NA,2017-02-16 12:50:00,2017-02-14 12:30:00,0.230000000000018,0.20999999999998,0.0200000000000387,0.490000000000009,0.419999999999959,0.07000000000005,0.5579,184.914,30,191.125,101.825,0.532766514061478,101.625,0.562941420855837,30,144.080995880431,80.5381677040551,265.591161015641,112.988337653263,126.433049401475,70.6733464313463,"man"
"C6-1","17022017",2.85,3,926,"0854",165,82.9,0.3,390.42,390.23,NA,2017-02-17 08:54:00,2017-02-14 12:30:00,0.199999999999989,0.189999999999998,0.00999999999999091,0.689999999999998,0.609999999999957,0.0800000000000409,0.6011,184.914,30,184.225,101.625,0.551635228660605,101.825,0.532766514061478,30,132.196929630034,79.6021420769882,397.788090645676,192.590479730251,158.10928460735,95.205219759853,"man"
"C6-1","18022017",4.15138888888889,4,1637,"1608",185,93.4,0.3,390.14,389.94,NA,2017-02-18 16:08:00,2017-02-14 12:30:00,0.29000000000002,0.199999999999989,0.0900000000000318,0.980000000000018,0.809999999999945,0.170000000000073,0.6659,184.914,30,194.725,101.625,0.521889844652715,101.625,0.551635228660605,30,149.920368745257,99.9777384369042,547.708459390933,292.568218167155,115.200283347476,76.8238758533309,"man"
"C6-1","19022017",5.14513888888889,5,1628,"1559",170,85.6,0.3,389.88,389.7,NA,2017-02-19 15:59:00,2017-02-14 12:30:00,0.240000000000009,0.180000000000007,0.0600000000000023,1.22000000000003,0.989999999999952,0.230000000000075,0.7095,184.914,30,186.925,101.625,0.543667246221747,101.625,0.521889844652715,30,136.888510398496,97.2456772647169,684.596969789429,389.813895431872,137.749444426159,97.8572852978283,"man"
