"method","descrip","elapsed.time","mean","se","sd","n","rsd"
"gd06","Preheated sludge",15.2194444444444,246.822811458196,18.8827573106747,32.7058950490812,3,13.2507586538939
"gd06","Preheated sludge",20.9194444444444,262.869623241454,20.0533793218975,34.7334718489776,3,13.213193453347
"gd06","Preheated sludge",30.96875,281.723206168931,21.4871350944269,37.2168096926436,3,13.2104167770713
"gd06","Preheated sludge",50.8645833333333,303.821945562153,22.3769001166501,38.7579279179319,3,12.7567901147559
"gd06","Preheated sludge",60.9166666666667,317.74732352377,23.8367912876446,41.2865335996156,3,12.9935110520379
"gd06","Raw sludge",0,0,0,0,3,NA
"gd06","Raw sludge",0.874305555555556,27.0824951813445,4.4112278274319,7.64047072087373,3,28.2118418916467
"gd06","Raw sludge",2.01388888888889,57.0546188989029,8.63219534241263,14.9514009139181,3,26.2054171992824
"gd06","Raw sludge",2.85,80.3338536289938,12.4047622725158,21.485678511811,3,26.7454846757861
"gd06","Raw sludge",4.15138888888889,113.622561061431,16.8068141713292,29.1102560581108,3,25.6201372211388
"gd06","Raw sludge",5.14513888888889,137.438124554735,18.9428767572154,32.8100249850126,3,23.8725790906335
"gd06","Raw sludge",5.93194444444444,153.689050420892,22.5813003629834,39.1119595296607,3,25.44876126344
"gd06","Raw sludge",7.13194444444444,162.592198353074,24.2617665701451,42.0226123808675,3,25.8454051341467
"gd06","Raw sludge",9.11111111111111,172.749362324828,25.2633271075313,43.7573661184762,3,25.3299725854833
"gd06","Raw sludge",15.2194444444444,193.308450585829,28.571941411451,49.4880541955144,3,25.6005643030809
"gd06","Raw sludge",20.9194444444444,207.617775776038,30.3442551352747,52.5577916121285,3,25.3146877311815
"gd06","Raw sludge",30.96875,223.16907867829,33.6314901171692,58.2514496171877,3,26.1019357888555
"gd06","Raw sludge",50.8645833333333,241.609526261697,34.8442773188478,60.3520586692642,3,24.9791718079421
"gd06","Raw sludge",60.9166666666667,254.29753446055,38.8347373661144,67.2637382167037,3,26.4508023482778
"gd06","Sludge C1",0,0,0,0,3,NA
"gd06","Sludge C1",0.874305555555556,20.2628119800813,3.38997865173102,5.87161526137197,3,28.9772972633012
"gd06","Sludge C1",2.01388888888889,46.9127381658656,6.63126847147784,11.4856939112292,3,24.4831027995428
"gd06","Sludge C1",2.85,65.9750061514996,9.6036452001538,16.6340014245314,3,25.2125803313067
"gd06","Sludge C1",4.15138888888889,94.5190498436735,14.2745362349318,24.7242220133848,3,26.1579248355507
"gd06","Sludge C1",5.14513888888889,121.71222910105,16.9624640180481,29.3798495008183,3,24.1387818773954
"gd06","Sludge C1",5.93194444444444,143.223510014905,20.3042323996337,35.1679621248516,3,24.5546014904897
"gd06","Sludge C1",7.13194444444444,172.110023311368,22.8493199222139,39.5761830236703,3,22.9946997055901
"gd06","Sludge C1",8.19375,187.646641303531,22.9562616331594,39.7614115004762,3,21.189514091094
"gd06","Sludge C1",9.11111111111111,197.171499168974,23.8135323015462,41.2462478539606,3,20.9189705549751
"gd06","Sludge C1",11.9569444444444,210.279498415977,27.5313623218925,47.6857183431052,3,22.6773026863384
"gd06","Sludge C1",20.9194444444444,231.31956921382,29.9065820539759,51.7997195982139,3,22.3931419958391
"gd06","Sludge C1",30.96875,245.227645172399,33.1619223284269,57.4381343494882,3,23.4223732438927
"gd06","Sludge C1",50.8645833333333,259.002566727905,34.8716684839809,60.3995015589534,3,23.3200397671757
"gd06","Sludge C1",60.9166666666667,273.648072608704,38.1884403978771,66.1443190309389,3,24.1713082063327
"gd06","Sludge C2",0,0,0,0,3,NA
"gd06","Sludge C2",0.874305555555556,13.9965606447137,4.49720480133854,7.78938720796106,3,55.6521520228115
"gd06","Sludge C2",2.01388888888889,33.0209122562595,9.41596298682205,16.3089262953638,3,49.389690293224
"gd06","Sludge C2",2.85,44.9269445034356,12.9794202720799,22.4810153640318,3,50.0390480868616
"gd06","Sludge C2",4.15138888888889,60.394050039753,16.9687778574023,29.3907853913706,3,48.6650346715028
"gd06","Sludge C2",5.14513888888889,73.917543883194,21.0475326249041,36.4553958802975,3,49.3190032638328
"gd06","Sludge C2",5.93194444444444,86.5839639539979,24.3517086573156,42.1783966455856,3,48.7138665399923
"gd06","Sludge C2",7.13194444444444,102.142328024629,28.9082259068004,50.0705160272572,3,49.0203395551979
"gd06","Sludge C2",8.19375,116.846771077352,32.5127734123269,56.3137754451246,3,48.1945499442559
"gd06","Sludge C2",9.11111111111111,124.140833787121,33.3930696985449,57.8384933385685,3,46.591030182503
"gd06","Sludge C2",11.9569444444444,133.544613336684,36.2361668610499,62.7628820748821,3,46.9976890169642
"gd06","Sludge C2",20.9194444444444,147.678992848941,39.5736165934788,68.5435145791561,3,46.4138556587182
"gd06","Sludge C2",30.96875,152.325769980582,41.2701837388266,71.4820550733505,3,46.9270925612014
"gd06","Sludge C2",50.8645833333333,164.641578126013,44.9512921829996,77.857921926829,3,47.2893438055109
"gd06","Sludge C2",60.9166666666667,171.167766765408,46.8208934331429,81.0961662819715,3,47.3781762854434
"gd06","Sludge C3",0,0,0,0,3,NA
"gd06","Sludge C3",0.874305555555556,16.9118949994981,1.27493136208162,2.20824589528836,3,13.0573533915264
"gd06","Sludge C3",2.01388888888889,36.857212751376,1.50760854206414,2.61125459277993,3,7.08478584746601
"gd06","Sludge C3",2.85,51.5212792913188,1.97062100511612,3.41321570332358,3,6.62486597823802
"gd06","Sludge C3",4.15138888888889,73.5982701685747,2.26550412407111,3.92396824764799,3,5.33160390680413
"gd06","Sludge C3",5.14513888888889,92.8648691638801,2.2388440719906,3.8777916829121,3,4.17573590295907
"gd06","Sludge C3",5.93194444444444,105.868392202003,2.19536619249849,3.80248578662642,3,3.59171014836143
"gd06","Sludge C3",7.13194444444444,116.293625269529,2.48213500764709,4.29918394449012,3,3.6968354323172
"gd06","Sludge C3",8.19375,120.723029028319,2.6487866961294,4.58783313610862,3,3.80029657393076
"gd06","Sludge C3",11.9569444444444,130.07447059004,3.1416839261141,5.44155618135208,3,4.18341597445543
"gd06","Sludge C3",20.9194444444444,142.729960038082,4.1129648549809,7.12386409857208,3,4.99114838725615
"gd06","Sludge C3",30.96875,149.460448837291,4.74367388655289,8.21628418604732,3,5.49729660921328
"gd06","Sludge C3",50.8645833333333,160.762858899219,5.28139748091575,9.14764877191237,3,5.69015059482547
"gd06","Sludge C3",60.9166666666667,165.185088069227,6.69165472790447,11.590285975439,3,7.01654496232835
"gd06","Sludge C4",0,0,0,0,3,NA
"gd06","Sludge C4",0.874305555555556,29.0807241269428,4.08923359001547,7.08276034192407,3,24.3555157395892
"gd06","Sludge C4",2.01388888888889,59.5405321265271,7.34040349311077,12.7139517981239,3,21.3534399912753
"gd06","Sludge C4",2.85,83.7285267838697,10.6550744059996,18.4551302296182,3,22.04162779223
"gd06","Sludge C4",4.15138888888889,120.621547719792,15.6088068434566,27.0352464983955,3,22.4132810509109
"gd06","Sludge C4",5.14513888888889,151.268973687735,18.8320440907207,32.6180571755055,3,21.5629526533572
"gd06","Sludge C4",5.93194444444444,174.645486104684,21.9283804829393,37.9810691241526,3,21.7475240679203
"gd06","Sludge C4",7.13194444444444,189.479678092943,24.0310417732494,41.622985310078,3,21.9669917792774
"gd06","Sludge C4",9.11111111111111,202.320718998943,25.5285599170819,44.2167628204522,3,21.85478730959
"gd06","Sludge C4",11.9569444444444,212.684345591988,26.4660724533867,45.8405821660649,3,21.5533409562757
"gd06","Sludge C4",16.1291666666667,223.770870601745,27.910391748224,48.3422165670752,3,21.6034448259854
"gd06","Sludge C4",20.9194444444444,234.72852409568,29.321378974773,50.7861181322886,3,21.6361084908399
"gd06","Sludge C4",30.96875,247.700273061657,30.6373283821542,53.0654093660631,3,21.4232341006964
"gd06","Sludge C4",41.8819444444444,257.09984213839,33.1949693449781,57.4953734611935,3,22.3630528058611
"gd06","Sludge C4",50.8645833333333,265.492485312067,33.0960109255293,57.3239724508714,3,21.5915612012488
"gd06","Sludge C4",60.9166666666667,275.095911667403,34.7539063106754,60.1955314915784,3,21.8816525213781
"gd06","Sludge C5",0,0,0,0,3,NA
"gd06","Sludge C5",0.874305555555556,17.5702427271361,2.09337114216814,3.62582517733371,3,20.6361701067103
"gd06","Sludge C5",2.01388888888889,35.4832045849638,4.43426654077247,7.68037494292061,3,21.6450995132926
"gd06","Sludge C5",2.85,51.3183919712497,6.25252309621877,10.8296876781488,3,21.1029365148774
