"id","descrip","descrip2","descrip1","tare","m.inoc","m.sub","m.water","m.tot1","m.tot2","m.tot","m.tot.sd","vol.hs","conc.sub.vs","m.sub.vs","conc.inoc.vs","m.inoc.vs","date","time.d","day.grav","time.orig.grav","time.grav","vol.grav","pres.init.grav","pres.resid.grav","mass.init.grav","mass.final.grav","notes.grav","date.time.grav","start.time.grav","xCH4.grav","vol.hs.gdv","temperature","pressure","massloss","cmassloss","vBg.grav","vCH4.grav","cvBg.grav","cvCH4.grav","rvBg.grav","rvCH4.grav","xCH4c.grav","day.gdt","time.orig.gdt","time.gdt","vol.gdt","pres.init.gdt","pres.resid.gdt","mass.init.gdt","mass.final.gdt","notes.gdt","date.time.gdt","start.time.gdt","temp.vol.gdt","temp.grav.gdt","pres.vol.gdt","pres.grav.gdt","mass.tot.gdt","mass.vent.gdt","mass.leak.gdt","cmass.tot.gdt","cmass.leak.gdt","cmass.vent.gdt","vBg.gdt","cvBg.gdt","xCH4.gdt","xCH4.lim.flag.gdt","vCH4.gdt","cvCH4.gdt","rvBg.gdt","rvCH4.gdt","xCH4c.gdt","day.gdv","time.orig.gdv","time.gdv","vol.gdv","pres.init.gdv","pres.resid.gdv","mass.init.gdv","mass.final.gdv","notes.gdv","date.time.gdv","start.time.gdv","temp.vol.gdv","temp.grav.gdv","pres.vol.gdv","pres.grav.gdv","mass.tot.gdv","mass.vent.gdv","mass.leak.gdv","cmass.tot.gdv","cmass.leak.gdv","cmass.vent.gdv","vBg.gdv","cvBg.gdv","xCH4.gdv","xCH4.lim.flag.gdv","vCH4.gdv","cvCH4.gdv","rvBg.gdv","rvCH4.gdv","xCH4c.gdv","daygdvhc","time.origgdvhc","timegdvhc","volgdvhc","pres.initgdvhc","pres.residgdvhc","mass.initgdvhc","mass.finalgdvhc","notesgdvhc","date.timegdvhc","start.timegdvhc","vol.hsgdvhc","temp.volgdvhc","temp.gravgdvhc","pres.volgdvhc","pres.gravgdvhc","mass.totgdvhc","mass.ventgdvhc","mass.leakgdvhc","cmass.totgdvhc","cmass.leakgdvhc","cmass.ventgdvhc","vBggdvhc","cvBggdvhc","xCH4gdvhc","xCH4.lim.flaggdvhc","vCH4gdvhc","cvCH4gdvhc","rvBggdvhc","rvCH4gdvhc","xCH4c.gdv.hc","aerr1","aerr2"
"C2-2","HS2","Conf. 2","Sludge C2",257.06,100.61,49.95,NA,407.58,407.58,407.58,0,176.844,69.6715,3.480091425,32.4977,3.269593597,"07032017",20.9194444444444,21,1038,"1034",66,36,0.3,405.46,405.32,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,0.7171,176.844,30,150,0.269999999999982,2.25999999999999,246.341933765861,176.870154449,1904.20300526437,1223.94082152406,27.4858503504448,19.7344663262482,0.642757530652112,21,1038,"1034",66,36,0.3,405.46,405.32,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.269999999999982,0.139999999999986,0.129999999999995,2.25999999999999,0.439999999999998,1.81999999999999,60.0734681753213,1495.4652759402,0.387338792146767,"",23.2687846030962,579.251713680107,6.70275795540545,2.59623817049888,0.387338792146767,21,1038,"1034",66,36,0.3,405.46,405.32,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.269999999999982,0.139999999999986,0.129999999999995,2.25999999999999,0.439999999999998,1.81999999999999,222.090489070226,1858.9796492546,0.621934355878752,"",138.353966401077,1158.07394098687,24.7799708864966,15.436983698865,0.622962140253242,21,1038,"1034",66,36,0.3,405.46,405.32,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,176.844,20,30,101.325,150,0.269999999999982,0.139999999999986,0.129999999999995,2.25999999999999,0.439999999999998,1.81999999999999,222.850959609303,1865.34506932243,0.625231777247624,"",139.561747077881,1168.1835125779,24.8648211558497,15.571743049136,0.626255984369814,-0.0197953903988706,-0.0165015462822987
"C2-3","HS2","Conf. 2","Sludge C2",255.5,102.71,46.8,NA,404.93,404.94,404.935,0.00707106781185904,177.894,69.6715,3.2606262,32.4977,3.337838767,"07032017",20.9194444444444,21,1038,"1034",84,44.6,0.3,402.92,402.84,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,0.7129,177.894,30,150,0.200000000000045,2.09500000000003,181.600680706058,129.625529334096,1765.56611439681,1136.13922270879,20.262279576687,14.463099507291,0.643498543296939,21,1038,"1034",84,44.6,0.3,402.92,402.84,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.200000000000045,0.0800000000000409,0.120000000000005,2.09500000000003,0.144999999999925,1.9500000000001,76.4571413140454,1628.35506917651,0.566469891998023,"",43.3106685826449,922.414120170853,8.53078285233421,4.83243164102035,0.566469891998023,21,1038,"1034",84,44.6,0.3,402.92,402.84,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.200000000000045,0.0800000000000409,0.120000000000005,2.09500000000003,0.144999999999925,1.9500000000001,167.199601393126,1751.41582459262,0.637470545137996,"",106.753709289091,1118.24510480299,18.6554645905858,11.911153058755,0.638480644688191,21,1038,"1034",84,44.6,0.3,402.92,402.84,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,177.894,20,30,101.325,150,0.200000000000045,0.0800000000000409,0.120000000000005,2.09500000000003,0.144999999999925,1.9500000000001,168.044085857713,1760.26179935917,0.642249112845903,"",108.094921033374,1132.29429782435,18.7496887986291,12.0608001152997,0.64325334915327,-0.00501789860874846,-0.000245194143668748
"C3-1","C3","Conf. 3","Sludge C3",256.51,101.69,44.15,NA,402.31,402.32,402.315,0.00707106781185904,181.564,75.6107,3.338212405,32.4977,3.304691113,"07032017",20.9194444444444,21,1042,"1034",41,21.5,0.1,400.5,400.45,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,0.6739,181.564,30,150,0.180000000000007,1.86500000000001,156.473465253084,105.597740407363,1590.02387190487,1025.6226589542,17.4586851049466,11.7821746619094,0.645036013028839,21,1042,"1034",41,21.5,0.1,400.5,400.45,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.180000000000007,0.0500000000000114,0.129999999999995,1.86500000000001,0.284999999999968,1.58000000000004,37.3183665937602,1311.60405516118,0.458551073980201,"",17.1123770807556,601.437448130947,4.16383448744884,1.90933077609546,0.458551073980201,21,1042,"1034",41,21.5,0.1,400.5,400.45,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.180000000000007,0.0500000000000114,0.129999999999995,1.86500000000001,0.284999999999968,1.58000000000004,149.588483415788,1549.90289761353,0.63180598801608,"",94.6629998803568,980.813859871442,16.6904862946486,10.5621199308627,0.63282277966036,21,1042,"1034",41,21.5,0.1,400.5,400.45,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,181.564,20,30,101.325,150,0.180000000000007,0.0500000000000114,0.129999999999995,1.86500000000001,0.284999999999968,1.58000000000004,150.438600984048,1558.71106019578,0.637211144721322,"",96.0131581300146,994.802999513729,16.78533902193,10.712765202791,0.638221556847605,-0.0122132333684785,-0.00681445618123433
"C3-2","C3","Conf. 3","Sludge C3",257.49,102.82,43.84,NA,404.12,404.11,404.115,0.00707106781185904,180.744,75.6107,3.314773088,32.4977,3.341413514,"07032017",20.9194444444444,21,1042,"1034",50,26.7,0.3,402.32,402.27,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,0.6716,180.744,30,150,0.189999999999998,1.84500000000003,164.752180511706,110.8063609529,1575.0525295931,1032.07670536452,18.3823911310132,12.363331766014,0.655264942580135,21,1042,"1034",50,26.7,0.3,402.32,402.27,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.189999999999998,0.0500000000000114,0.139999999999986,1.84500000000003,0.245000000000005,1.60000000000002,45.5102031631222,1391.70201272828,0.535261693497789,"",24.3598684165212,744.92477617722,5.07784693591322,2.71797695023947,0.535261693497789,21,1042,"1034",50,26.7,0.3,402.32,402.27,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.189999999999998,0.0500000000000114,0.139999999999986,1.84500000000003,0.245000000000005,1.60000000000002,165.479058688174,1606.88875410362,0.675628132119076,"",111.960790179041,1087.19819937019,18.463493298541,12.4921383742305,0.676585853621625,21,1042,"1034",50,26.7,0.3,402.32,402.27,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,180.744,20,30,101.325,150,0.189999999999998,0.0500000000000114,0.139999999999986,1.84500000000003,0.245000000000005,1.60000000000002,167.507748716555,1626.5884020108,0.686686287101171,"",115.182759327879,1118.48521557864,18.689846439783,12.8516328399307,0.687626454360527,0.0213209110414908,0.0323615117803927
"C3-3","C3","Conf. 3","Sludge C3",257.8,101.3,42.81,NA,401.85,401.86,401.855,0.00707106781185904,183.294,75.6107,3.236894067,32.4977,3.29201701,"07032017",20.9194444444444,21,1042,"1034",74,37.9,0.2,400.14,400.08,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,0.6888,183.294,30,150,0.160000000000025,1.77500000000003,141.390464186429,97.5221908194124,1519.47416317816,990.884572536026,15.7757840096434,10.8811370509805,0.652123344080739,21,1042,"1034",74,37.9,0.2,400.14,400.08,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.160000000000025,0.0600000000000023,0.100000000000023,1.77500000000003,0.2650000000001,1.50999999999993,67.3551006814209,1310.69385109792,0.512513816150358,"",34.5204196874266,671.748707431004,7.51521346515156,3.85165073220938,0.512513816150358,21,1042,"1034",74,37.9,0.2,400.14,400.08,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.160000000000025,0.0600000000000023,0.100000000000023,1.77500000000003,0.2650000000001,1.50999999999993,139.060519847688,1542.70264206008,0.673722363295444,"",93.8217690334776,1040.835250215,15.5158181141075,10.4682587485052,0.674683002308921,21,1042,"1034",74,37.9,0.2,400.14,400.08,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,183.294,20,30,101.325,150,0.160000000000025,0.0600000000000023,0.100000000000023,1.77500000000003,0.2650000000001,1.50999999999993,140.869418368787,1562.77011002852,0.685471312171738,"",96.6946649154619,1072.70643890576,15.7176477956806,10.7888050114881,0.686413460317706,0.0225596582281818,0.0342901162369671
"C4-1","C4","Conf. 4","Sludge C4",248.33,99.89,43.48,NA,391.69,391.69,391.69,0,184.034,77.3047,3.361208356,32.4977,3.246195253,"07032017",20.9194444444444,21,1047,"1034",77,38.6,0.1,389.92,389.86,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,0.6724,184.034,30,150,0.0799999999999841,1.82999999999998,69.429909165417,46.7515072618869,1551.7096226001,989.663856289089,14.4939213102639,9.7596651865928,0.637789340141342,21,1047,"1034",77,38.6,0.1,389.92,389.86,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.0799999999999841,0.0600000000000023,0.0199999999999818,1.82999999999998,0.019999999999925,1.81000000000006,70.0857128712082,1574.65302944403,0.665669847798366,"",46.6539458198171,1048.19904244524,14.6308243743897,9.73929863446458,0.665669847798366,21,1047,"1034",77,38.6,0.1,389.92,389.86,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.0799999999999841,0.0600000000000023,0.0199999999999818,1.82999999999998,0.019999999999925,1.81000000000006,69.6882845243103,1594.1195084939,0.675797028860116,"",47.1618594712082,1078.82753540409,14.5478587583367,9.84532873855317,0.676754490272408,21,1047,"1034",77,38.6,0.1,389.92,389.86,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,184.034,20,30,101.325,150,0.0799999999999841,0.0600000000000023,0.0199999999999818,1.82999999999998,0.019999999999925,1.81000000000006,70.4473713163419,1611.48361886163,0.685633662551273,"",48.367442478469,1106.40524669519,14.7063228030636,10.0970016191643,0.686575546747888,0.0389651501310661,0.0487862066065466
"C4-2","C4","Conf. 4","Sludge C4",234.42,100.53,42.62,NA,377.52,377.52,377.52,0,184.254,77.3047,3.294726314,32.4977,3.266993781,"07032017",20.9194444444444,21,1047,"1034",75,35.6,0.2,375.77,375.69,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,0.6737,184.254,30,150,0.100000000000023,1.82999999999998,86.9107005362754,58.6352317200013,1551.72677413385,1004.51330217727,18.1431442116899,12.2404658853004,0.647351917181405,21,1047,"1034",75,35.6,0.2,375.77,375.69,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.100000000000023,0.0799999999999841,0.0200000000000387,1.82999999999998,0.130000000000052,1.69999999999993,68.2653047446833,1519.13058158502,0.63180234564356,"",43.1301796637634,959.790264784282,14.2508029620678,9.00369073873867,0.63180234564356,21,1047,"1034",75,35.6,0.2,375.77,375.69,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.100000000000023,0.0799999999999841,0.0200000000000387,1.82999999999998,0.130000000000052,1.69999999999993,89.4861188475826,1637.59597491037,0.700034910676426,"",62.7255157103082,1147.87693749837,18.6807786518584,13.0943378693598,0.700952466350067,21,1047,"1034",75,35.6,0.2,375.77,375.69,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,184.254,20,30,101.325,150,0.100000000000023,0.0799999999999841,0.0200000000000387,1.82999999999998,0.130000000000052,1.69999999999993,90.8499996782997,1662.55499411249,0.713378851789922,"",64.8916336966858,1187.51689664907,18.9654971784215,13.5465283449156,0.714272250153742,0.0536005491686614,0.0669203329723363
"C4-3","C4","Conf. 4","Sludge C4",257.01,100.29,42.92,NA,400.18,400.19,400.185,0.00707106781185904,184.194,77.3047,3.317917724,32.4977,3.259194333,"07032017",20.9194444444444,21,1047,"1034",45,23.1,0.3,398.41,398.37,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,0.662,184.194,30,150,0.089999999999975,1.815,77.2319526227798,51.2030767960371,1542.57141603911,1002.26616078482,16.1226459519865,10.6889577538842,0.64973728306101,21,1047,"1034",45,23.1,0.3,398.41,398.37,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.089999999999975,0.0400000000000205,0.0499999999999545,1.815,0.144999999999925,1.67000000000007,40.95918284681,1436.30201182814,0.584739038685761,"",23.950433203198,839.86185765881,8.55048177724071,4.99980049472385,0.584739038685761,21,1047,"1034",45,23.1,0.3,398.41,398.37,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.089999999999975,0.0400000000000205,0.0499999999999545,1.815,0.144999999999925,1.67000000000007,77.5024170116056,1562.96540973448,0.665233442023791,"",51.6326288244223,1041.25801462614,16.1791070595408,10.7786293863682,0.666206691549898,21,1047,"1034",45,23.1,0.3,398.41,398.37,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,184.194,20,30,101.325,150,0.089999999999975,0.0400000000000205,0.0499999999999545,1.815,0.144999999999925,1.67000000000007,78.3072074754251,1579.19535075484,0.674723245864504,"",52.9107984853508,1067.03443612154,16.347112027343,11.0454551781538,0.67568235659477,0.0164694084888882,0.0259450735337599
"C5-1","C5","Conf. 5","Sludge C5",257.51,101.72,39.79,NA,398.95,398.94,398.945,0.00707106781185904,185.894,81.5342,3.244245818,32.4977,3.305666044,"07032017",20.9194444444444,21,1051,"1034",49,24.7,0.1,397.18,397.14,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,0.6709,185.894,30,150,0.259999999999991,1.80500000000001,225.278386741224,151.356641117033,1527.72869324883,971.222076760639,19.0779156026443,12.8177818871164,0.635729420447855,21,1051,"1034",49,24.7,0.1,397.18,397.14,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.259999999999991,0.0400000000000205,0.21999999999997,1.80500000000001,0.284999999999911,1.5200000000001,44.5999990998598,1291.57956576941,0.478013682302472,"",21.3194098004109,617.392704220063,3.77699357232405,1.80545460553939,0.478013682302472,21,1051,"1034",49,24.7,0.1,397.18,397.14,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.259999999999991,0.0400000000000205,0.21999999999997,1.80500000000001,0.284999999999911,1.5200000000001,221.193804103489,1535.59544771851,0.653954719036547,"",144.86949963137,1005.72864167167,18.7320088161035,12.2684121071026,0.654943750429786,21,1051,"1034",49,24.7,0.1,397.18,397.14,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,185.894,20,30,101.325,150,0.259999999999991,0.0400000000000205,0.21999999999997,1.80500000000001,0.284999999999911,1.5200000000001,223.364811988384,1550.66725245788,0.663038200551944,"",148.317498255683,1029.6657090443,18.9158626948526,12.5604091677361,0.664014608815808,0.0192143299819307,0.0282851883679526
"C5-2","C5","Conf. 5","Sludge C5",258.04,107.63,41.63,NA,407.23,407.24,407.235,0.00707106781185904,178.144,81.5342,3.394268746,32.4977,3.497727451,"07032017",20.9194444444444,21,1051,"1034",114,60.4,0.4,405.47,405.36,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,0.6961,178.144,30,150,0.259999999999991,1.875,231.638385600923,161.457602735572,1593.69290599199,1030.02166315875,19.6165181877987,13.6731914807824,0.646311255629022,21,1051,"1034",114,60.4,0.4,405.47,405.36,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.259999999999991,0.110000000000014,0.149999999999977,1.875,0.254999999999939,1.62000000000006,103.763263211919,1398.98364523438,0.523665289409511,"",54.3372192599447,732.599175460833,8.78729116826411,4.60159937275467,0.523665289409511,21,1051,"1034",114,60.4,0.4,405.47,405.36,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.259999999999991,0.110000000000014,0.149999999999977,1.875,0.254999999999939,1.62000000000006,224.813072104475,1621.2481161381,0.66900055048325,"",150.61762757473,1086.18481424088,19.0385099876761,12.7551978186081,0.669968281491812,21,1051,"1034",114,60.4,0.4,405.47,405.36,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,178.144,20,30,101.325,150,0.259999999999991,0.110000000000014,0.149999999999977,1.875,0.254999999999939,1.62000000000006,227.264815627866,1638.92895885486,0.678921623025479,"",154.511491044613,1114.26556041792,19.2461382324234,13.0849533700448,0.679874227859435,0.0236570258627905,0.0335629722304137
"C5-3","C5","Conf. 5","Sludge C5",257.5,102.14,39.8,NA,399.38,399.38,399.38,0,185.464,81.5342,3.24506116,32.4977,3.319315078,"07032017",20.9194444444444,21,1051,"1034",65,32.4,0.2,397.65,397.58,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,0.6831,185.464,30,150,0.259999999999991,1.80000000000001,228.313409053006,156.176869006849,1520.55281415651,956.569013321026,19.3349393693442,13.2259874952871,0.629092922268314,21,1051,"1034",65,32.4,0.2,397.65,397.58,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.259999999999991,0.0699999999999932,0.189999999999998,1.80000000000001,0.229999999999961,1.57000000000005,59.1632641120589,1337.99997299579,0.519652431060529,"",30.7443340253075,695.294938726186,5.01029759594006,2.60361332606698,0.519652431060529,21,1051,"1034",65,32.4,0.2,397.65,397.58,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.259999999999991,0.0699999999999932,0.189999999999998,1.80000000000001,0.229999999999961,1.57000000000005,221.848792643996,1535.87625676619,0.656713837335522,"",145.909753608486,1010.14444805879,18.7874771469863,12.3565070098929,0.657699110594796,21,1051,"1034",65,32.4,0.2,397.65,397.58,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,185.464,20,30,101.325,150,0.259999999999991,0.0699999999999932,0.189999999999998,1.80000000000001,0.229999999999961,1.57000000000005,224.038523332513,1551.03593076362,0.665821356716598,"",149.387487823157,1034.22106954498,18.9729165842636,12.6510222574304,0.666793753150387,0.028606188326482,0.0377008308820733
"C6-1","C6","Conf. 6","Sludge C6",248.49,103.03,39.46,NA,390.92,390.92,390.92,0,184.914,82.914,3.27178644,32.4977,3.348238031,"07032017",20.9194444444444,21,1059,"1034",75,37.2,0.3,389.17,389.1,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,0.6901,184.914,30,150,0.0999999999999659,1.81999999999999,88.4968747782968,61.1543965017414,1538.91179287058,956.422358220049,15.5257675049644,10.7288414915336,0.621492643471139,21,1059,"1034",75,37.2,0.3,389.17,389.1,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.0999999999999659,0.0699999999999932,0.0299999999999727,1.81999999999999,0.440000000000055,1.37999999999994,68.2653047446833,1162.33058878614,0.343816613810784,"",23.4707459180783,399.628567165146,11.9763692534532,4.11767472246987,0.343816613810784,21,1059,"1034",75,37.2,0.3,389.17,389.1,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.0999999999999659,0.0699999999999932,0.0299999999999727,1.81999999999999,0.440000000000055,1.37999999999994,84.3250968634152,1534.71676291467,0.645649433866932,"",54.5287713202167,992.423638028279,14.7938766427044,9.56645110880995,0.646649376620809,21,1059,"1034",75,37.2,0.3,389.17,389.1,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,184.914,20,30,101.325,150,0.0999999999999659,0.0699999999999932,0.0299999999999727,1.81999999999999,0.440000000000055,1.37999999999994,85.1160889570909,1549.11281901958,0.654410900222318,"",55.7850263848858,1015.28748020526,14.9326471854545,9.78684673419049,0.655399314846438,0.0251567331496699,0.0339066713752988
"C6-2","C6","Conf. 6","Sludge C6",255.87,99.26,38.63,NA,393.73,393.73,393.73,0,189.514,82.914,3.20296782,32.4977,3.225721702,"07032017",20.9194444444444,21,1059,"1034",89,43.6,0.2,392.07,391.97,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,0.6808,189.514,30,150,0.109999999999957,1.75999999999999,96.3494307899526,65.6861901653958,1477.91915940749,937.711630104326,16.903408910518,11.523893011473,0.634481002655288,21,1059,"1034",89,43.6,0.2,392.07,391.97,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.109999999999957,0.0999999999999659,0.00999999999999091,1.75999999999999,0.0300000000000296,1.72999999999996,81.0081616303576,1520.04078564828,0.669096109654596,"",54.202245797143,1017.05337619358,14.2119581807645,9.50916592932333,0.669096109654596,21,1059,"1034",89,43.6,0.2,392.07,391.97,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.109999999999957,0.0999999999999659,0.00999999999999091,1.75999999999999,0.0300000000000296,1.72999999999996,96.7792963436778,1548.46874149945,0.68483265747218,"",66.3689034103345,1061.90245456576,16.9788239199435,11.643667264971,0.685775841711522,21,1059,"1034",89,43.6,0.2,392.07,391.97,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,189.514,20,30,101.325,150,0.109999999999957,0.0999999999999659,0.00999999999999091,1.75999999999999,0.0300000000000296,1.72999999999996,98.0557883052827,1568.89261288513,0.696600116024445,"",68.3962302377413,1094.33968380429,17.2027698781198,11.9993386382002,0.697523638531154,0.0512948390562344,0.0630426358758662
"C6-3","C6","Conf. 6","Sludge C6",257.28,100.51,39.01,NA,396.75,396.75,396.75,0,187.884,82.914,3.23447514,32.4977,3.266343827,"07032017",20.9194444444444,21,1059,"1034",71,35.2,0.3,395.04,394.97,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,0.6777,187.884,30,150,0.109999999999957,1.77999999999997,96.0215599166164,65.165465055146,1502.52006560757,960.894401674767,16.8458877046695,11.432537728973,0.639521843115095,21,1059,"1034",71,35.2,0.3,395.04,394.97,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.109999999999957,0.0699999999999932,0.0399999999999636,1.77999999999997,0.0400000000000205,1.73999999999995,64.6244884916336,1494.55507187693,0.642683243768357,"",41.5330758906739,960.525501584318,11.3376295599357,7.2865045422235,0.642683243768357,21,1059,"1034",71,35.2,0.3,395.04,394.97,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.109999999999957,0.0699999999999932,0.0399999999999636,1.77999999999997,0.0400000000000205,1.73999999999995,94.6011687719099,1530.81891285512,0.664023101547775,"",62.9095972865356,1017.99166518251,16.5966962757737,11.0367714537782,0.664998097837619,21,1059,"1034",71,35.2,0.3,395.04,394.97,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,187.884,20,30,101.325,150,0.109999999999957,0.0699999999999932,0.0399999999999636,1.77999999999997,0.0400000000000205,1.73999999999995,95.5433235057611,1546.06468945744,0.673140305283761,"",64.4059291279861,1042.20503498053,16.7619865799581,11.2992858119274,0.674101829042011,0.0254762547225238,0.034579985926916
"E1","Ethanol","Ethanol","Ethanol",255.81,100.67,0.61,NA,357.05,357.05,357.05,0,226.124,1000,0.61,32.4977,3.271543459,"07032017",20.9194444444444,21,1115,"1034",48,20.1,0.1,356.29,356.24,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,0.7328,226.124,30,150,0.0799999999999841,0.810000000000002,74.3285610026078,54.5315549130894,732.325630734424,520.140313661892,6.29458526486446,4.61805687337384,0.710258240095,21,1115,"1034",48,20.1,0.1,356.29,356.24,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.0799999999999841,0.0500000000000114,0.0299999999999727,0.810000000000002,0.00999999999999091,0.800000000000011,43.6897950365973,709.959169344707,0.682613400728654,"",29.8232395670696,484.627642964881,3.69991207084805,2.52560956107858,0.682613400728654,21,1115,"1034",48,20.1,0.1,356.29,356.24,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.0799999999999841,0.0500000000000114,0.0299999999999727,0.810000000000002,0.00999999999999091,0.800000000000011,71.0936990750816,719.823703135346,0.693844184854858,"",49.393941386416,500.113656537563,6.02063788920945,4.18297315904723,0.694772420467972,21,1115,"1034",48,20.1,0.1,356.29,356.24,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,226.124,20,30,101.325,150,0.0799999999999841,0.0500000000000114,0.0299999999999727,0.810000000000002,0.00999999999999091,0.800000000000011,74.5574663678732,754.894346974869,0.73542900492969,"",54.8951028255702,555.81291610901,6.3139703346117,4.64884427598336,0.736279081087772,-0.0154858196270281,0.0260208409927724
"E2","Ethanol","Ethanol","Ethanol",248.2,100.36,0.61,NA,349.14,349.14,349.14,0,226.434,1000,0.61,32.4977,3.261469172,"07032017",20.9194444444444,21,1115,"1034",26,10.8,0,348.35,348.32,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,0.7328,226.434,30,150,0.100000000000023,0.819999999999993,92.9107012532994,68.1644436413908,743.882954498663,530.810306756521,7.86823158108393,5.77257109171976,0.713566971183335,21,1115,"1034",26,10.8,0,348.35,348.32,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.100000000000023,0.0300000000000296,0.0699999999999932,0.819999999999993,0.0400000000000205,0.779999999999973,23.6653056448236,707.228557154919,0.667826924330831,"",15.8043282821316,472.306272123701,2.00411903837602,1.33840465339152,0.667826924330831,21,1115,"1034",26,10.8,0,348.35,348.32,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20,30,101.325,150,0.100000000000023,0.0300000000000296,0.0699999999999932,0.819999999999993,0.0400000000000205,0.779999999999973,90.8027771162962,744.582772353453,0.712923509239202,"",64.816634738848,531.496404858429,7.68972000984865,5.48905869348043,0.713817757532171,21,1115,"1034",26,10.8,0,348.35,348.32,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,226.434,20,30,101.325,150,0.100000000000023,0.0300000000000296,0.0699999999999932,0.819999999999993,0.0400000000000205,0.779999999999973,96.2987499267563,789.649749399216,0.762930597183596,"",73.5453486332436,603.071858792455,8.15515172280223,6.22825817642147,0.76372069927368,0.000250786348836018,0.0501537280903448
