"id","date","elapsed.time","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.vent","cmass.leak"
"B3","16042017",60.9166666666667,0.110000000000014,0.0600000000000023,0.0500000000000114,2.13999999999999,1.78000000000003,0.359999999999957
"C1-1","14022017",0,0,0,0,0,0,0
"C1-1","15022017",0.874305555555556,0.199999999999989,0.189999999999998,0.00999999999999091,0.199999999999989,0.189999999999998,0.00999999999999091
"C1-1","16022017",2.01388888888889,0.240000000000009,0.240000000000009,0,0.439999999999998,0.430000000000007,0.00999999999999091
"C1-1","17022017",2.85,0.17999999999995,0.17999999999995,0,0.619999999999948,0.609999999999957,0.00999999999999091
"C1-1","18022017",4.15138888888889,0.270000000000039,0.29000000000002,-0.0199999999999818,0.889999999999986,0.899999999999977,-0.00999999999999091
"C1-1","19022017",5.14513888888889,0.229999999999961,0.229999999999961,0,1.11999999999995,1.12999999999994,-0.00999999999999091
"C1-1","20022017",5.93194444444444,0.200000000000045,0.200000000000045,0,1.31999999999999,1.32999999999998,-0.00999999999999091
"C1-1","21022017",7.13194444444444,0.239999999999952,0.25,-0.0100000000000477,1.55999999999995,1.57999999999998,-0.0200000000000387
"C1-1","22022017",8.19375,0.100000000000023,0.110000000000014,-0.00999999999999091,1.65999999999997,1.69,-0.0300000000000296
"C1-1","23022017",9.11111111111111,0.0799999999999841,0.0699999999999932,0.00999999999999091,1.73999999999995,1.75999999999999,-0.0200000000000387
"C1-1","26022017",11.9569444444444,0.150000000000034,0.139999999999986,0.0100000000000477,1.88999999999999,1.89999999999998,-0.00999999999999091
"C1-1","07032017",20.9194444444444,0.189999999999998,0.139999999999986,0.0500000000000114,2.07999999999998,2.03999999999996,0.0400000000000205
"C1-1","17032017",30.96875,0.149999999999977,0.0600000000000023,0.089999999999975,2.22999999999996,2.09999999999997,0.129999999999995
"C1-1","06042017",50.8645833333333,0.129999999999995,0.129999999999995,0,2.35999999999996,2.22999999999996,0.129999999999995
"C1-1","16042017",60.9166666666667,0.150000000000034,0.100000000000023,0.0500000000000114,2.50999999999999,2.32999999999998,0.180000000000007
"C1-2","14022017",0,0,0,0,0,0,0
"C1-2","15022017",0.874305555555556,0.204999999999984,0.199999999999989,0.00499999999999545,0.204999999999984,0.199999999999989,0.00499999999999545
"C1-2","16022017",2.01388888888889,0.240000000000009,0.259999999999991,-0.0199999999999818,0.444999999999993,0.45999999999998,-0.0149999999999864
"C1-2","17022017",2.85,0.170000000000016,0.180000000000007,-0.00999999999999091,0.615000000000009,0.639999999999986,-0.0249999999999773
"C1-2","18022017",4.15138888888889,0.240000000000009,0.259999999999991,-0.0199999999999818,0.855000000000018,0.899999999999977,-0.0449999999999591
"C1-2","19022017",5.14513888888889,0.25,0.25,0,1.10500000000002,1.14999999999998,-0.0449999999999591
"C1-2","20022017",5.93194444444444,0.180000000000007,0.180000000000007,0,1.28500000000003,1.32999999999998,-0.0449999999999591
"C1-2","21022017",7.13194444444444,0.269999999999982,0.259999999999991,0.00999999999999091,1.55500000000001,1.58999999999997,-0.0349999999999682
"C1-2","22022017",8.19375,0.220000000000027,0.210000000000036,0.00999999999999091,1.77500000000003,1.80000000000001,-0.0249999999999773
"C1-2","23022017",9.11111111111111,0.089999999999975,0.0699999999999932,0.0199999999999818,1.86500000000001,1.87,-0.00499999999999545
"C1-2","26022017",11.9569444444444,0.100000000000023,0.0600000000000023,0.0400000000000205,1.96500000000003,1.93000000000001,0.035000000000025
"C1-2","07032017",20.9194444444444,0.21999999999997,0.0699999999999932,0.149999999999977,2.185,2,0.185000000000002
