"id","date","xCH4","time.orig","time","date.time","start.time","elapsed.time"
"C2-1","15022017",0.4892,941,"0929",2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556
"C2-1","16022017",0.4903,1257,"1250",2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889
"C2-1","17022017",0.5168,904,"0854",2017-02-17 08:54:00,2017-02-14 12:30:00,2.85
"C2-1","18022017",0.6334,1613,"1608",2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889
"C2-1","19022017",0.6889,1607,"1559",2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889
"C2-1","20022017",0.7098,1057,"1052",2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444
"C2-2","07032017",0.7171,1038,"1034",2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444
"C2-2","15022017",0.4764,941,"0929",2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556
"C2-2","16022017",0.4766,1257,"1250",2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889
"C2-2","17022017",0.5092,904,"0854",2017-02-17 08:54:00,2017-02-14 12:30:00,2.85
"C2-2","18022017",0.6179,1613,"1608",2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889
"C2-2","19022017",0.6762,1607,"1559",2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889
"C2-2","20022017",0.7098,1057,"1052",2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444
"C2-3","07032017",0.7129,1038,"1034",2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444
"C2-3","15022017",0.4856,941,"0929",2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556
"C2-3","16022017",0.4916,1257,"1250",2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889
"C2-3","17022017",0.5303,904,"0854",2017-02-17 08:54:00,2017-02-14 12:30:00,2.85
"C2-3","18022017",0.6387,1613,"1608",2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889
"C2-3","19022017",0.6865,1607,"1559",2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889
"C2-3","20022017",0.7071,1057,"1052",2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444
"C3","07032017",0.5982,1112,"1034",2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444
"C3","15022017",0.2432,1029,"0929",2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556
"C3","16022017",0.3621,1336,"1250",2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889
"C3","17022017",0.4488,943,"0854",2017-02-17 08:54:00,2017-02-14 12:30:00,2.85
"C3","18022017",0.4803,1656,"1608",2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889
"C3","19022017",0.5282,1643,"1559",2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889
"C3","20022017",0.5465,1131,"1052",2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444
"C3-1","07032017",0.6739,1042,"1034",2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444
"C3-1","15022017",0.3948,949,"0929",2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556
"C3-1","16022017",0.5645,1303,"1250",2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889
"C3-1","17022017",0.5908,909,"0854",2017-02-17 08:54:00,2017-02-14 12:30:00,2.85
"C3-1","18022017",0.6809,1619,"1608",2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889
"C3-1","19022017",0.716,1613,"1559",2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889
"C3-1","20022017",0.7375,1102,"1052",2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444
"C3-2","07032017",0.6716,1042,"1034",2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444
"C3-2","15022017",0.4862,949,"0929",2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556
"C3-2","16022017",0.5553,1303,"1250",2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889
"C3-2","17022017",0.6023,909,"0854",2017-02-17 08:54:00,2017-02-14 12:30:00,2.85
"C3-2","18022017",0.7035,1619,"1608",2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889
"C3-2","19022017",0.7086,1613,"1559",2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889
"C3-2","20022017",0.7311,1102,"1052",2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444
"C3-3","07032017",0.6888,1042,"1034",2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444
"C3-3","15022017",0.4329,949,"0929",2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556
"C3-3","16022017",0.565,1303,"1250",2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889
"C3-3","17022017",0.5868,909,"0854",2017-02-17 08:54:00,2017-02-14 12:30:00,2.85
"C3-3","18022017",0.6861,1619,"1608",2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889
"C3-3","19022017",0.7228,1613,"1559",2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889
"C3-3","20022017",0.7398,1102,"1052",2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444
"C4-1","07032017",0.6724,1047,"1034",2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444
"C4-1","15022017",0.3782,956,"0929",2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556
"C4-1","16022017",0.5608,1309,"1250",2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889
"C4-1","17022017",0.6004,915,"0854",2017-02-17 08:54:00,2017-02-14 12:30:00,2.85
"C4-1","18022017",0.668,1625,"1608",2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889
"C4-1","19022017",0.7031,1619,"1559",2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889
"C4-1","20022017",0.7284,1107,"1052",2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444
"C4-2","07032017",0.6737,1047,"1034",2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444
"C4-2","15022017",0.4715,956,"0929",2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556
"C4-2","16022017",0.5377,1309,"1250",2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889
"C4-2","17022017",0.5905,915,"0854",2017-02-17 08:54:00,2017-02-14 12:30:00,2.85
"C4-2","18022017",0.6804,1625,"1608",2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889
"C4-2","19022017",0.7015,1619,"1559",2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889
"C4-2","20022017",0.7284,1107,"1052",2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444
"C4-3","07032017",0.662,1047,"1034",2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444
"C4-3","15022017",0.4739,956,"0929",2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556
"C4-3","16022017",0.5521,1309,"1250",2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889
"C4-3","17022017",0.5971,915,"0854",2017-02-17 08:54:00,2017-02-14 12:30:00,2.85
"C4-3","18022017",0.6871,1625,"1608",2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889
"C4-3","19022017",0.7044,1619,"1559",2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889
"C4-3","20022017",0.7295,1107,"1052",2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444
"C5-1","07032017",0.6709,1051,"1034",2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444
"C5-1","15022017",0.3783,1002,"0929",2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556
"C5-1","16022017",0.5693,1314,"1250",2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889
"C5-1","17022017",0.603,920,"0854",2017-02-17 08:54:00,2017-02-14 12:30:00,2.85
"C5-1","18022017",0.6857,1631,"1608",2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889
"C5-1","19022017",0.7027,1624,"1559",2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889
"C5-1","20022017",0.7264,1112,"1052",2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444
"C5-2","07032017",0.6961,1051,"1034",2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444
"C5-2","15022017",0.4348,1002,"0929",2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556
"C5-2","16022017",0.5595,1314,"1250",2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889
"C5-2","17022017",0.6005,920,"0854",2017-02-17 08:54:00,2017-02-14 12:30:00,2.85
"C5-2","18022017",0.6853,1631,"1608",2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889
"C5-2","19022017",0.6998,1624,"1559",2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889
"C5-2","20022017",0.7212,1112,"1052",2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444
"C5-3","07032017",0.6831,1051,"1034",2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444
"C5-3","15022017",0.3329,1002,"0929",2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556
"C5-3","16022017",0.5606,1314,"1250",2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889
"C5-3","17022017",0.6007,920,"0854",2017-02-17 08:54:00,2017-02-14 12:30:00,2.85
"C5-3","18022017",0.6666,1631,"1608",2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889
"C5-3","19022017",0.7004,1624,"1559",2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889
"C5-3","20022017",0.7235,1112,"1052",2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444
"C6-1","07032017",0.6901,1059,"1034",2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444
"C6-1","15022017",0.2484,1009,"0929",2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556
"C6-1","16022017",0.5579,1320,"1250",2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889
"C6-1","17022017",0.6011,926,"0854",2017-02-17 08:54:00,2017-02-14 12:30:00,2.85
"C6-1","18022017",0.6659,1637,"1608",2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889
"C6-1","19022017",0.7095,1628,"1559",2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889
"C6-1","20022017",0.7323,1117,"1052",2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444
"C6-2","07032017",0.6808,1059,"1034",2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444
"C6-2","15022017",0.4412,1009,"0929",2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556
"C6-2","16022017",0.5143,1320,"1250",2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889
"C6-2","17022017",0.5829,926,"0854",2017-02-17 08:54:00,2017-02-14 12:30:00,2.85
"C6-2","18022017",0.6616,1637,"1608",2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889
"C6-2","19022017",0.7008,1628,"1559",2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889
"C6-2","20022017",0.7308,1117,"1052",2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444
"C6-3","07032017",0.6777,1059,"1034",2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444
"C6-3","15022017",0.4405,1009,"0929",2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556
"C6-3","16022017",0.5468,1320,"1250",2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889
"C6-3","17022017",0.562,926,"0854",2017-02-17 08:54:00,2017-02-14 12:30:00,2.85
"C6-3","18022017",0.6657,1637,"1608",2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889
"C6-3","19022017",0.7201,1628,"1559",2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889
"C6-3","20022017",0.7313,1117,"1052",2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444
"E1","07032017",0.7328,1115,"1034",2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444
"E1","15022017",0.5163,1034,"0929",2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556
"E1","17022017",0.7067,951,"0854",2017-02-17 08:54:00,2017-02-14 12:30:00,2.85
"E1","18022017",0.7518,1702,"1608",2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889
"E1","19022017",0.7432,1647,"1559",2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889
"E1","20022017",0.7505,1135,"1052",2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444
"E2","07032017",0.7328,1115,"1034",2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444
"E2","15022017",0.5176,1034,"0929",2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556
"E2","17022017",0.7112,951,"0854",2017-02-17 08:54:00,2017-02-14 12:30:00,2.85
"E2","18022017",0.7518,1702,"1608",2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889
"E2","19022017",0.747,1647,"1559",2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889
"E2","20022017",0.7505,1135,"1052",2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444
"E3","07032017",0.7328,1115,"1034",2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444
"E3","15022017",0.5176,1034,"0929",2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556
"E3","17022017",0.7154,951,"0854",2017-02-17 08:54:00,2017-02-14 12:30:00,2.85
"E3","18022017",0.7608,1702,"1608",2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889
"E3","19022017",0.747,1647,"1559",2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889
"E3","20022017",0.7505,1135,"1052",2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444
"I1","07032017",0.6123,1032,"1034",2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444
"I1","15022017",0.2439,929,"0929",2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556
"I1","16022017",0.3971,1344,"1250",2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889
"I1","17022017",0.4238,854,"0854",2017-02-17 08:54:00,2017-02-14 12:30:00,2.85
"I1","18022017",0.5337,1706,"1608",2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889
"I1","20022017",0.557,1139,"1052",2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444
"I2","07032017",0.6012,1032,"1034",2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444
"I2","15022017",0.2439,929,"0929",2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556
"I2","16022017",0.3693,1344,"1250",2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889
"I2","17022017",0.4345,854,"0854",2017-02-17 08:54:00,2017-02-14 12:30:00,2.85
"I2","18022017",0.4844,1706,"1608",2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889
"I2","20022017",0.5224,1139,"1052",2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444
"I3","07032017",0.5987,1032,"1034",2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444
"I3","15022017",0.2439,929,"0929",2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556
"I3","16022017",0.3663,1344,"1250",2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889
"I3","17022017",0.4399,854,"0854",2017-02-17 08:54:00,2017-02-14 12:30:00,2.85
"I3","18022017",0.4844,1706,"1608",2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889
"I3","20022017",0.5206,1139,"1052",2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444
