"id","date","day","time.orig","time","vol","pres.init","pres.resid","mass.init","mass.final","notes","date.time","start.time","time.d","temp.vol","temp.grav","pres.vol","pres.grav","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.leak","cmass.vent","vBg","cvBg","xCH4","xCH4.lim.flag","vCH4","cvCH4","rvBg","rvCH4","xCH4c.gdv"
"C2-3","18022017",4,1613,"1608",205,103.9,0.5,404.3,404.07,NA,2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889,20,30,101.325,150,0.20999999999998,0.230000000000018,-0.0200000000000387,0.865000000000009,-0.0550000000000637,0.920000000000073,175.559581462725,723.138276025112,0.637470545137996,"",112.09139475351,461.70979267522,134.901706139981,86.1321283057918,0.638480644688191
"C2-3","19022017",5,1607,"1559",185,99.7,0.2,404.07,403.87,NA,2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889,20,30,101.325,150,0.199999999999989,0.199999999999989,0,1.065,-0.0550000000000637,1.12000000000006,167.199601393078,890.33787741819,0.637470545137996,"",106.753709289061,568.463501964281,168.25117121316,107.425116265722,0.638480644688191
"C2-3","20022017",6,1057,"1052",166,82.6,0.5,403.86,403.7,NA,2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444,20,30,101.325,150,0.170000000000016,0.160000000000025,0.00999999999999091,1.23500000000001,-0.0450000000000728,1.28000000000009,142.119661184138,1032.45753860233,0.637470545137996,"",90.7406528957155,659.204154859997,180.62869559149,115.327926010442,0.638480644688191
"C2-3","21022017",7,1545,"1540",210,105.3,0.6,403.68,403.48,NA,2017-02-21 15:40:00,2017-02-14 12:30:00,7.13194444444444,20,30,101.325,150,0.21999999999997,0.199999999999989,0.0199999999999818,1.45499999999998,-0.0250000000000909,1.48000000000008,183.919561532372,1216.3771001347,0.637470545137996,"",117.429080217958,776.633235077955,153.266301276976,97.8575668482984,0.638480644688191
"C2-3","22022017",8,1714,"1709",201,100.6,0.4,403.47,403.28,NA,2017-02-22 17:09:00,2017-02-14 12:30:00,8.19375,20,30,101.325,150,0.200000000000045,0.190000000000055,0.00999999999999091,1.65500000000003,-0.0150000000001,1.67000000000013,167.199601393126,1383.57670152782,0.637470545137996,"",106.753709289091,883.386944367046,157.467250494507,100.53979161301,0.638480644688191
"C2-3","23022017",9,1514,"1510",87,42.6,0.1,403.28,403.19,NA,2017-02-23 15:10:00,2017-02-14 12:30:00,9.11111111111111,20,30,101.325,150,0.089999999999975,0.089999999999975,0,1.745,-0.0150000000001,1.7600000000001,75.2398206268685,1458.81652215469,0.637470545137996,"",48.0391691800668,931.426113547113,82.017669721946,52.3666946398912,0.638480644688191
"C2-3","26022017",12,1131,"1128",114,58.5,0.2,403.15,403.04,NA,2017-02-26 11:28:00,2017-02-14 12:30:00,11.9569444444444,20,30,101.325,150,0.149999999999977,0.109999999999957,0.0400000000000205,1.89499999999998,0.0249999999999204,1.87000000000006,125.399701044797,1584.21622319949,0.637470545137996,"",80.0652819667882,1011.4913955139,44.0643166189622,28.1342132826196,0.638480644688191
"C2-3","07032017",21,1038,"1034",84,44.6,0.3,402.92,402.84,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444,20,30,101.325,150,0.200000000000045,0.0800000000000409,0.120000000000005,2.09500000000003,0.144999999999925,1.9500000000001,167.199601393126,1751.41582459262,0.637470545137996,"",106.753709289091,1118.24510480299,18.6554645905858,11.911153058755,0.638480644688191
"C3-1","14022017",0,1230,"1230",0,0,0,402.315,402.315,NA,2017-02-14 12:30:00,2017-02-14 12:30:00,0,20,30,101.325,150,0,0,0,0,0,0,0,0,0.63180598801608,"",0,0,NA,NA,NA
"C3-1","15022017",1,949,"0929",190,96.4,0.3,402.29,402.07,NA,2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556,20,30,101.325,150,0.245000000000005,0.220000000000027,0.0249999999999773,0.245000000000005,0.0249999999999773,0.220000000000027,203.606546871486,203.606546871486,0.63180598801608,"",128.846860948261,128.846860948261,232.87802025015,147.370516096502,0.63282277966036
"C3-1","16022017",2,1303,"1250",210,105.6,0.5,402.07,401.83,NA,2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889,20,30,101.325,150,0.240000000000009,0.240000000000009,0,0.485000000000014,0.0249999999999773,0.460000000000036,199.451311221051,403.057858092536,0.63180598801608,"",126.217333173809,255.06419412207,175.021260303664,110.757440445024,0.63282277966036
"C3-1","17022017",3,909,"0854",164,85.3,0.4,401.83,401.64,NA,2017-02-17 08:54:00,2017-02-14 12:30:00,2.85,20,30,101.325,150,0.189999999999998,0.189999999999998,0,0.675000000000011,0.0249999999999773,0.650000000000034,157.898954716657,560.956812809194,0.63180598801608,"",99.9220554292605,354.986249551331,188.849248166102,119.508106161242,0.63282277966036
"C3-1","18022017",4,1619,"1608",281,144.9,0.6,401.63,401.36,NA,2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889,20,30,101.325,150,0.279999999999973,0.269999999999982,0.00999999999999091,0.954999999999984,0.0349999999999682,0.920000000000016,232.693196424528,793.650009233722,0.63180598801608,"",147.253555369424,502.239804920754,178.803736847023,113.151077765192,0.63282277966036
