"id","elapsed.time","date","day","time.orig","time","vol","pres.init","pres.resid","mass.init","mass.final","notes","date.time","start.time","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.vent","cmass.leak","temperature","pressure","vBg","cvBg","xCH4","vCH4","cvCH4","rvBg","rvCH4","method"
"A2",4.15138888888889,"18022017",4,1644,"1608",255,123.9,0.5,390.48,390.2,NA,2017-02-18 16:08:00,2017-02-14 12:30:00,0.240000000000009,0.28000000000003,-0.0400000000000205,0.889999999999986,0.970000000000027,-0.0800000000000409,20,101.325,232.102036131923,728.163250609956,0.626884794523559,145.50123722906,383.463157089652,178.349483473837,111.804579300879,"gd"
"A2",5.14513888888889,"19022017",5,1634,"1559",214,101,0.4,390.19,389.99,NA,2017-02-19 15:59:00,2017-02-14 12:30:00,0.20999999999998,0.199999999999989,0.00999999999999091,1.09999999999997,1.17000000000002,-0.07000000000005,20,101.325,194.783669538163,922.946920148119,0.770075748594706,149.998180133625,533.461337223276,196.00872406356,150.941564914339,"gd"
"A2",5.93194444444444,"20022017",6,1121,"1052",150,71.8,0.5,389.99,389.85,NA,2017-02-20 10:52:00,2017-02-14 12:30:00,0.139999999999986,0.139999999999986,0,1.23999999999995,1.31,-0.07000000000005,20,101.325,136.530609489367,1059.47752963749,0.771167338827568,105.287946788421,638.749284011697,173.52522300502,133.816984444242,"gd"
"A2",7.13194444444444,"21022017",7,1605,"1540",104,48.9,0.2,389.85,389.76,NA,2017-02-21 15:40:00,2017-02-14 12:30:00,0.0900000000000318,0.0900000000000318,0,1.32999999999998,1.40000000000003,-0.07000000000005,20,101.325,94.6612225792942,1154.13875221678,0.830690494696152,78.6341778129365,717.383461824634,78.8843521494119,65.5284815107804,"gd"
"A2",9.11111111111111,"23022017",9,1531,"1510",85,40.9,0.1,389.74,389.66,NA,2017-02-23 15:10:00,2017-02-14 12:30:00,0.0999999999999659,0.0799999999999841,0.0199999999999818,1.42999999999995,1.48000000000002,-0.0500000000000682,20,101.325,77.3673453773078,1231.50609759409,0.764296741479851,59.1316099688225,776.515071793456,39.0908692432713,29.8770239842472,"gd"
"A2",15.2194444444444,"01032017",15,1750,"1746",130,63,0.4,389.64,389.51,NA,2017-03-01 17:46:00,2017-02-14 12:30:00,0.150000000000034,0.129999999999995,0.0200000000000387,1.57999999999998,1.61000000000001,-0.0300000000000296,20,101.325,118.326528224118,1349.83262581821,0.712767261371207,84.3392754698673,860.854347263324,19.3713279493781,13.8072483716017,"gd"
"A2",20.9194444444444,"07032017",21,1104,"1034",96,45.4,0.1,389.49,389.4,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,0.110000000000014,0.0900000000000318,0.0199999999999818,1.69,1.70000000000005,-0.0100000000000477,20,101.325,87.3795900731947,1437.2122158914,0.767517333986178,67.0653500177835,927.919697281107,15.3297526444201,11.7658508803129,"gd"
"A2",30.96875,"17032017",31,1224,"1145",71,31.1,0.3,389.32,389.27,NA,2017-03-17 11:45:00,2017-02-14 12:30:00,0.129999999999995,0.0500000000000114,0.0799999999999841,1.81999999999999,1.75000000000006,0.0699999999999363,20,101.325,64.6244884916336,1501.83670438303,0.97186619656453,62.8063558352921,990.726053116399,6.43074171985021,6.24982049635966,"gd"
"A2",50.8645833333333,"06042017",51,940,"0915",78,38.8,0.2,389.19,389.11,NA,2017-04-06 09:15:00,2017-02-14 12:30:00,0.159999999999968,0.0799999999999841,0.0799999999999841,1.97999999999996,1.83000000000004,0.14999999999992,20,101.325,70.9959169344707,1572.8326213175,0.690305693118928,49.0088856480636,1039.73493876446,3.56838116529277,2.46327383361995,"gd"
"A2",60.9166666666667,"16042017",61,1100,"1030",43,21.1,0.1,389.05,389,NA,2017-04-16 10:30:00,2017-02-14 12:30:00,0.110000000000014,0.0500000000000114,0.0600000000000023,2.08999999999997,1.88000000000005,0.209999999999923,20,101.325,39.1387747202851,1611.97139603779,0.57016242107065,22.3154585522565,1062.05039731672,3.89359831414236,2.21998344146801,"gd"
"A3",0,"14022017",0,1230,"1230",0,0,0,391.14,391.14,NA,2017-02-14 12:30:00,2017-02-14 12:30:00,0,0,0,0,0,0,20,101.325,0,0,0,0,0,NA,NA,"gd"
"A3",0.874305555555556,"15022017",1,1016,"0929",179,88.8,0.3,391.13,390.92,NA,2017-02-15 09:29:00,2017-02-14 12:30:00,0.21999999999997,0.20999999999998,0.00999999999999091,0.21999999999997,0.20999999999998,0.00999999999999091,20,101.325,162.926527323978,162.926527323978,0.561057562951251,91.4111603605012,91.4111603605012,186.34964205443,104.552876027897,"gd"
"A3",2.01388888888889,"16022017",2,1325,"1250",201,99.7,0.2,390.93,390.7,NA,2017-02-16 12:50:00,2017-02-14 12:30:00,0.220000000000027,0.230000000000018,-0.00999999999999091,0.439999999999998,0.439999999999998,0,20,101.325,182.951016715751,345.877544039729,0.586379034040275,107.278640458468,198.68980081897,160.542025637222,94.1384779160235,"gd"
"A3",2.85,"17022017",3,932,"0854",163,79.1,0.5,390.7,390.51,NA,2017-02-17 08:54:00,2017-02-14 12:30:00,0.189999999999998,0.189999999999998,0,0.629999999999995,0.629999999999995,0,20,101.325,148.363262311778,494.240806351507,0.567662774439864,84.2203011088535,282.910101927823,177.444433329702,100.728599332848,"gd"
"A3",4.15138888888889,"18022017",4,1644,"1608",268,129.9,0.2,390.51,390.24,NA,2017-02-18 16:08:00,2017-02-14 12:30:00,0.269999999999982,0.269999999999982,0,0.899999999999977,0.899999999999977,0,20,101.325,243.934688954335,738.175495305843,0.706229939267918,172.273980565559,455.184082493382,187.441810082307,132.377018150696,"gd"
"A3",5.14513888888889,"19022017",5,1634,"1559",228,110.5,0.4,390.25,390.04,NA,2017-02-19 15:59:00,2017-02-14 12:30:00,0.199999999999989,0.20999999999998,-0.00999999999999091,1.09999999999997,1.10999999999996,-0.00999999999999091,20,101.325,207.526526423837,945.70202172968,0.781925247832676,162.270230605813,617.454313099195,208.831724703233,163.2907980939,"gd"
"A3",5.93194444444444,"20022017",6,1121,"1052",161,75.2,0.3,390.04,389.88,NA,2017-02-20 10:52:00,2017-02-14 12:30:00,0.160000000000025,0.160000000000025,0,1.25999999999999,1.26999999999998,-0.00999999999999091,20,101.325,146.542854185254,1092.24487591493,0.718208262376287,105.248288668053,722.702601767248,186.250406025389,133.766580478372,"gd"
"A3",7.13194444444444,"21022017",7,1605,"1540",77,37.3,0.3,389.89,389.81,NA,2017-02-21 15:40:00,2017-02-14 12:30:00,0.0699999999999932,0.0799999999999841,-0.00999999999999091,1.32999999999998,1.34999999999997,-0.0199999999999818,20,101.325,70.0857128712082,1162.33058878614,0.678637345974812,47.5627821736695,770.265383940917,58.4047607260068,39.6356518113912,"gd"
"A3",9.11111111111111,"23022017",9,1531,"1510",100,47,0.2,389.81,389.73,NA,2017-02-23 15:10:00,2017-02-14 12:30:00,0.0799999999999841,0.0799999999999841,0,1.40999999999997,1.42999999999995,-0.0199999999999818,20,101.325,91.0204063262445,1253.35099511239,0.88796749374025,80.8231620847345,851.088546025652,45.9892579332604,40.8369661059711,"gd"
"A3",15.2194444444444,"01032017",15,1750,"1746",143,69.5,0.3,389.7,389.56,NA,2017-03-01 17:46:00,2017-02-14 12:30:00,0.170000000000016,0.139999999999986,0.0300000000000296,1.57999999999998,1.56999999999994,0.0100000000000477,20,101.325,130.15918104653,1383.51017615892,0.731144908123246,95.1652224676618,946.253768493314,21.3084607443159,15.5795725731506,"gd"
"A3",20.9194444444444,"07032017",21,1104,"1034",99,47.1,0.2,389.55,389.45,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,0.110000000000014,0.100000000000023,0.00999999999999091,1.69,1.66999999999996,0.0200000000000387,20,101.325,90.110202262982,1473.6203784219,0.703918764786686,63.4302622716368,1009.68403076495,15.8088074145583,11.1281161880064,"gd"
"A3",30.96875,"17032017",31,1224,"1145",116,50.8,0.4,389.45,389.32,NA,2017-03-17 11:45:00,2017-02-14 12:30:00,0.129999999999995,0.129999999999995,0,1.81999999999999,1.79999999999995,0.0200000000000387,20,101.325,105.583671338444,1579.20404976034,0.607042983217544,64.0938268283495,1073.7778575933,10.5065639366567,6.37793591547393,"gd"
"A3",50.8645833333333,"06042017",51,940,"0915",114,56.6,0.1,389.3,389.18,NA,2017-04-06 09:15:00,2017-02-14 12:30:00,0.139999999999986,0.120000000000005,0.0199999999999818,1.95999999999998,1.91999999999996,0.0400000000000205,20,101.325,103.763263211919,1682.96731297226,0.666661937063528,69.1750180488904,1142.95287564219,5.21532631850481,3.47685954591282,"gd"
