"id","date","elapsed.time","day","time.orig","time","vol","pres.init","pres.resid","mass.init","mass.final","notes","date.time","start.time","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.vent","cmass.leak","xCH4","vol.hs","temperature","pressure","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4","method"
"B2","17032017",30.96875,31,1228,"1145",121,51.3,0.2,385.63,385.5,NA,2017-03-17 11:45:00,2017-02-14 12:30:00,0.149999999999977,0.129999999999995,0.0199999999999818,1.89999999999998,1.84000000000009,0.0599999999998886,0.677,195.054,20,101.325,110.134691654756,74.6664311501946,1604.68976353169,1019.47420678684,10.9594330718574,7.43000904265636,"vol"
"B2","06042017",50.8645833333333,51,945,"0915",135,66.3,0.1,385.5,385.36,NA,2017-04-06 09:15:00,2017-02-14 12:30:00,0.139999999999986,0.139999999999986,0,2.03999999999996,1.98000000000008,0.0599999999998886,0.677,195.054,20,101.325,122.87754854043,83.3055223576551,1727.56731207212,1102.77972914449,6.17604432454517,4.18708384624863,"vol"
"B2","16042017",60.9166666666667,61,1103,"1030",65,31.9,0.2,385.3,385.21,NA,2017-04-16 10:30:00,2017-02-14 12:30:00,0.150000000000034,0.0900000000000318,0.0600000000000023,2.19,2.07000000000011,0.119999999999891,0.677,195.054,20,101.325,59.1632641120589,40.1100663203524,1786.73057618418,1142.88979546484,5.88567187021519,3.99022421425268,"vol"
"B3","14022017",0,0,1230,"1230",0,0,0,385.45,385.45,NA,2017-02-14 12:30:00,2017-02-14 12:30:00,0,0,0,0,0,0,0,197.794,20,101.325,0,0,0,0,NA,NA,"vol"
"B3","15022017",0.874305555555556,1,1023,"0929",179,86.2,0.3,385.44,385.22,NA,2017-02-15 09:29:00,2017-02-14 12:30:00,0.229999999999961,0.21999999999997,0.00999999999999091,0.229999999999961,0.21999999999997,0.00999999999999091,0.414,197.794,20,101.325,162.926527323978,67.6245141341482,162.926527323978,67.6245141341482,186.34964205443,77.3465451574054,"vol"
"B3","16022017",2.01388888888889,2,1331,"1250",218,104.2,0.3,385.23,384.97,NA,2017-02-16 12:50:00,2017-02-14 12:30:00,0.25,0.259999999999991,-0.00999999999999091,0.479999999999961,0.479999999999961,0,0.5173,197.794,20,101.325,198.424485791213,102.86165908602,361.351013115191,170.486173220168,174.120206910022,90.2625161997982,"vol"
"B3","17022017",2.85,3,937,"0854",169,81.1,0.2,384.98,384.78,NA,2017-02-17 08:54:00,2017-02-14 12:30:00,0.190000000000055,0.200000000000045,-0.00999999999999091,0.670000000000016,0.680000000000007,-0.00999999999999091,0.5775,197.794,20,101.325,153.824486691353,88.9977298061952,515.175499806544,259.483903026363,183.976130262083,106.442467542293,"vol"
"B3","18022017",4.15138888888889,4,1650,"1608",261,123.4,0.4,384.78,384.51,NA,2017-02-18 16:08:00,2017-02-14 12:30:00,0.269999999999982,0.269999999999982,0,0.939999999999998,0.949999999999989,-0.00999999999999091,0.6829,197.794,20,101.325,237.563260511498,162.456756222648,752.738760318042,421.940659249011,182.545941908515,124.8333665745,"vol"
"B3","19022017",5.14513888888889,5,1638,"1559",215,100.5,0.3,384.5,384.3,NA,2017-02-19 15:59:00,2017-02-14 12:30:00,0.20999999999998,0.199999999999989,0.00999999999999091,1.14999999999998,1.14999999999998,0,0.7217,197.794,20,101.325,195.693873601426,141.403999318611,948.432633919467,563.344658567623,196.92465268068,142.293332647659,"vol"
"B3","20022017",5.93194444444444,6,1126,"1052",101,47.4,0.2,384.3,384.2,NA,2017-02-20 10:52:00,2017-02-14 12:30:00,0.100000000000023,0.100000000000023,0,1.25,1.25,0,0.7116,197.794,20,101.325,91.9306103895069,65.5002573082339,1040.36324430897,628.844915875857,116.84031682338,83.2483411508004,"vol"
"B3","21022017",7.13194444444444,7,1609,"1540",74,34.4,0.1,384.2,384.12,NA,2017-02-21 15:40:00,2017-02-14 12:30:00,0.0799999999999841,0.0799999999999841,0,1.32999999999998,1.32999999999998,0,0.70905387823186,197.794,20,101.325,67.3551006814209,47.8191091262716,1107.7183449904,676.664025002128,56.1292505678507,39.8492576052264,"vol"
"B3","23022017",9.11111111111111,9,1534,"1510",86,40.1,0.1,384.11,384.02,NA,2017-02-23 15:10:00,2017-02-14 12:30:00,0.100000000000023,0.0900000000000318,0.00999999999999091,1.43000000000001,1.42000000000002,0.00999999999999091,0.704854545454545,197.794,20,101.325,78.2775494405702,55.2454415742699,1185.99589443097,731.909466576398,39.5507618226039,27.9134862691048,"vol"
"B3","01032017",15.2194444444444,15,1754,"1746",125,58.1,0.1,383.97,383.86,NA,2017-03-01 17:46:00,2017-02-14 12:30:00,0.159999999999968,0.110000000000014,0.0499999999999545,1.58999999999997,1.53000000000003,0.0599999999999454,0.691894078398666,197.794,20,101.325,113.775507907806,78.8265855541819,1299.77140233877,810.73605213058,18.626276874402,12.9047616186928,"vol"
