"id","date","elapsed.time","day","time.orig","time","vol","pres.init","pres.resid","mass.init","mass.final","notes","date.time","start.time","descrip","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.vent","cmass.leak","xCH4","vol.hs","temperature","pressure","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4","method","pres.init.abs","pres.resid.abs","rh.resid","pres.resid.prev","rh.resid.prev","temp.prev","massloss","cmassloss"
"C5-1","15022017",0.874305555555556,1,1002,"0929",192,94.8,0.2,398.92,398.7,NA,2017-02-15 09:29:00,2017-02-14 12:30:00,"C5",0.245000000000005,0.220000000000027,0.0249999999999773,0.245000000000005,0.220000000000027,0.0249999999999773,0.470954440653618,NA,20,101.325,174.759180146389,82.3036119349276,174.759180146389,82.3036119349276,199.883414941065,94.1359818795042,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C5-1","16022017",2.01388888888889,2,1314,"1250",200,102.8,0.4,398.7,398.47,NA,2017-02-16 12:50:00,2017-02-14 12:30:00,"C5",0.229999999999961,0.229999999999961,0,0.474999999999966,0.449999999999989,0.0249999999999773,0.527287423531693,NA,20,101.325,182.040812652489,95.9878310811466,356.799992798878,178.291443016074,159.743309091764,84.2306378774229,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C5-1","17022017",2.85,3,920,"0854",179,89.7,0.4,398.48,398.26,NA,2017-02-17 08:54:00,2017-02-14 12:30:00,"C5",0.210000000000036,0.220000000000027,-0.00999999999999091,0.685000000000002,0.670000000000016,0.0149999999999864,0.537873859531783,NA,20,101.325,162.926527323978,87.6339200718583,519.726520122856,265.925363087932,194.862291816053,104.811332976309,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C5-1","18022017",4.15138888888889,4,1631,"1608",258,128.5,0.3,398.25,397.98,NA,2017-02-18 16:08:00,2017-02-14 12:30:00,"C5",0.279999999999973,0.269999999999982,0.00999999999999091,0.964999999999975,0.939999999999998,0.0249999999999773,0.569056576195238,NA,20,101.325,234.832648321711,133.633062832813,754.559168444567,399.558425920746,180.447712691176,102.684957566303,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C5-1","19022017",5.14513888888889,5,1624,"1559",212,106.7,0.2,397.97,397.76,NA,2017-02-19 15:59:00,2017-02-14 12:30:00,"C5",0.220000000000027,0.210000000000036,0.00999999999999091,1.185,1.15000000000003,0.0349999999999682,0.591591308147705,NA,20,101.325,192.963261411638,114.155388242959,947.522429856205,513.713814163704,194.176866829321,114.873346659581,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C5-1","20022017",5.93194444444444,6,1112,"1052",166,82.4,0.3,397.75,397.58,NA,2017-02-20 10:52:00,2017-02-14 12:30:00,"C5",0.180000000000007,0.170000000000016,0.00999999999999091,1.36500000000001,1.32000000000005,0.0449999999999591,0.598096023946599,NA,20,101.325,151.093874501566,90.3686455820729,1098.61630435777,604.082459745777,192.034580125556,114.85511883335,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C5-1","21022017",7.13194444444444,7,1557,"1540",92,46.4,0.3,397.58,397.49,NA,2017-02-21 15:40:00,2017-02-14 12:30:00,"C5",0.089999999999975,0.089999999999975,0,1.45499999999998,1.41000000000003,0.0449999999999591,0.607566198054969,NA,20,101.325,83.7387738201449,50.8768484396904,1182.35507817792,654.959308185468,69.7823115167874,42.397373699742,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C5-1","23022017",9.11111111111111,9,1523,"1510",71,35.5,0.2,397.47,397.4,NA,2017-02-23 15:10:00,2017-02-14 12:30:00,"C5",0.0900000000000318,0.07000000000005,0.0199999999999818,1.54500000000002,1.48000000000008,0.0649999999999409,0.600869302741373,NA,20,101.325,64.6244884916336,38.8308713399858,1246.97956666955,693.790179525453,32.6523731326149,19.6198086770454,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C5-1","07032017",20.9194444444444,21,1051,"1034",49,24.7,0.1,397.18,397.14,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,"C5",0.259999999999991,0.0400000000000205,0.21999999999997,1.80500000000001,1.5200000000001,0.284999999999911,0.474475190566351,NA,20,101.325,44.5999990998598,21.1615930721651,1291.57956576941,714.951772597618,3.77699357232405,1.79208974499634,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C5-1","17032017",30.96875,31,1209,"1145",35,16.4,0.2,397.09,397.04,NA,2017-03-17 11:45:00,2017-02-14 12:30:00,"C5",0.0999999999999659,0.0499999999999545,0.0500000000000114,1.90499999999997,1.57000000000005,0.334999999999923,0.441050257250186,NA,20,101.325,31.8571422141856,14.0506007688223,1323.43670798359,729.002373366441,3.17008394640503,1.39816634006662,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C5-1","06042017",50.8645833333333,51,932,"0915",31,16.3,0.2,396.91,396.88,NA,2017-04-06 09:15:00,2017-02-14 12:30:00,"C5",0.160000000000025,0.0300000000000296,0.129999999999995,2.065,1.60000000000008,0.464999999999918,0.370625393445315,NA,20,101.325,28.2163259611358,10.4576869109272,1351.65303394473,739.460060277368,1.41820277082148,0.525621959920948,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C5-1","16042017",60.9166666666667,61,1050,"1030",22,11.3,0.2,396.82,396.79,NA,2017-04-16 10:30:00,2017-02-14 12:30:00,"C5",0.089999999999975,0.0299999999999727,0.0600000000000023,2.15499999999997,1.63000000000005,0.52499999999992,0.336092574658954,NA,20,101.325,20.0244893917738,6.73008219591215,1371.6775233365,746.19014247328,1.99207355607283,0.669521130370536,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
"C5-2","14022017",0,0,1230,"1230",0,0,0,407.235,407.235,NA,2017-02-14 12:30:00,2017-02-14 12:30:00,"C5",0,0,0,0,0,0,0,NA,20,101.325,0,0,0,0,NA,NA,"gd8",NA,NA,NA,NA,NA,NA,NA,NA
