"id","date","day","time.orig","time","vol","pres.init","pres.resid","mass.init","mass.final","notes","date.time","start.time","time.d","temp.vol","temp.grav","pres.vol","pres.grav","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.leak","cmass.vent","vBg","cvBg","xCH4","xCH4.lim.flag","vCH4","cvCH4","rvBg","rvCH4","method"
"C5-3","21022017",7,1557,"1540",118,59.4,0.2,398.05,397.93,NA,2017-02-21 15:40:00,2017-02-14 12:30:00,7.13194444444444,20,30,101.325,150,0.120000000000005,0.120000000000005,0,1.44999999999999,0.0199999999999818,1.43000000000001,107.404079464968,1214.2122203921,0.519652431060529,"",55.8127909997891,630.968332150158,89.5033995541404,46.5106591664909,"gdt"
"C5-3","23022017",9,1523,"1510",71,36,0.3,397.91,397.84,NA,2017-02-23 15:10:00,2017-02-14 12:30:00,9.11111111111111,20,30,101.325,150,0.0900000000000318,0.07000000000005,0.0199999999999818,1.54000000000002,0.0399999999999636,1.50000000000006,64.6244884916336,1278.83670888373,0.519652431060529,"",33.5822725507206,664.550604700879,32.6523731326149,16.9678850782588,"gdt"
"C5-3","07032017",21,1051,"1034",65,32.4,0.2,397.65,397.58,NA,2017-03-07 10:34:00,2017-02-14 12:30:00,20.9194444444444,20,30,101.325,150,0.259999999999991,0.0699999999999932,0.189999999999998,1.80000000000001,0.229999999999961,1.57000000000005,59.1632641120589,1337.99997299579,0.519652431060529,"",30.7443340253075,695.294938726186,5.01029759594006,2.60361332606698,"gdt"
"C6-1","14022017",0,1230,"1230",0,0,0,390.92,390.92,NA,2017-02-14 12:30:00,2017-02-14 12:30:00,0,20,30,101.325,150,0,0,0,0,0,0,0,0,0.343816613810784,"",0,0,NA,NA,"gdt"
"C6-1","15022017",1,1009,"0929",168,79.2,0.3,390.87,390.66,NA,2017-02-15 09:29:00,2017-02-14 12:30:00,0.874305555555556,20,30,101.325,150,0.259999999999991,0.20999999999998,0.0500000000000114,0.259999999999991,0.0500000000000114,0.20999999999998,152.914282628091,152.914282628091,0.343816613810784,"",52.5744708564953,52.5744708564953,174.897988073432,60.1328340217261,"gdt"
"C6-1","16022017",2,1320,"1250",179,89.8,0.5,390.64,390.43,NA,2017-02-16 12:50:00,2017-02-14 12:30:00,2.01388888888889,20,30,101.325,150,0.230000000000018,0.20999999999998,0.0200000000000387,0.490000000000009,0.07000000000005,0.419999999999959,162.926527323978,315.840809952068,0.343816613810784,"",56.0168469244801,108.591317780975,142.970261637128,49.1555512317193,"gdt"
"C6-1","17022017",3,926,"0854",165,82.9,0.3,390.42,390.23,NA,2017-02-17 08:54:00,2017-02-14 12:30:00,2.85,20,30,101.325,150,0.199999999999989,0.189999999999998,0.00999999999999091,0.689999999999998,0.0800000000000409,0.609999999999957,150.183670438303,466.024480390372,0.343816613810784,"",51.6356410197722,160.226958800748,179.621665640496,61.756912847568,"gdt"
"C6-1","18022017",4,1637,"1608",185,93.4,0.3,390.14,389.94,NA,2017-02-18 16:08:00,2017-02-14 12:30:00,4.15138888888889,20,30,101.325,150,0.29000000000002,0.199999999999989,0.0900000000000318,0.980000000000018,0.170000000000073,0.809999999999945,168.387751703552,634.412232093924,0.343816613810784,"",57.8945065979264,218.121465398674,129.390801735921,44.4867073111067,"gdt"
"C6-1","19022017",5,1628,"1559",170,85.6,0.3,389.88,389.7,NA,2017-02-19 15:59:00,2017-02-14 12:30:00,5.14513888888889,20,30,101.325,150,0.240000000000009,0.180000000000007,0.0600000000000023,1.22000000000003,0.230000000000075,0.989999999999952,154.734690754616,789.14692284854,0.343816613810784,"",53.2003574143107,271.321822812985,155.707864910305,53.534950857168,"gdt"
"C6-1","20022017",6,1117,"1052",130,64.7,0.3,389.67,389.54,NA,2017-02-20 10:52:00,2017-02-14 12:30:00,5.93194444444444,20,30,101.325,150,0.159999999999968,0.129999999999995,0.0299999999999727,1.38,0.260000000000048,1.11999999999995,118.326528224118,907.473451072657,0.343816613810784,"",40.6826262580023,312.004449070987,150.388526604351,51.7060739731009,"gdt"
