"method","time.d","id","descrip","descrip2","descrip1","tare","m.inoc","m.sub","m.water","m.tot1","m.tot2","m.tot","m.tot.sd","vol.hs","conc.sub.vs","m.sub.vs","conc.inoc.vs","m.inoc.vs","cvCH4","vol.mi.mn","vol.mi.se","n","rsd.inoc","cvCH4.tot","cvCH4.inoc","fv.inoc","se.inoc","cvCH4.se"
"man",20.9194444444444,"C5-2","C5","Conf. 5","Sludge C5",258.04,107.63,41.63,NA,407.23,407.24,407.235,0.00707106781185904,178.144,81.5342,3.394268746,32.4977,3.497727451,211.752709231526,0.576864332017578,0.0322676887613118,3,9.68846109481913,230.044692778268,18.2919835467418,0.0795149121930529,1.02318690748125,0
"man",20.9194444444444,"C5-3","C5","Conf. 5","Sludge C5",257.5,102.14,39.8,NA,399.38,399.38,399.38,0,185.464,81.5342,3.24506116,32.4977,3.319315078,208.510534841243,0.576864332017578,0.0322676887613118,3,9.68846109481913,226.667641893202,18.1571070519594,0.0801045394053835,1.01564240782457,0
"man",20.9194444444444,"C6-1","C6","Conf. 6","Sludge C6",248.49,103.03,39.46,NA,390.92,390.92,390.92,0,184.914,82.914,3.27178644,32.4977,3.348238031,170.967778550074,0.576864332017578,0.0322676887613118,3,9.68846109481913,189.133491140952,18.1657125908777,0.0960470431825305,1.0161237703149,0
"man",20.9194444444444,"C6-2","C6","Conf. 6","Sludge C6",255.87,99.26,38.63,NA,393.73,393.73,393.73,0,189.514,82.914,3.20296782,32.4977,3.225721702,247.654209922797,0.576864332017578,0.0322676887613118,3,9.68846109481913,265.531240481307,17.8770305585102,0.0673255264657596,0.999975949320593,0
"man",20.9194444444444,"C6-3","C6","Conf. 6","Sludge C6",257.28,100.51,39.01,NA,396.75,396.75,396.75,0,187.884,82.914,3.23447514,32.4977,3.266343827,240.723729471588,0.576864332017578,0.0322676887613118,3,9.68846109481913,258.649554064906,17.9258245933177,0.069305453311624,1.00270530983257,0
"man",20.9194444444444,"L1","Cellulose","Cellulose","Cellulose",255.78,101.53,1,NA,358.26,358.26,358.26,0,224.874,952,0.952,32.4977,3.299491481,360.845075988155,0.576864332017578,0.0322676887613118,3,9.68846109481913,422.367172237887,61.5220962497318,0.145660222416815,3.44132189068906,0
"man",20.9194444444444,"L2","Cellulose","Cellulose","Cellulose",257.59,101.68,0.98,NA,360.2,360.2,360.2,0,224.744,952,0.93296,32.4977,3.304366136,350.56023303137,0.576864332017578,0.0322676887613118,3,9.68846109481913,413.43062970384,62.8703966724697,0.152070001967456,3.51674090341513,0
"man",20.9194444444444,"L3","Cellulose","Cellulose","Cellulose",257.69,102.85,1.03,NA,361.51,361.51,361.51,0,223.524,952,0.98056,32.4977,3.342388445,260.608603350485,0.576864332017578,0.0322676887613118,3,9.68846109481913,321.115351074242,60.5067477237578,0.188426830175953,3.38452699386159,0
"man",20.9194444444444,"E1","Ethanol","Ethanol","Ethanol",255.81,100.67,0.61,NA,357.05,357.05,357.05,0,226.124,1000,0.61,32.4977,3.271543459,657.858409855422,0.576864332017578,0.0322676887613118,3,9.68846109481913,753.059938222978,95.2015283675567,0.126419589644095,5.32522660262501,0
"man",20.9194444444444,"E2","Ethanol","Ethanol","Ethanol",248.2,100.36,0.61,NA,349.14,349.14,349.14,0,226.434,1000,0.61,32.4977,3.261469172,630.572146122066,0.576864332017578,0.0322676887613118,3,9.68846109481913,725.48051392745,94.9083678053838,0.130821388008879,5.30882826899222,0
