"elapsed.time","id","exper","n","descrip.vol","substrate.vol","m.gained.vol","c.sub.vs.vol","c.inoc.vs.vol","m.inoc.vs.vol","ISR.vol","vol.tot.vol","notes.vol","id.exper.vol","cvCH4.vol","vol.mi.mn.vol","vol.mi.se.vol","rsd.inoc.vol","cvCH4.tot.vol","cvCH4.inoc.vol","fv.inoc.vol","se.inoc.vol","cvCH4.se.vol","descrip.man","substrate.man","m.gained.man","c.sub.vs.man","c.inoc.vs.man","m.inoc.vs.man","ISR.man","vol.tot.man","notes.man","id.exper.man","cvCH4.man","vol.mi.mn.man","vol.mi.se.man","rsd.inoc.man","cvCH4.tot.man","cvCH4.inoc.man","fv.inoc.man","se.inoc.man","cvCH4.se.man","descrip.grav","substrate.grav","m.gained.grav","c.sub.vs.grav","c.inoc.vs.grav","m.inoc.vs.grav","ISR.grav","vol.tot.grav","notes.grav","id.exper.grav","cvCH4.grav","vol.mi.mn.grav","vol.mi.se.grav","rsd.inoc.grav","cvCH4.tot.grav","cvCH4.inoc.grav","fv.inoc.grav","se.inoc.grav","cvCH4.se.grav","descrip.gd","substrate.gd","m.gained.gd","c.sub.vs.gd","c.inoc.vs.gd","m.inoc.vs.gd","ISR.gd","vol.tot.gd","notes.gd","id.exper.gd","cvCH4.gd","vol.mi.mn.gd","vol.mi.se.gd","rsd.inoc.gd","cvCH4.tot.gd","cvCH4.inoc.gd","fv.inoc.gd","se.inoc.gd","cvCH4.se.gd"
29,"A2",2,3,"A","A",1.87,821,19.86,5.879553,1.87472594397077,1120,NA,"A2-E2",399.173838695806,0.751798232763107,0.0629916714017405,14.5125075541215,470.1413941637,70.9675554678937,0.150949387458496,5.94622963901935,0,"A","A",1.87,821,19.86,5.879553,1.87472594397077,1120,NA,"A2-E2",390.611046647447,0.787077260611396,0.0577933892323718,12.718076293338,464.908839214296,74.2977925668492,0.159811529271876,5.4555269981837,0,"A","A",1.87,821,19.86,5.879553,1.87472594397077,1120,NA,"A2-E2",378.745697799183,0.935616987997367,0.0284696877239172,5.27042008065626,467.065206410384,88.3195086112009,0.189094600494817,2.68745529671569,0,"A","A",1.87,821,19.86,5.879553,1.87472594397077,1120,NA,"A2-E2",413.385778663967,0.532748990830596,0.0834527895652995,27.1318151790577,463.675726032263,50.2899473682962,0.108459305814075,7.87769938040282,0
29,"A3",2,3,"A","A",11.8199999999999,821,19.86,5.892462,2.05649759710186,1120,"May be error in tare. Check original data sheet.","A3-E2",391.594287941163,0.751798232763107,0.0629916714017405,14.5125075541215,469.442790417636,77.8485024764731,0.165831713822287,6.52277043681317,0,"A","A",11.8199999999999,821,19.86,5.892462,2.05649759710186,1120,"May be error in tare. Check original data sheet.","A3-E2",377.027029089475,0.787077260611396,0.0577933892323718,12.718076293338,458.528665302005,81.5016362125303,0.177746000152139,5.98448973236382,0,"A","A",11.8199999999999,821,19.86,5.892462,2.05649759710186,1120,"May be error in tare. Check original data sheet.","A3-E2",372.487681017896,0.935616987997367,0.0284696877239172,5.27042008065626,469.370565591122,96.882884573226,0.206410226110392,2.94802841865439,0,"A","A",11.8199999999999,821,19.86,5.892462,2.05649759710186,1120,"May be error in tare. Check original data sheet.","A3-E2",368.947139169787,0.532748990830596,0.0834527895652995,27.1318151790577,424.113152236331,55.166013066544,0.130073808783472,8.64151365621782,0
29,"B1",2,3,"B","B",1.88,858.47,19.86,5.9909676,1.77123271900505,1120,NA,"B1-E2",392.831267628216,0.751798232763107,0.0629916714017405,14.5125075541215,459.881097837692,67.0498302094757,0.145798186802494,5.61797126946512,0,"B","B",1.88,858.47,19.86,5.9909676,1.77123271900505,1120,NA,"B1-E2",385.39824144729,0.787077260611396,0.0577933892323718,12.718076293338,455.594464829957,70.196223382667,0.154076111106544,5.15435760073369,0,"B","B",1.88,858.47,19.86,5.9909676,1.77123271900505,1120,NA,"B1-E2",373.744308571721,0.935616987997367,0.0284696877239172,5.27042008065626,457.188186799208,83.4438782274869,0.182515385648262,2.53909579035541,0,"B","B",1.88,858.47,19.86,5.9909676,1.77123271900505,1120,NA,"B1-E2",470.633623480284,0.532748990830596,0.0834527895652995,27.1318151790577,518.147341686532,47.5137182062473,0.0916992414775181,7.44281527544318,0
29,"B2",2,3,"B","B",1.8900000000001,858.47,19.86,6.1647426,2.04589202077757,1120,NA,"B2-E2",391.725276622951,0.751798232763107,0.0629916714017405,14.5125075541215,469.172306111608,77.4470294886566,0.165071613306676,6.48913181753594,0,"B","B",1.8900000000001,858.47,19.86,6.1647426,2.04589202077757,1120,NA,"B2-E2",380.711822741494,0.787077260611396,0.0577933892323718,12.718076293338,461.793146367895,81.081323626401,0.175579313517586,5.95362708379668,0,"B","B",1.8900000000001,858.47,19.86,6.1647426,2.04589202077757,1120,NA,"B2-E2",376.811157118072,0.935616987997367,0.0284696877239172,5.27042008065626,473.19440637526,96.3832492571883,0.203686366446084,2.93282512328255,0,"B","B",1.8900000000001,858.47,19.86,6.1647426,2.04589202077757,1120,NA,"B2-E2",387.581901032076,0.532748990830596,0.0834527895652995,27.1318151790577,442.463417115542,54.8815160834653,0.12403627952169,8.59694845333717,0
29,"B3",2,3,"B","B",4.88999999999999,858.47,19.86,6.002685,2.02675538533924,1120,NA,"B3-E2",377.152222659219,0.751798232763107,0.0629916714017405,14.5125075541215,453.874836805299,76.7226141460799,0.16903914454943,6.42843450377629,0,"B","B",4.88999999999999,858.47,19.86,6.002685,2.02675538533924,1120,NA,"B3-E2",381.139653308309,0.787077260611396,0.0577933892323718,12.718076293338,461.462567539034,80.322914230725,0.174061603000834,5.89793871418511,0,"B","B",4.88999999999999,858.47,19.86,6.002685,2.02675538533924,1120,NA,"B3-E2",382.012068249666,0.935616987997367,0.0284696877239172,5.27042008065626,477.493778674567,95.4817104249012,0.199964302550581,2.90539239241568,0,"B","B",4.88999999999999,858.47,19.86,6.002685,2.02675538533924,1120,NA,"B3-E2",345.060443344389,0.532748990830596,0.0834527895652995,27.1318151790577,399.428614854961,54.3681715105717,0.136114863804421,8.51653528061696,0
29,"C1",2,3,"C","C",1.86999999999989,799.27,19.86,9.8589012,3.60669066663682,1120,NA,"C1-E2",525.003699979003,0.751798232763107,0.0629916714017405,14.5125075541215,661.534599742384,136.530899763381,0.206385123040502,11.4396512245977,0,"C","C",1.86999999999989,799.27,19.86,9.8589012,3.60669066663682,1120,NA,"C1-E2",470.822879261375,0.787077260611396,0.0577933892323718,12.718076293338,613.760654174224,142.93777491285,0.232888462205456,10.4956131690687,0,"C","C",1.86999999999989,799.27,19.86,9.8589012,3.60669066663682,1120,NA,"C1-E2",516.559945032455,0.935616987997367,0.0284696877239172,5.27042008065626,686.473392069562,169.913447037107,0.247516435451135,5.17025966746812,0,"C","C",1.86999999999989,799.27,19.86,9.8589012,3.60669066663682,1120,NA,"C1-E2",552.155718729827,0.532748990830596,0.0834527895652995,27.1318151790577,648.906011423125,96.7502926932977,0.149097544159151,15.1555084204417,0
29,"C2",2,3,"C","C",1.89999999999986,799.27,19.86,9.5359776,3.31412747465396,1120,NA,"C2-E2",550.400387837881,0.751798232763107,0.0629916714017405,14.5125075541215,675.856338421794,125.455950583912,0.185625174244673,10.5117033669125,0,"C","C",1.89999999999986,799.27,19.86,9.5359776,3.31412747465396,1120,NA,"C2-E2",525.532551508286,0.787077260611396,0.0577933892323718,12.718076293338,656.875672055497,131.34312054721,0.199951263434999,9.64424265399666,0,"C","C",1.89999999999986,799.27,19.86,9.5359776,3.31412747465396,1120,NA,"C2-E2",516.710678288489,0.935616987997367,0.0284696877239172,5.27042008065626,672.841290860244,156.130612571755,0.232046716948863,4.75086476740445,0,"C","C",1.89999999999986,799.27,19.86,9.5359776,3.31412747465396,1120,NA,"C2-E2",594.223240498056,0.532748990830596,0.0834527895652995,27.1318151790577,683.125459410737,88.9022189126811,0.130140397620911,13.9261421316654,0
29,"C3",2,3,"C","C",1.93000000000006,799.27,19.86,10.0608774,4.07365143023106,1120,NA,"C3-E2",562.313785929329,0.751798232763107,0.0629916714017405,14.5125075541215,716.521436792401,154.207650863072,0.215217079273165,12.9207508710143,0,"C","C",1.93000000000006,799.27,19.86,10.0608774,4.07365143023106,1120,NA,"C3-E2",523.602821271306,0.787077260611396,0.0577933892323718,12.718076293338,685.046849891243,161.444028619937,0.235668594995463,11.854487548054,0,"C","C",1.93000000000006,799.27,19.86,10.0608774,4.07365143023106,1120,NA,"C3-E2",509.764376596357,0.935616987997367,0.0284696877239172,5.27042008065626,701.676636480745,191.912259884388,0.273505272809029,5.83965680336187,0,"C","C",1.93000000000006,799.27,19.86,10.0608774,4.07365143023106,1120,NA,"C3-E2",629.546775539308,0.532748990830596,0.0834527895652995,27.1318151790577,738.823396307244,109.276620767936,0.147906280870527,17.1177026973542,0
29,"C4",2,3,"CB","C",2.27999999999997,799.27,19.86,7.995636,2.15132760256637,1120,NA,"C4-E2",511.757272697338,0.751798232763107,0.0629916714017405,14.5125075541215,593.19555515977,81.4382824624316,0.137287411805534,6.82355092740963,0,"CB","C",2.27999999999997,799.27,19.86,7.995636,2.15132760256637,1120,NA,"C4-E2",519.314691906407,0.787077260611396,0.0577933892323718,12.718076293338,604.574562807999,85.2598709015923,0.141024575208053,6.26044881679073,0,"CB","C",2.27999999999997,799.27,19.86,7.995636,2.15132760256637,1120,NA,"C4-E2",564.459808413887,0.935616987997367,0.0284696877239172,5.27042008065626,665.810193696302,101.350385282414,0.152221137858763,3.08396903509104,0,"CB","C",2.27999999999997,799.27,19.86,7.995636,2.15132760256637,1120,NA,"C4-E2",508.093935404294,0.532748990830596,0.0834527895652995,27.1318151790577,565.803784810801,57.7098494065076,0.101996223701128,9.03999444627351,0
29,"C5",2,3,"CB","C",1.91000000000008,799.27,19.86,6.2594748,1.9384875580155,1120,NA,"C5-E2",264.788283750861,0.751798232763107,0.0629916714017405,14.5125075541215,338.169528481441,73.3812447305802,0.21699543734795,6.14846783841263,0,"CB","C",1.91000000000008,799.27,19.86,6.2594748,1.9384875580155,1120,NA,"C5-E2",252.436192464006,0.787077260611396,0.0577933892323718,12.718076293338,329.260939538131,76.8247470741246,0.233324812781893,5.64107582892748,0,"CB","C",1.91000000000008,799.27,19.86,6.2594748,1.9384875580155,1120,NA,"C5-E2",517.795516307378,0.935616987997367,0.0284696877239172,5.27042008065626,609.118874328568,91.32335802119,0.149926987768776,2.77885878315207,0,"CB","C",1.91000000000008,799.27,19.86,6.2594748,1.9384875580155,1120,NA,"C5-E2",278.112887380501,0.532748990830596,0.0834527895652995,27.1318151790577,330.113254463604,52.000367083103,0.157522808854184,8.14562911651656,0
29,"C6",2,3,"CB","C",1.8599999999999,799.27,19.86,6.050349,2.05144816596364,1120,NA,"C6-E2",498.656109310201,0.751798232763107,0.0629916714017405,14.5125075541215,576.313466096534,77.6573567863332,0.13474846824649,6.50675472145441,0,"CB","C",1.8599999999999,799.27,19.86,6.050349,2.05144816596364,1120,NA,"C6-E2",468.513764546545,0.787077260611396,0.0577933892323718,12.718076293338,549.815285329673,81.3015207831285,0.147870608461493,5.96979568708821,0,"CB","C",1.8599999999999,799.27,19.86,6.050349,2.05144816596364,1120,NA,"C6-E2",493.778184470303,0.935616987997367,0.0284696877239172,5.27042008065626,590.423187192943,96.6450027226395,0.163687681681541,2.94078996308093,0,"CB","C",1.8599999999999,799.27,19.86,6.050349,2.05144816596364,1120,NA,"C6-E2",536.534539755855,0.532748990830596,0.0834527895652995,27.1318151790577,591.565100690316,55.0305609344615,0.0930253675719621,8.62029567463661,0
29,"L1",2,3,"Cellulose","Cellulose",1.81999999999994,945.69,19.86,5.8972284,3.99737188231304,1120,NA,"L1-E2",373.851754440471,0.751798232763107,0.0629916714017405,14.5125075541215,525.171850957081,151.32009651661,0.28813443873818,12.6788084633041,0,"Cellulose","Cellulose",1.81999999999994,945.69,19.86,5.8972284,3.99737188231304,1120,NA,"L1-E2",381.765313777405,0.787077260611396,0.0577933892323718,12.718076293338,540.18628612262,158.420972345215,0.293271000051367,11.6325110322788,0,"Cellulose","Cellulose",1.81999999999994,945.69,19.86,5.8972284,3.99737188231304,1120,NA,"L1-E2",355.194768850204,0.935616987997367,0.0284696877239172,5.27042008065626,543.513451651568,188.318682801364,0.346483941159363,5.7303086206354,0,"Cellulose","Cellulose",1.81999999999994,945.69,19.86,5.8972284,3.99737188231304,1120,NA,"L1-E2",470.728616740248,0.532748990830596,0.0834527895652995,27.1318151790577,577.959021386616,107.230404646368,0.185532884994347,16.7971719289484,0
29,"L2",2,3,"Cellulose","Cellulose",1.8900000000001,945.69,19.86,6.1818222,4.57121528980172,1120,NA,"L2-E2",230.985968400346,0.751798232763107,0.0629916714017405,14.5125075541215,404.028847375805,173.042878975459,0.428293375830425,14.4989169910273,0,"Cellulose","Cellulose",1.8900000000001,945.69,19.86,6.1818222,4.57121528980172,1120,NA,"L2-E2",227.503796044479,0.787077260611396,0.0577933892323718,12.718076293338,408.666918298359,181.16312225388,0.443302636308861,13.3024181524914,0,"Cellulose","Cellulose",1.8900000000001,945.69,19.86,6.1818222,4.57121528980172,1120,NA,"L2-E2",376.25727135892,0.935616987997367,0.0284696877239172,5.27042008065626,591.610075031216,215.352803672296,0.364011386487853,6.55292405938824,0,"Cellulose","Cellulose",1.8900000000001,945.69,19.86,6.1818222,4.57121528980172,1120,NA,"L2-E2",300.488942803882,0.532748990830596,0.0834527895652995,27.1318151790577,423.11282661613,122.623883812249,0.289813676396767,19.208492831697,0
29,"L3",2,3,"Cellulose","Cellulose",2.25999999999999,945.69,19.86,6.4002822,3.86733931233884,1120,NA,"L3-E2",382.093903176676,0.751798232763107,0.0629916714017405,14.5125075541215,528.491630292065,146.397727115389,0.277010493116956,12.2663729688762,0,"Cellulose","Cellulose",2.25999999999999,945.69,19.86,6.4002822,3.86733931233884,1120,NA,"L3-E2",373.160149748833,0.787077260611396,0.0577933892323718,12.718076293338,526.427764643617,153.267614894784,0.291146526054802,11.2541110861859,0,"Cellulose","Cellulose",2.25999999999999,945.69,19.86,6.4002822,3.86733931233884,1120,NA,"L3-E2",353.262627757968,0.935616987997367,0.0284696877239172,5.27042008065626,535.455395077921,182.192767319953,0.340257599409265,5.54390445844488,0,"Cellulose","Cellulose",2.25999999999999,945.69,19.86,6.4002822,3.86733931233884,1120,NA,"L3-E2",441.690881709664,0.532748990830596,0.0834527895652995,27.1318151790577,545.433133262937,103.742251553273,0.190201594341468,16.25076806698,0
29,"E1",2,3,"Ethanol","Ethanol",1.75999999999999,1000,19.86,6.1224408,4.251695,1120,NA,"E1-E2",722.701279941663,0.751798232763107,0.0629916714017405,14.5125075541215,883.648751605698,160.947471664035,0.182139646971236,13.4854669859226,0,"Ethanol","Ethanol",1.75999999999999,1000,19.86,6.1224408,4.251695,1120,NA,"E1-E2",732.071919611587,0.787077260611396,0.0577933892323718,12.718076293338,900.572043154143,168.500123542556,0.187103435892153,12.3726014114969,0,"Ethanol","Ethanol",1.75999999999999,1000,19.86,6.1224408,4.251695,1120,NA,"E1-E2",720.873924521925,0.935616987997367,0.0284696877239172,5.27042008065626,921.173928035694,200.30000351377,0.217439939861181,6.09488564689527,0,"Ethanol","Ethanol",1.75999999999999,1000,19.86,6.1224408,4.251695,1120,NA,"E1-E2",694.422473175699,0.532748990830596,0.0834527895652995,27.1318151790577,808.475152962682,114.052679786983,0.141071348165783,17.8658513661045,0
29,"E2",2,3,"Ethanol","Ethanol",1.80999999999995,1000,19.86,5.9641566,4.02983554054054,1120,NA,"E2-E2",744.878437135711,0.751798232763107,0.0629916714017405,14.5125075541215,897.427442055366,152.549004919654,0.169984778457714,12.7817762423356,0,"Ethanol","Ethanol",1.80999999999995,1000,19.86,5.9641566,4.02983554054054,1120,NA,"E2-E2",741.91910986656,0.787077260611396,0.0577933892323718,12.718076293338,901.62665860589,159.70754873933,0.177132682596444,11.72698156782,0,"Ethanol","Ethanol",1.80999999999995,1000,19.86,5.9641566,4.02983554054054,1120,NA,"E2-E2",708.002095550377,0.935616987997367,0.0284696877239172,5.27042008065626,897.850161540573,189.848065990195,0.211447381893261,5.7768458921416,0,"Ethanol","Ethanol",1.80999999999995,1000,19.86,5.9641566,4.02983554054054,1120,NA,"E2-E2",633.779828857287,0.532748990830596,0.0834527895652995,27.1318151790577,741.881078476433,108.101249619146,0.145712369213067,16.9335859691588,0
