"id","exper","date","time.orig","time","sheet.order","mass.init","pres.init","vol","mass.final","notes","inject.date.time","xCH4.oa","date.time","start.time","time.d","xCH4.GC","vol.hs","temperature","pressure","massloss","cmassloss","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4","method"
"A3","2","06022017",1804,"1701",393,836.3,0.115,80,836.2,NA,"08-02-2017 13:47:49",0.577,2017-02-06 17:01:00,2017-01-17 15:20:00,20.1,0.5651,822.81,30,1.5,0.0999999999999091,3.09999999999991,77.6853030477952,43.9834388499088,2326.0037305904,1270.97982077959,14.6576043486406,8.2987620471526,"grav"
"A3","2","17022017",1716,"1707",399,836.2,0.14,105,836,NA,"27-02-2017 10:48:49",0.5778,2017-02-17 17:07:00,2017-01-17 15:20:00,31.1,0.5778,822.81,30,1.5,0.200000000000045,3.29999999999995,157.324332192079,91.0697889971244,2483.32806278248,1362.04960977672,14.3022120174617,8.27907172701131,"grav"
"B1","2","17012017",1520,"1520",188,845.4,0,0,845.4,NA,NA,NA,2017-01-17 15:20:00,2017-01-17 15:20:00,0,NA,817.4,30,1.5,0,0,0,0,0,0,NA,NA,"grav"
"B1","2","18012017",1604,"1527",217,845.4,1.23,1010,844.2,NA,"17-02-2017 14:02:10",0.4859,2017-01-18 15:27:00,2017-01-17 15:20:00,1,0.4762,817.4,30,1.5,1.19999999999993,1.19999999999993,882.548793944949,421.232590037944,882.548793944949,421.232590037944,882.548793944949,421.232590037944,"grav"
"B1","2","19012017",1138,"1103",244,844.2,1.139,919,843,NA,"06-02-2017 12:17:37",0.4824,2017-01-19 11:03:00,2017-01-17 15:20:00,1.8,0.4706,817.4,30,1.5,1.20000000000005,2.39999999999998,853.334240784075,402.508986032897,1735.88303472902,823.74157607084,1066.66780098009,503.136232541121,"grav"
"B1","2","20012017",1515,"1450",262,843,0.655,514,842.4,NA,"02-02-2017 19:16:52",0.5737,2017-01-20 14:50:00,2017-01-17 15:20:00,3,0.5737,817.4,30,1.5,0.600000000000023,3,470.064829570295,270.178812723458,2205.94786429932,1093.9203887943,391.720691308579,225.149010602881,"grav"
"B1","2","22012017",643,"0617",289,842.4,0.326,250,842.1,NA,"10-02-2017 19:02:36",0.5886,2017-01-22 06:17:00,2017-01-17 15:20:00,4.6,0.5773,817.4,30,1.5,0.299999999999955,3.29999999999995,235.86973396835,136.419238193285,2441.81759826767,1230.33962698758,147.418583730219,85.262023870803,"grav"
"B1","2","24012017",933,"0923",304,842.1,0.205,150,842,NA,"03-02-2017 10:23:15",0.5958,2017-01-24 09:23:00,2017-01-17 15:20:00,6.8,0.5856,817.4,30,1.5,0.100000000000023,3.39999999999998,79.2743465317648,46.507160566732,2521.09194479943,1276.84678755431,36.0337938780749,21.1396184394236,"grav"
"B1","2","28012017",1846,"1822",334,841.9,0.222,165,841.8,NA,"09-02-2017 14:13:33",0.589,2017-01-28 18:22:00,2017-01-17 15:20:00,11.1,0.578,817.4,30,1.5,0.200000000000045,3.60000000000002,157.355490832564,91.1192752059384,2678.447435632,1367.96606276025,36.5943001936195,21.1905291176601,"grav"
"B1","2","01022017",1037,"1013",361,841.7,0.123,87,841.6,NA,"20-02-2017 12:09:09",0.5908,2017-02-01 10:13:00,2017-01-17 15:20:00,14.8,0.5908,817.4,30,1.5,0.199999999999932,3.79999999999995,159.375528805952,94.3275031455768,2837.82296443795,1462.29356590583,43.0744672448517,25.4939197690748,"grav"
