"id.exper","descrip","exper","elapsed.time","id","date","time.orig","time","sheet.order","mass.init","pres.init","vol","mass.final","notes","inject.date.time","date.time","start.time","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.vent","cmass.leak","temperature","pressure","vBg","cvBg","xCH4","vCH4","cvCH4","rvBg","rvCH4"
"C3-E2","C","2",6.75208333333333,"C3","24012017",1016,"0923",312,1047.1,0.403,240,1046.8,"Labeled C5 on data sheet but see mass.","03-02-2017 11:16:30",2017-01-24 09:23:00,2017-01-17 15:20:00,0.299999999999955,0.299999999999955,0,2.5,2.5,0,20,1.01325,218.558594321226,2070.20760313834,0.493766970910176,108.155946922745,1295.70838849607,102.649829035409,50.7973136232071
"C3-E2","C","2",11.1263888888889,"C3","28012017",1900,"1822",339,1046.8,0.475,294,1046.5,NA,"09-02-2017 11:04:12",2017-01-28 18:22:00,2017-01-17 15:20:00,0.299999999999955,0.299999999999955,0,2.79999999999995,2.79999999999995,0,20,1.01325,267.969782280487,2338.17738541883,0.694889686639789,186.457700097631,1482.16608859371,61.259959752961,42.6256688586425
"C3-E2","C","2",14.7868055555556,"C3","01022017",1015,"1013",354,1046.4,0.24,150,1046.3,NA,"20-02-2017 13:03:21",2017-02-01 10:13:00,2017-01-17 15:20:00,0.200000000000045,0.100000000000136,0.0999999999999091,3,2.90000000000009,0.0999999999999091,20,1.01325,136.555509555028,2474.73289497386,0.420766874089355,57.6036399530868,1539.76972854679,37.3060014720623,15.7369078983959
"C3-E2","C","2",20.0701388888889,"C3","06022017",1722,"1701",378,1046.3,0.262,154,1046.2,NA,"08-02-2017 12:56:22",2017-02-06 17:01:00,2017-01-17 15:20:00,0.0999999999999091,0.0999999999999091,0,3.09999999999991,3,0.0999999999999091,20,1.01325,135.79297366492,2610.52586863878,1,135.79297366492,1675.56270221171,25.7021401258524,25.7021401258524
"C3-E2","C","2",31.0743055555556,"C3","17022017",1758,"1707",417,1046.2,0.344,222,1045.9,"Ask Jinmi about pres.init","27-02-2017 13:03:45",2017-02-17 17:07:00,2017-01-17 15:20:00,0.299999999999955,0.299999999999955,0,3.39999999999986,3.29999999999995,0.0999999999999091,20,1.01325,202.088198334806,2812.61406697359,0.404983069371879,82.0553625311162,1757.61806474283,18.3646980690471,7.45675388393332
"C6-E2","CB","2",0,"C6","17012017",1520,"1520",196,847.3,0,0,847.3,NA,NA,2017-01-17 15:20:00,2017-01-17 15:20:00,0,0,0,0,0,0,20,1.01325,0,0,0,0,0,NA,NA
"C6-E2","CB","2",1.00486111111111,"C6","18012017",1540,"1527",210,847.3,0.752,608,846.6,"Syringe barrel temperature (1000 mL, part in contact with biogas): 20.1C same as RT","17-02-2017 14:54:58",2017-01-18 15:27:00,2017-01-17 15:20:00,0.699999999999932,0.699999999999932,0,0.699999999999932,0.699999999999932,0,20,1.01325,553.891109379981,553.891109379981,0.580214453986884,321.965434530718,321.965434530718,551.211608505303,320.407896146672
"C6-E2","CB","2",1.82152777777778,"C6","19012017",1151,"1103",249,846.6,0.782,640,845.8,NA,"06-02-2017 10:50:16",2017-01-19 11:03:00,2017-01-17 15:20:00,0.800000000000068,0.800000000000068,0,1.5,1.5,0,20,1.01325,582.822918189935,1136.71402756992,0.493766970909917,288.415858460502,610.38129299122,713.660716150941,353.162275665921
"C6-E2","CB","2",2.97916666666667,"C6","20012017",1456,"1450",255,845.8,0.604,549,845.2,NA,"02-02-2017 18:40:34",2017-01-20 14:50:00,2017-01-17 15:20:00,0.599999999999909,0.599999999999909,0,2.09999999999991,2.09999999999991,0,20,1.01325,500.253706590396,1636.96773416031,0.631390104260069,316.3641340134,926.74542700462,432.132775938915,273.283954996579
"C6-E2","CB","2",4.62291666666667,"C6","22012017",654,"0617",294,845.2,0.533,425,844.8,NA,"10-02-2017 16:08:42",2017-01-22 06:17:00,2017-01-17 15:20:00,0.400000000000091,0.400000000000091,0,2.5,2.5,0,20,1.01325,387.488769015753,2024.45650317607,0.764296741479499,296.461338181373,1223.20676518599,235.734612328975,180.356707638858
"C6-E2","CB","2",6.75208333333333,"C6","24012017",952,"0923",309,844.7,0.317,250,844.5,NA,"03-02-2017 12:09:55",2017-01-24 09:23:00,2017-01-17 15:20:00,0.299999999999955,0.200000000000045,0.0999999999999091,2.79999999999995,2.70000000000005,0.0999999999999091,20,1.01325,227.708814313682,2252.16531748975,0.537567029002403,122.656271584761,1345.86303677075,106.947388327365,57.6076422315903
"C6-E2","CB","2",11.1263888888889,"C6","28012017",1917,"1822",345,844.5,0.363,278,844.2,NA,"09-02-2017 10:47:09",2017-01-28 18:22:00,2017-01-17 15:20:00,0.299999999999955,0.299999999999955,0,3.09999999999991,3,0.0999999999999091,20,1.01325,253.329430292558,2505.49474778231,0.643443428419584,163.257180638406,1509.12021740916,57.9130623307324,37.3218511064144
"C6-E2","CB","2",14.0611111111111,"C6","31012017",1653,"1648",351,844.2,0.15,112,844,NA,"20-02-2017 16:40:11",2017-01-31 16:48:00,2017-01-17 15:20:00,0.200000000000045,0.200000000000045,0,3.29999999999995,3.20000000000005,0.0999999999999091,20,1.01325,101.784673583696,2607.279421366,0.0244806342071536,2.50240623742597,1511.62262364659,34.6828987128543,0.852689300022101
"C6-E2","CB","2",20.0701388888889,"C6","06022017",1704,"1701",375,844,0.155,113,843.9,NA,"08-02-2017 15:50:25",2017-02-06 17:01:00,2017-01-17 15:20:00,0.100000000000023,0.100000000000023,0,3.39999999999998,3.30000000000007,0.0999999999999091,20,1.01325,103.048590748846,2710.32801211485,0.813546156096493,83.9030536922042,1595.52567733879,17.1489622880317,13.9628333892031
"C6-E2","CB","2",31.0743055555556,"C6","17022017",1738,"1707",408,843.8,0.157,118,843.7,"Check hard copy for final mass.final digit","27-02-2017 12:24:56",2017-02-17 17:07:00,2017-01-17 15:20:00,0.199999999999932,0.0999999999999091,0.100000000000023,3.59999999999991,3.39999999999998,0.199999999999932,20,1.01325,107.27480557917,2817.60281769402,0.104020691276237,11.2026010347265,1606.72827837352,9.74856241537328,1.01803265745338
"E1-E2","Ethanol","2",0,"E1","17012017",1520,"1520",200,851.1,0,0,851.1,NA,NA,2017-01-17 15:20:00,2017-01-17 15:20:00,0,0,0,0,0,0,20,1.01325,0,0,0,0,0,NA,NA
"E1-E2","Ethanol","2",1.00486111111111,"E1","18012017",1543,"1527",211,851.1,0.283,211,850.9,NA,"17-02-2017 13:44:37",2017-01-18 15:27:00,2017-01-17 15:20:00,0.200000000000045,0.200000000000045,0,0.200000000000045,0.200000000000045,0,20,1.01325,192.371851509008,192.371851509008,0.758435568386587,146.055620391384,146.055620391384,191.441234397354,145.349062448924
"E1-E2","Ethanol","2",1.82152777777778,"E1","19012017",1154,"1103",250,850.9,0.296,232,850.6,NA,"06-02-2017 10:32:54",2017-01-19 11:03:00,2017-01-17 15:20:00,0.299999999999955,0.299999999999955,0,0.5,0.5,0,20,1.01325,211.238418327261,403.610269836269,0.456008300141015,96.5556871931322,242.611307584517,258.659287747667,118.231453705876
"E1-E2","Ethanol","2",2.97916666666667,"E1","20012017",1459,"1450",256,850.6,1.024,814,849.8,NA,"02-02-2017 20:29:36",2017-01-20 14:50:00,2017-01-17 15:20:00,0.800000000000068,0.800000000000068,0,1.30000000000007,1.30000000000007,0,20,1.01325,742.036746058665,1145.64701589493,0.727833620420029,540.72150757958,783.332815164097,640.99155028463,467.089964555846
