"id","exper","date","inject.date.time","xCH4","xCH4.oa","start.time"
"E2",1,"16122016","02-01-2017 12:57:50",0.7028,0.6998,2016-11-16 14:26:00
"E2",2,"28012017","09-02-2017 10:30:25",0.7155,0.7246,2016-11-16 14:26:00
"E2",1,"18112016","22-11-2016 17:41:44",0.7649,0.7602,2016-11-16 14:26:00
"E2",1,"16112016","22-11-2016 21:43:37",0.6133,0.607,2016-11-16 14:26:00
"E2",2,"22012017","10-02-2017 16:43:06",0.7409,0.7496,2016-11-16 14:26:00
"E2",1,"17112016","23-11-2016 16:08:58",0.8003,0.796,2016-11-16 14:26:00
"E2",2,"20012017","02-02-2017 20:11:26",0.7405,0.7405,2016-11-16 14:26:00
"E2",2,"24012017","03-02-2017 10:58:45",0.7346,0.7427,2016-11-16 14:26:00
"E2",2,"18012017","17-02-2017 14:37:22",0.5845,0.5939,2016-11-16 14:26:00
"E2",1,"21112016","24-11-2016 11:40:55",0.7564,0.7508,2016-11-16 14:26:00
"E2",1,"19112016","23-11-2016 14:05:11",0.7636,0.7588,2016-11-16 14:26:00
"E3",1,"17022017","20-03-2017 16:45:23",0.7008,0.7008,2016-11-16 14:26:00
"E3",2,"20012017","02-02-2017 18:58:43",0.7506,0.7506,2016-11-16 14:26:00
"E3",2,"19012017","06-02-2017 10:15:27",0.6984,0.7082,2016-11-16 14:26:00
"E3",1,"24112016","25-11-2016 11:43:43",0.7344,0.732,2016-11-16 14:26:00
"E3",1,"16122016","02-01-2017 14:10:49",0.7032,0.7002,2016-11-16 14:26:00
"E3",1,"19112016","23-11-2016 11:42:55",0.7662,0.7614,2016-11-16 14:26:00
"E3",1,"18112016","22-11-2016 18:55:59",0.7643,0.7595,2016-11-16 14:26:00
"E3",1,"16112016","22-11-2016 18:18:42",0.5716,0.5651,2016-11-16 14:26:00
"E3",2,"06022017","08-02-2017 14:05:11",0.6965,0.7067,2016-11-16 14:26:00
"E3",1,"21112016","24-11-2016 14:58:23",0.7509,0.7453,2016-11-16 14:26:00
"E3",2,"28012017","09-02-2017 11:21:39",0.7146,0.7237,2016-11-16 14:26:00
"E3",1,"07122016","02-01-2017 15:24:35",0.7158,0.7128,2016-11-16 14:26:00
"E3",1,"29112016","01-12-2016 19:54:15",0.7221,0.7195,2016-11-16 14:26:00
"E3",1,"17112016","22-11-2016 23:35:33",0.7993,0.7951,2016-11-16 14:26:00
"E3",2,"01022017","20-02-2017 16:58:57",0.7077,0.7077,2016-11-16 14:26:00
"E3",2,"17022017","27-02-2017 14:41:49",0.6931,0.6931,2016-11-16 14:26:00
"E3",2,"18012017","17-02-2017 15:47:48",0.6225,0.6316,2016-11-16 14:26:00
"E3",2,"22012017","10-02-2017 17:17:41",0.7421,0.7508,2016-11-16 14:26:00
"I1",1,"07122016","08-12-2016 13:06:03",0.6973,0.6972,2016-11-16 14:26:00
"I1",2,"28012017","09-02-2017 13:04:38",0.6088,0.6196,2016-11-16 14:26:00
"I1",2,"17022017","27-02-2017 11:07:48",0.6334,0.6334,2016-11-16 14:26:00
"I1",1,"17022017","20-03-2017 18:24:29",0.6759,0.6759,2016-11-16 14:26:00
"I1",1,"16112016","23-11-2016 16:27:25",0.2401,0.2353,2016-11-16 14:26:00
"I1",1,"16122016","02-01-2017 10:48:33",0.6982,0.6952,2016-11-16 14:26:00
"I1",2,"18012017","17-02-2017 11:22:20",0.2744,0.2822,2016-11-16 14:26:00
"I1",1,"17112016","22-11-2016 15:16:18",0.5509,0.5444,2016-11-16 14:26:00
"I1",2,"20012017","02-02-2017 16:52:11",0.5031,0.5031,2016-11-16 14:26:00
"I1",1,"24112016","25-11-2016 12:38:13",0.6857,0.6831,2016-11-16 14:26:00
"I1",2,"24012017","03-02-2017 13:57:45",0.5734,0.5836,2016-11-16 14:26:00
"I1",1,"29112016","01-12-2016 18:05:03",0.6955,0.6927,2016-11-16 14:26:00
"I1",2,"06022017","08-02-2017 12:39:17",0.6235,0.6348,2016-11-16 14:26:00
"I1",2,"19012017","06-02-2017 14:04:02",0.4759,0.4877,2016-11-16 14:26:00
"I1",2,"01022017","20-02-2017 13:39:20",0.6145,0.6145,2016-11-16 14:26:00
"I1",1,"21112016","24-11-2016 16:27:57",0.6429,0.6361,2016-11-16 14:26:00
"I1",2,"22012017","10-02-2017 19:37:50",0.5566,0.568,2016-11-16 14:26:00
"I1",1,"19112016","24-11-2016 11:59:24",0.6322,0.6252,2016-11-16 14:26:00
"I2",2,"19012017","06-02-2017 13:28:20",0.4335,0.4451,2016-11-16 14:26:00
"I2",2,"06022017","08-02-2017 13:13:29",0.629,0.6402,2016-11-16 14:26:00
"I2",1,"19112016","23-11-2016 12:19:03",0.6211,0.6148,2016-11-16 14:26:00
"I2",1,"17112016","22-11-2016 16:27:55",0.5971,0.5907,2016-11-16 14:26:00
"I2",2,"17022017","27-02-2017 15:42:45",0.6402,0.6402,2016-11-16 14:26:00
"I2",2,"22012017","10-02-2017 19:20:12",0.543,0.5545,2016-11-16 14:26:00
"I2",1,"16122016","02-01-2017 13:52:31",0.6941,0.6911,2016-11-16 14:26:00
"I2",1,"07122016","08-12-2016 13:42:13",0.6932,0.6931,2016-11-16 14:26:00
"I2",1,"21112016","24-11-2016 14:22:53",0.6428,0.6359,2016-11-16 14:26:00
"I2",2,"01022017","20-02-2017 11:51:05",0.6095,0.6095,2016-11-16 14:26:00
