"method","descrip","time.d","mean","se","sd","n"
"grav","FI2",6.8,350.428480345932,4.21247039253331,7.29621274524731,3
"grav","FI2",11.1,356.824187617473,4.58599576961881,7.94317767627571,3
"grav","FI2",14.8,364.881616697149,4.74243724902689,8.21414226702174,3
"grav","FI2",20.1,373.840961347193,3.13644527270265,5.43248256748021,3
"grav","FI2",31.1,380.830658349042,5.6456703815325,9.77858794360106,3
"grav","FI3",0,0,0,0,3
"grav","FI3",1,116.071682101458,3.10279406320708,5.37419696289774,3
"grav","FI3",1.8,224.307294101746,3.743428922902,6.4838090889891,3
"grav","FI3",3,323.166642949384,4.91772502724272,8.51774960483744,3
"grav","FI3",4.6,409.499092581407,6.0813963589339,10.5332874746379,3
"grav","FI3",6.8,456.796343071644,6.61695962799691,11.4609102673227,3
"grav","FI3",11.1,472.697327074924,7.28392587955829,12.6161297019608,3
"grav","FI3",14.8,489.531953122023,7.89474023574167,13.6740912008629,3
"grav","FI3",20.1,503.47200964191,7.51028332334446,13.0081922952698,3
"grav","FI3",31.1,521.502033722217,8.84006434320378,15.3114405846069,3
"gdt","Cellulose",0,0,0,0,2
"gdt","Cellulose",1,6.00162064212225,3.52431819783601,4.98413859349798,2
"gdt","Cellulose",1.8,34.1529982277417,4.4868106201358,6.34530843079568,2
"gdt","Cellulose",3,185.881140183442,8.0300368053269,11.3561869564484,2
"gdt","Cellulose",4.6,278.325073958968,12.1802393302842,17.2254596538381,2
"gdt","Cellulose",6.8,329.636492507577,14.7148566300055,20.8099498145294,2
"gdt","Cellulose",11.1,358.750049007964,20.0531760093318,28.3594734810518,2
"gdt","Cellulose",14.8,367.395723350286,22.3073911251006,31.5474150702785,2
"gdt","Cellulose",20.1,376.52039938551,29.6717438537004,41.9621825771636,2
"gdt","Cellulose",31.1,386.357608518425,39.658067629925,56.0849770997494,2
"gdt","Ethanol",0,0,0,0,3
"gdt","Ethanol",1,50.4314544142297,3.32443284049922,5.75808658609517,3
"gdt","Ethanol",1.8,133.555017391308,4.90985671986503,8.50412129668971,3
"gdt","Ethanol",3,465.778268102484,8.16181206896896,14.1366731852831,3
"gdt","Ethanol",4.6,596.207546307798,17.5193689039335,30.344437058155,3
"gdt","Ethanol",6.8,612.640892067929,18.5955811372792,32.2084913260369,3
"gdt","Ethanol",11.1,629.618196860893,24.793213561472,42.9431055713753,3
"gdt","Ethanol",14.8,636.373857953486,27.6667893891657,47.9202849043425,3
"gdt","Ethanol",20.1,645.7577141616,35.5336825818652,61.5461436118159,3
"gdt","Ethanol",31.1,663.90610528167,46.9106653481788,81.2516557999064,3
"gdt","FI1",0,0,0,0,3
"gdt","FI1",1,104.976708869229,1.76840155749722,3.06296134576913,3
"gdt","FI1",1.8,224.729183223668,2.49215449794585,4.31653821075351,3
"gdt","FI1",3,284.492525623644,3.60526011920639,6.24449370096729,3
"gdt","FI1",4.6,316.513120034664,5.3852532058902,9.32753216422501,3
"gdt","FI1",6.8,336.645917456996,6.68684274302872,11.581951373149,3
"gdt","FI1",11.1,353.938280475796,9.07341732043239,15.7156197972644,3
"gdt","FI1",14.8,361.086330784746,10.4746762611615,18.1426714771673,3
"gdt","FI1",20.1,368.273810314294,14.0276268575673,24.2965624269244,3
"gdt","FI1",31.1,374.845485550096,19.0355107620186,32.9704717878404,3
"gdt","FI2",0,0,0,0,3
"gdt","FI2",1,120.441775843982,7.6295074667911,13.2146945692083,3
"gdt","FI2",1.8,248.87145071504,8.10866286087083,14.0446160564751,3
"gdt","FI2",3,301.060852248444,20.7208858287232,35.8896270331826,3
"gdt","FI2",4.6,326.794532960168,22.1967059191251,38.4458224125895,3
"gdt","FI2",6.8,339.201570886688,23.3292595391007,40.4074628246832,3
