"exper","id","date","time.orig","time","sheet.order","mass.init","pres.init","vol","mass.final","notes","inject.date.time","xCH4.oa","xCH4.GC","date.time","start.time","time.d","temp.vol","temp.grav","pres.vol","pres.grav","mass.tot","mass.vent","mass.leak","cmass.tot","cmass.leak","cmass.vent","vBg","cvBg","xCH4","xCH4.lim.flag","vCH4","cvCH4","rvBg","rvCH4"
"2","A3","22012017",629,"0617",282,837.1,0.311,240,836.8,NA,"10-02-2017 19:55:33",0.5569,0.5454,2017-01-22 06:17:00,2017-01-17 15:20:00,4.6,20,30,1.01325,1.5,0.300000000000068,0.300000000000068,0,2.5,-0.100000000000023,2.60000000000002,224.717674029176,1872.64728357604,0.527161802907985,"",118.70751655641,989.229304636529,140.448546268235,74.1921978477566
"2","A3","24012017",1024,"0923",315,836.8,0.214,162,836.6,NA,"03-02-2017 12:27:46",0.5627,0.5524,2017-01-24 09:23:00,2017-01-17 15:20:00,6.8,20,30,1.01325,1.5,0.199999999999932,0.199999999999932,0,2.69999999999993,-0.100000000000023,2.79999999999995,149.811782686032,2022.45906626207,0.527161802907985,"",79.1383443708954,1068.36764900742,68.0962648572873,35.9719747140433
"2","A3","28012017",1834,"1822",330,836.6,0.225,180,836.4,NA,"09-02-2017 13:21:17",0.5709,0.5598,2017-01-28 18:22:00,2017-01-17 15:20:00,11.1,20,30,1.01325,1.5,0.200000000000045,0.200000000000045,0,2.89999999999998,-0.100000000000023,3,149.811782686117,2172.27084894819,0.527161802907985,"",79.1383443709403,1147.50599337836,34.8399494618877,18.4042661327768
"2","A3","01022017",1057,"1013",369,836.4,0.123,90,836.3,NA,"20-02-2017 16:21:40",0.5636,0.5636,2017-02-01 10:13:00,2017-01-17 15:20:00,14.8,20,30,1.01325,1.5,0.100000000000023,0.100000000000023,0,3,-0.100000000000023,3.10000000000002,74.9058913430586,2247.17674029125,0.527161802907985,"",39.5691721854702,1187.07516556384,20.2448354981239,10.6943708609379
"2","A3","06022017",1804,"1701",393,836.3,0.115,80,836.2,NA,"08-02-2017 13:47:49",0.577,0.5651,2017-02-06 17:01:00,2017-01-17 15:20:00,20.1,20,30,1.01325,1.5,0.0999999999999091,0.0999999999999091,0,3.09999999999991,-0.100000000000023,3.19999999999993,74.9058913429735,2322.08263163422,0.527161802907985,"",39.5691721854252,1226.64433774926,14.133187045844,7.46588154441984
"2","A3","17022017",1716,"1707",399,836.2,0.14,105,836,NA,"27-02-2017 10:48:49",0.5778,0.5778,2017-02-17 17:07:00,2017-01-17 15:20:00,31.1,20,30,1.01325,1.5,0.200000000000045,0.200000000000045,0,3.29999999999995,-0.100000000000023,3.39999999999998,149.811782686117,2471.89441432034,0.527161802907985,"",79.1383443709403,1305.7826821202,13.6192529714652,7.19439494281276
"2","B1","17012017",1520,"1520",188,845.4,0,0,845.4,NA,NA,NA,NA,2017-01-17 15:20:00,2017-01-17 15:20:00,0,20,30,1.01325,1.5,0,0,0,0,0,0,0,0,0.537519242652546,"",0,0,NA,NA
"2","B1","18012017",1604,"1527",217,845.4,1.23,1010,844.2,NA,"17-02-2017 14:02:10",0.4859,0.4762,2017-01-18 15:27:00,2017-01-17 15:20:00,1,20,30,1.01325,1.5,1.19999999999993,1.19999999999993,0,1.19999999999993,0,1.19999999999993,907.738227702861,907.738227702861,0.537519242652546,"",488.913495826905,488.913495826905,907.738227702861,488.913495826905
"2","B1","19012017",1138,"1103",244,844.2,1.139,919,843,NA,"06-02-2017 12:17:37",0.4824,0.4706,2017-01-19 11:03:00,2017-01-17 15:20:00,1.8,20,30,1.01325,1.5,1.20000000000005,1.20000000000005,0,2.39999999999998,0,2.39999999999998,907.738227702947,1815.47645540581,0.537519242652546,"",488.913495826952,977.826991653857,1134.67278462868,611.141869783689
"2","B1","20012017",1515,"1450",262,843,0.655,514,842.4,NA,"02-02-2017 19:16:52",0.5737,0.5737,2017-01-20 14:50:00,2017-01-17 15:20:00,3,20,30,1.01325,1.5,0.600000000000023,0.600000000000023,0,3,0,3,453.869113851474,2269.34556925728,0.537519242652546,"",244.456747913476,1222.28373956733,378.224261542895,203.713956594563
