"method","time.d","id","exper","descrip","descrip1","substrate","tare","m.inoc","m.sub","m.tot1","m.tot2","m.tot","m.tot.sd","m.gained","c.sub.vs","c.inoc.vs","m.sub.vs","m.inoc.vs","ISR","vol.tot","vol.hs","notes","cvCH4","vol.mi.mn","vol.mi.se","n","rsd.inoc","cvCH4.tot","cvCH4.inoc","fv.inoc","se.inoc","cvCH4.se"
"vol",31.1,"L3","2","Cellulose","Cellulose","Cellulose",537.02,322.27,1.75,863.3,NA,863.3,NA,2.25999999999999,945.69,19.86,1.6549575,6.4002822,3.86733931233884,1120,798.98,NA,371.858225088893,0.835427629659526,0.050388671722631,2,8.52980442712342,534.541111030299,162.682885941407,0.304341205165388,9.81218988164487,0
"vol",31.1,"E1","2","Ethanol","Ethanol","Ethanol",539.62,308.28,1.44,851.1,NA,851.1,NA,1.75999999999999,1000,19.86,1.44,6.1224408,4.251695,1120,813.28,NA,710.951782014604,0.835427629659526,0.050388671722631,2,8.52980442712342,889.802913730881,178.851131716277,0.201000838451255,10.7873748046199,0
"vol",31.1,"E2","2","Ethanol","Ethanol","Ethanol",537.6,300.31,1.48,841.2,NA,841.2,NA,1.80999999999995,1000,19.86,1.48,5.9641566,4.02983554054054,1120,821.21,NA,736.304418539926,0.835427629659526,0.050388671722631,2,8.52980442712342,905.822845204151,169.518426664224,0.187143024225691,10.2244743277185,0
"vol",31.1,"E3","2","Ethanol","Ethanol","Ethanol",536.89,331.33,1.52,871.6,NA,871.6,NA,1.86000000000001,1000,19.86,1.52,6.5802138,4.32908802631579,1120,790.15,NA,754.127442154537,0.835427629659526,0.050388671722631,2,8.52980442712342,936.234176717096,182.10673456256,0.194509812920007,10.9837359222759,0
"vol",31.1,"A1","2","FI1","A","A",538.12,281.87,3.89,826.2,NA,826.2,NA,2.32000000000005,821,19.86,3.19369,5.5979382,1.75281201368949,1120,837.24,NA,386.788947113645,0.835427629659526,0.050388671722631,2,8.52980442712342,460.522461002635,73.7335138889906,0.160108398900806,4.44722402564369,0
"vol",31.1,"A2","2","FI1","A","A",540.96,296.05,3.82,842.7,NA,842.7,NA,1.87,821,19.86,3.13622,5.879553,1.87472594397077,1120,823.13,NA,394.577283229774,0.835427629659526,0.050388671722631,2,8.52980442712342,473.439209293858,78.8619260640843,0.166572443760432,4.7565433112106,0
"vol",31.1,"A3","2","FI1","A","A",527.29,296.7,3.49,839.3,NA,839.3,NA,11.8199999999999,821,19.86,2.86529,5.892462,2.05649759710186,1120,822.81,"May be error in tare. Check original data sheet.",385.641728709386,0.835427629659526,0.050388671722631,2,8.52980442712342,472.150032483169,86.5083037737825,0.183222064645026,5.21773324867801,0
"vol",31.1,"B1","2","FI2","B","B",537.92,301.66,3.94,845.4,NA,845.4,NA,1.88,858.47,19.86,3.3823718,5.9909676,1.77123271900505,1120,817.4,NA,388.416762318376,0.835427629659526,0.050388671722631,2,8.52980442712342,462.925158693692,74.5083963753164,0.160951279004944,4.49396092760969,0
"vol",31.1,"B2","2","FI2","B","B",537.39,310.41,3.51,853.2,NA,853.2,NA,1.8900000000001,858.47,19.86,3.0132297,6.1647426,2.04589202077757,1120,809.08,NA,386.156630035173,0.835427629659526,0.050388671722631,2,8.52980442712342,472.218801306953,86.0621712717797,0.182250624146236,5.19082484465817,0
"vol",31.1,"B3","2","FI2","B","B",537.31,302.25,3.45,847.9,NA,847.9,NA,4.88999999999999,858.47,19.86,2.9617215,6.002685,2.02675538533924,1120,817.3,NA,371.189683704009,0.835427629659526,0.050388671722631,2,8.52980442712342,456.446856285763,85.2571725817541,0.186784444689828,5.14227148912051,0
