"exp","bottle","date.time","time","pres","pres.resid","xCH4.p","headspace.p","rh.resid","pres.resid.prev","rh.resid.prev","temp.prev","vBg.p","vCH4.p","cvBg.p","cvCH4.p","rvBg.p","rvCH4.p","mass","xCH4.m","headspace.m","massloss","cmassloss","vBg.m","vCH4.m","cvBg.m","cvCH4.m","rvBg.m","rvCH4.m","err.m"
"TSR1",1,"2016-05-04 14:30:00.00",8.0625,1.662,1.007,0.515208177511842,491.343333333333,0.60589651022864,1.008,0.605405405405405,35,275.278769361851,142.126552453663,1195.54425503641,560.452098641299,128.285251741445,66.2337331822896,487.26,0.515208177511842,491.343333333333,0.370000000000005,1.63,272.520660910338,140.702539819432,1177.81304825966,552.025204438558,126.999919647536,65.5701156440071,-1.00193286169763
"TSR1",1,"2016-05-09 10:45:00.00",12.90625,1.744,0.997,0.527353926311872,491.343333333333,0.571674311926605,1.007,0.60589651022864,35,311.44016132526,164.578647258362,1506.98441636167,725.030745899661,64.2973236284408,33.97752717592,486.83,0.527353926311872,491.343333333333,0.430000000000007,2.06,320.321775333252,169.272081825973,1498.13482359291,721.297286264531,66.1309471655747,34.946494312459,2.85178827618078
"TSR1",12,"2016-04-28 10:30:00.00",1.89583333333333,1.331,1.003,0.222462203023758,509.48,0.753568745304282,1.008,1,22,113.240856402993,25.277579346017,113.240856402993,25.277579346017,NA,NA,469.87,0.222462203023758,509.48,0.180000000000007,0.180000000000007,189.308181722404,42.2572977310315,189.308181722404,42.2572977310315,99.8548650843452,22.2895636383463,67.1730396039288
"TSR1",12,"2016-04-29 16:00:00.00",3.125,1.222,1.005,0.32612932116787,509.48,0.822422258592471,1.003,0.753568745304282,35,92.7112508184691,30.3250339122055,205.952107221462,55.6026132582225,75.4261023607882,24.6712140302688,469.76,0.32612932116787,509.48,0.110000000000014,0.29000000000002,68.9218368527546,22.5437260461911,258.230018575159,64.8010237772226,56.0720028632578,18.3406584782571,-25.6596839711447
"TSR1",12,"2016-04-30 13:20:00.00",4.01388888888889,1.262,1.005,0.887184115523466,509.48,0.79635499207607,1.005,0.822422258592471,35,111.602577126045,99.0608028336722,317.554684347508,154.663416091895,125.552899266801,111.443403187881,469.6,0.887184115523466,509.48,0.159999999999968,0.449999999999989,179.77448306543,159.571625316112,438.004501640588,224.372649093335,202.246293448608,179.518078480626,61.0845266255724
"TSR1",12,"2016-05-02 11:00:00.00",5.91666666666667,1.428,1.008,0.629373999134455,509.48,0.705882352941177,1.005,0.79635499207607,35,185.915312676739,117.199819155662,503.469997024247,271.863235247556,97.7073176111326,61.5940655416616,469.33,0.629373999134455,509.48,0.270000000000039,0.720000000000027,222.406927369218,140.203898707156,660.411429009806,364.576547800491,116.885392486012,73.683800780403,19.6280845117523
"TSR1",12,"2016-05-04 14:30:00.00",8.0625,1.425,1.007,0.487599831862127,509.48,0.706666666666667,1.008,0.705882352941177,35,180.93238230015,88.4203118343646,684.402379324397,360.283547081921,84.318003402012,41.2055822140729,469.1,0.487599831862127,509.48,0.229999999999961,0.949999999999989,165.174316369499,80.7194620153242,825.585745379305,445.296009815815,76.9744386964657,37.6168366673356,-8.70936740583571
"TSR1",12,"2016-05-09 10:45:00.00",12.90625,1.654,0.997,0.521975425330813,509.48,0.602781136638452,1.007,0.706666666666667,35,284.823016640986,148.981396934665,969.225395965383,509.264944016586,58.8021711774939,30.7574496897372,468.71,0.521975425330813,509.48,0.390000000000043,1.34000000000003,289.065954064002,151.200735637843,1114.65169944331,596.496745453658,59.6781324519229,31.2156357445869,1.48967505261831
"TSR1",2,"2016-04-28 10:30:00.00",1.89583333333333,1.501,1.003,0.42188058634251,493.333333333333,0.668221185876083,1.008,1,22,183.992979595191,77.819392437523,183.992979595191,77.819392437523,NA,NA,485.23,0.42188058634251,493.333333333333,0.269999999999982,0.269999999999982,209.018994582921,88.4040858631214,209.018994582921,88.4040858631214,110.25177736242,46.6307266091191,13.6016140630965
"TSR1",2,"2016-04-29 16:00:00.00",3.125,1.672,1.005,0.435740305529476,493.333333333333,0.601076555023923,1.003,0.668221185876083,35,284.481496646943,124.266042439154,468.474476242134,202.085434876677,231.442573543275,101.097797238634,484.83,0.435740305529476,493.333333333333,0.400000000000034,0.670000000000016,274.384410049215,119.855474418196,483.403404632136,208.259560281318,223.22799461631,97.5095385097189,-3.54929467003601
