"method","time.d","id","descrip","descrip2","m.inoc","m.sub","m.water","m.tot","vol.hs","m.sub.vs","m.ino.vs","isr","conc.sub.vs","conc.ino.vs","cvCH4","vol.mi.mn","vol.mi.se","n","rsd.inoc","cvCH4.tot","cvCH4.inoc","fv.inoc","se.inoc","cvCH4.se"
"gdv",13.125,"C2","C","Substrate C",80.048,0.9698,0,81.0178,160,0.788452714755093,1.52139471338185,1.92959537700928,813.005480258912,19.0060302990936,469.603412775919,0.820418116433264,0.0132127189450647,3,2.78944358499444,552.896713889923,83.2933011140041,0.15064893500269,1.34142695728185,0
"gdv",15.8541666666667,"C2","C","Substrate C",80.048,0.9698,0,81.0178,160,0.788452714755093,1.52139471338185,1.92959537700928,813.005480258912,19.0060302990936,478.684588851746,0.902984526969486,0.0138492332451677,3,2.65647692845938,570.360480204731,91.6758913529843,0.160733245964161,1.40604934457425,0
"gdv",18.9097222222222,"C2","C","Substrate C",80.048,0.9698,0,81.0178,160,0.788452714755093,1.52139471338185,1.92959537700928,813.005480258912,19.0060302990936,484.209862168658,0.963841338924439,0.015575834032775,3,2.79902249732637,582.064267454317,97.8544052856596,0.168116152729371,1.58134323000315,0
"gdv",22.8611111111111,"C2","C","Substrate C",80.048,0.9698,0,81.0178,160,0.788452714755093,1.52139471338185,1.92959537700928,813.005480258912,19.0060302990936,491.99699374629,1.06277510446818,0.0138086873168339,3,2.25046182565189,599.895692007344,107.898698261054,0.179862432250527,1.4019329018117,0
"gdv",27.1458333333333,"C2","C","Substrate C",80.048,0.9698,0,81.0178,160,0.788452714755093,1.52139471338185,1.92959537700928,813.005480258912,19.0060302990936,498.831204545462,1.13789927112004,0.0114689091319048,3,1.74573741525441,614.356916043469,115.525711498006,0.188043315670646,1.16438591815348,0
"gdv",0,"C3","C","Substrate C",80.019,0.9694,0,80.9884,160,0.78812751256299,1.52084353850317,1.92969223160018,813.005480258912,19.0060302990936,0,0,0,3,NA,0,0,NA,0,0
"gdv",0.840277777777778,"C3","C","Substrate C",80.019,0.9694,0,80.9884,160,0.78812751256299,1.52084353850317,1.92969223160018,813.005480258912,19.0060302990936,87.3860417327779,0.185277045730887,0.00109026772835532,3,1.01922992776288,106.19731742867,18.8112756958918,0.177135130635733,0.110695454687977,0
"gdv",1.84375,"C3","C","Substrate C",80.019,0.9694,0,80.9884,160,0.78812751256299,1.52084353850317,1.92969223160018,813.005480258912,19.0060302990936,201.759320123842,0.293557708779613,0.00236942392008014,3,1.39800880423442,231.564388370281,29.8050682464386,0.128711795696233,0.24056885420015,0
"gdv",2.85069444444444,"C3","C","Substrate C",80.019,0.9694,0,80.9884,160,0.78812751256299,1.52084353850317,1.92969223160018,813.005480258912,19.0060302990936,305.576389381541,0.400813615580472,0.00292979920547291,3,1.26606504434857,346.271206138836,40.6948167572953,0.117522958986601,0.297464051039583,0
"gdv",3.80902777777778,"C3","C","Substrate C",80.019,0.9694,0,80.9884,160,0.78812751256299,1.52084353850317,1.92969223160018,813.005480258912,19.0060302990936,364.135578279555,0.468144749468103,0.00505619736754088,3,1.87070147505168,411.666560399272,47.5309821197166,0.115459905399206,0.513358372476456,0
