"id","date","day","time","vol","mass.init","mass.final","notes","date.time","start.time","time.d"
"C1","21112018",8.91666666666424,"1030",41,188.0801,188.0343,NA,2018-11-21 10:30:00,2018-11-12 12:30:00,8.91666666666667
"C2","21112018",8.91666666666424,"1030",41,184.6926,184.6461,NA,2018-11-21 10:30:00,2018-11-12 12:30:00,8.91666666666667
"C3","21112018",8.91666666666424,"1030",42,183.5341,183.4878,NA,2018-11-21 10:30:00,2018-11-12 12:30:00,8.91666666666667
"I1","23112018",10.878472222219,"0935",11,183.1396,183.1276,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222
"I2","23112018",10.878472222219,"0935",10.75,183.7515,183.7378,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222
"I3","23112018",10.878472222219,"0935",11,183.6144,183.6018,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222
"L1","23112018",10.878472222219,"0935",33.1,184.3988,184.3589,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222
"L2","23112018",10.878472222219,"0935",36.5,187.612,187.568,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222
"L3","23112018",10.878472222219,"0935",33.1,183.2933,183.2531,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222
"C1","23112018",10.878472222219,"0935",30,188.039,188.0061,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222
"C2","23112018",10.878472222219,"0935",28.5,184.6502,184.6189,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222
"C3","23112018",10.878472222219,"0935",29.8,183.4923,183.46,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222
"I1","25112018",13.125,"1530",12.66,183.127,183.1124,NA,2018-11-25 15:30:00,2018-11-12 12:30:00,13.125
"I2","25112018",13.125,"1530",13.33,183.7365,183.7217,NA,2018-11-25 15:30:00,2018-11-12 12:30:00,13.125
"I3","25112018",13.125,"1530",12.33,183.6009,183.5867,NA,2018-11-25 15:30:00,2018-11-12 12:30:00,13.125
"L1","25112018",13.125,"1530",25,184.3579,184.3274,NA,2018-11-25 15:30:00,2018-11-12 12:30:00,13.125
"L2","25112018",13.125,"1530",24,187.5669,187.5375,NA,2018-11-25 15:30:00,2018-11-12 12:30:00,13.125
"L3","25112018",13.125,"1530",25,183.2527,183.2222,NA,2018-11-25 15:30:00,2018-11-12 12:30:00,13.125
"C1","25112018",13.125,"1530",24.33,188.005,187.9777,NA,2018-11-25 15:30:00,2018-11-12 12:30:00,13.125
"C2","25112018",13.125,"1530",24.5,184.6164,184.5895,NA,2018-11-25 15:30:00,2018-11-12 12:30:00,13.125
"C3","25112018",13.125,"1530",25,183.4582,183.4308,NA,2018-11-25 15:30:00,2018-11-12 12:30:00,13.125
"I1","28112018",15.8541666666642,"0900",12,183.1102,183.0961,NA,2018-11-28 09:00:00,2018-11-12 12:30:00,15.8541666666667
