"id","date","day","time","vol","mass.init","mass.final","notes","date.time","start.time","time.d","mass.tot","cmass.tot","mass.vent","mass.leak","cmass.vent","cmass.leak","leaked"
"I1","23112018",10.878472222219,"0935",11,183.1396,183.1276,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222,0.00989999999998759,0.138450000000006,0.0120000000000005,-0.00210000000001287,0.142100000000028,-0.00365000000002169,FALSE
"I1","25112018",13.125,"1530",12.66,183.127,183.1124,NA,2018-11-25 15:30:00,2018-11-12 12:30:00,13.125,0.015199999999993,0.153649999999999,0.0146000000000015,0.000599999999991496,0.156700000000029,-0.0030500000000302,FALSE
"I1","28112018",15.8541666666642,"0900",12,183.1102,183.0961,NA,2018-11-28 09:00:00,2018-11-12 12:30:00,15.8541666666667,0.0163000000000011,0.16995,0.0140999999999849,0.00220000000001619,0.170800000000014,-0.000850000000014006,FALSE
"I1","01122018",18.909722222219,"1020",11,183.0969,183.0851,NA,2018-12-01 10:20:00,2018-11-12 12:30:00,18.9097222222222,0.0109999999999957,0.180949999999996,0.0117999999999938,-0.000799999999998136,0.182600000000008,-0.00165000000001214,FALSE
"I1","05122018",22.8611111111095,"0910",11.1,183.0789,183.0655,NA,2018-12-05 09:10:00,2018-11-12 12:30:00,22.8611111111111,0.0196000000000254,0.200550000000021,0.0134000000000185,0.00620000000000687,0.196000000000026,0.00454999999999472,FALSE
"I1","09122018",27.1458333333285,"1600",13,183.0645,183.049,NA,2018-12-09 16:00:00,2018-11-12 12:30:00,27.1458333333333,0.0164999999999793,0.21705,0.015500000000003,0.000999999999976353,0.211500000000029,0.00554999999997108,FALSE
"I2","12112018",0,"1230",0,183.8875,183.8875,NA,2018-11-12 12:30:00,2018-11-12 12:30:00,0,0,0,0,0,0,0,FALSE
"I2","13112018",0.840277777773736,"0840",28,183.8872,183.851,NA,2018-11-13 08:40:00,2018-11-12 12:30:00,0.840277777777778,0.0364999999999895,0.0364999999999895,0.036200000000008,0.000299999999981537,0.036200000000008,0.000299999999981537,FALSE
"I2","14112018",1.84375,"0845",18.25,183.8523,183.8291,NA,2018-11-14 08:45:00,2018-11-12 12:30:00,1.84375,0.021899999999988,0.0583999999999776,0.0232000000000028,-0.00130000000001473,0.0594000000000108,-0.0010000000000332,FALSE
"I2","15112018",2.85069444444525,"0855",14.25,183.8263,183.8085,NA,2018-11-15 08:55:00,2018-11-12 12:30:00,2.85069444444444,0.0206000000000017,0.0789999999999793,0.017799999999994,0.00280000000000769,0.0772000000000048,0.00179999999997449,FALSE
"I2","16112018",3.80902777777374,"0755",13,183.8106,183.7947,NA,2018-11-16 07:55:00,2018-11-12 12:30:00,3.80902777777778,0.0138000000000034,0.0927999999999827,0.0158999999999878,-0.00209999999998445,0.0930999999999926,-0.000300000000009959,FALSE
"I2","17112018",4.86111111110949,"0910",9.9,183.7938,183.7823,NA,2018-11-17 09:10:00,2018-11-12 12:30:00,4.86111111111111,0.0124000000000137,0.105199999999996,0.0115000000000123,0.000900000000001455,0.104600000000005,0.000599999999991496,FALSE
