"id","date","day","time","vol","mass.init","mass.final","notes","date.time","start.time","time.d","temp.vol","temp.grav","pres.vol","pres.grav","mass.tot","cmass.tot","mass.vent","mass.leak","cmass.vent","cmass.leak","vBg","cvBg","xCH4","xCH4.lim.flag","vCH4","cvCH4","rvBg","rvCH4"
"I1","18112018",5.85902777777665,"0907",7.8,183.1691,183.16,NA,2018-11-18 09:07:00,2018-11-12 12:30:00,5.85902777777778,20,30,1013.25,1500,0.00659999999999172,0.10605000000001,0.00909999999998945,-0.00249999999999773,0.106600000000014,-0.000550000000004047,5.02708956113118,80.7761890846489,0.544731172951666,"",2.74386373728821,44.0889014151225,5.03758452889972,2.74959205406752
"I1","19112018",6.8395833333343,"0839",7.5,183.156,183.1473,NA,2018-11-19 08:39:00,2018-11-12 12:30:00,6.83958333333333,20,30,1013.25,1500,0.0126999999999953,0.118750000000006,0.00870000000000459,0.00399999999999068,0.115300000000019,0.00344999999998663,9.67333900400337,90.4495280886522,0.544731172951666,"",5.279859009635,49.3687604247575,9.86516159048502,5.38455876336714
"I1","21112018",8.91666666666424,"1030",12.8,183.1523,183.1375,NA,2018-11-21 10:30:00,2018-11-12 12:30:00,8.91666666666667,20,30,1013.25,1500,0.00980000000001269,0.128550000000018,0.0148000000000081,-0.00499999999999545,0.130100000000027,-0.00155000000000882,7.46446631806229,97.9139944067145,0.544731172951666,"",4.07422191295348,53.442982337711,3.59372500769298,1.96151105137179
"I1","23112018",10.878472222219,"0935",11,183.1396,183.1276,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222,20,30,1013.25,1500,0.00989999999998759,0.138450000000006,0.0120000000000005,-0.00210000000001287,0.142100000000028,-0.00365000000002169,7.54063434169677,105.454628748411,0.544731172951666,"",4.11579560593232,57.5587779436433,3.84372157594455,2.09796306992656
"I1","25112018",13.125,"1530",12.66,183.127,183.1124,NA,2018-11-25 15:30:00,2018-11-12 12:30:00,13.125,20,30,1013.25,1500,0.015199999999993,0.153649999999999,0.0146000000000015,0.000599999999991496,0.156700000000029,-0.0030500000000302,11.5775395953416,117.032168343753,0.544731172951666,"",6.31920133436574,63.877979278009,5.15352612590167,2.81287478253065
"I1","28112018",15.8541666666642,"0900",12,183.1102,183.0961,NA,2018-11-28 09:00:00,2018-11-12 12:30:00,15.8541666666667,20,30,1013.25,1500,0.0163000000000011,0.16995,0.0140999999999849,0.00220000000001619,0.170800000000014,-0.000850000000014006,12.4153878555373,129.44755619929,0.544731172951666,"",6.77651195725105,70.6544912352601,4.54914974859384,2.48299674769504
"I1","01122018",18.909722222219,"1020",11,183.0969,183.0851,NA,2018-12-01 10:20:00,2018-11-12 12:30:00,18.9097222222222,20,30,1013.25,1500,0.0109999999999957,0.180949999999996,0.0117999999999938,-0.000799999999998136,0.182600000000008,-0.00165000000001214,8.37848260189252,137.826038801183,0.544731172951666,"",4.57310622881762,75.2275974640777,2.74204885152846,1.49665294761304
"I1","05122018",22.8611111111095,"0910",11.1,183.0789,183.0655,NA,2018-12-05 09:10:00,2018-11-12 12:30:00,22.8611111111111,20,30,1013.25,1500,0.0196000000000254,0.200550000000021,0.0134000000000185,0.00620000000000687,0.196000000000026,0.00454999999999472,14.9289326361246,152.754971437307,0.544731172951666,"",8.14844382590697,83.3760412899847,3.77814815395771,2.06217207544922
"I1","09122018",27.1458333333285,"1600",13,183.0645,183.049,NA,2018-12-09 16:00:00,2018-11-12 12:30:00,27.1458333333333,20,30,1013.25,1500,0.0164999999999793,0.21705,0.015500000000003,0.000999999999976353,0.211500000000029,0.00554999999997108,12.5677239028279,165.322695340135,0.544731172951666,"",6.85965934322053,90.2357006332052,2.93314788007654,1.60095777216168
"I2","12112018",0,"1230",0,183.8875,183.8875,NA,2018-11-12 12:30:00,2018-11-12 12:30:00,0,20,30,1013.25,1500,0,0,0,0,0,0,0,0,0.537541430379292,"",0,0,NA,NA
"I2","13112018",0.840277777773736,"0840",28,183.8872,183.851,NA,2018-11-13 08:40:00,2018-11-12 12:30:00,0.840277777777778,20,30,1013.25,1500,0.0364999999999895,0.0364999999999895,0.036200000000008,0.000299999999981537,0.036200000000008,0.000299999999981537,27.6109545748397,27.6109545748397,0.537541430379292,"",14.8720455189045,14.8720455189045,32.8593178411315,17.6989632621673
"I2","14112018",1.84375,"0845",18.25,183.8523,183.8291,NA,2018-11-14 08:45:00,2018-11-12 12:30:00,1.84375,20,30,1013.25,1500,0.021899999999988,0.0583999999999776,0.0232000000000028,-0.00130000000001473,0.0594000000000108,-0.0010000000000332,16.5665727448995,44.1775273197392,0.537541430379292,"",8.92322731134036,23.7952728302448,16.5092489637753,8.89235109226998
"I2","15112018",2.85069444444525,"0855",14.25,183.8263,183.8085,NA,2018-11-15 08:55:00,2018-11-12 12:30:00,2.85069444444444,20,30,1013.25,1500,0.0206000000000017,0.0789999999999793,0.017799999999994,0.00280000000000769,0.0772000000000048,0.00179999999997449,15.58316888334,59.7606962030792,0.537541430379292,"",8.39353801889166,32.1888108491365,15.47569875311,8.33565154979585
"I2","16112018",3.80902777777374,"0755",13,183.8106,183.7947,NA,2018-11-16 07:55:00,2018-11-12 12:30:00,3.80902777777778,20,30,1013.25,1500,0.0138000000000034,0.0927999999999827,0.0158999999999878,-0.00209999999998445,0.0930999999999926,-0.000300000000009959,10.4392102228216,70.1999064259008,0.537541430379292,"",5.62285556605453,37.811666415191,10.8930889281617,5.86732754718734
"I2","17112018",4.86111111110949,"0910",9.9,183.7938,183.7823,NA,2018-11-17 09:10:00,2018-11-12 12:30:00,4.86111111111111,20,30,1013.25,1500,0.0124000000000137,0.105199999999996,0.0115000000000123,0.000900000000001455,0.104600000000005,0.000599999999991496,9.38015991036958,79.5800663362704,0.537541430379292,"",5.05242094341568,42.8640873586067,8.91579555837109,4.80230109473174
"I2","18112018",5.85902777777665,"0907",9.2,183.784,183.7731,NA,2018-11-18 09:07:00,2018-11-12 12:30:00,5.85902777777778,20,30,1013.25,1500,0.00919999999999277,0.114399999999989,0.0108999999999924,-0.00169999999999959,0.115499999999997,-0.00110000000000809,6.95947348187393,86.5395398181443,0.537541430379292,"",3.74857037736583,46.6126577359725,6.97400265406991,3.7563962027883
"I2","19112018",6.8395833333343,"0839",8.1,183.7702,183.7604,NA,2018-11-19 08:39:00,2018-11-12 12:30:00,6.83958333333333,20,30,1013.25,1500,0.0126999999999953,0.127099999999984,0.00979999999998427,0.002900000000011,0.125299999999982,0.00180000000000291,9.60709926302559,96.1466390811699,0.537541430379292,"",5.17465693397453,51.7873146699471,9.79760831356717,5.2772705275661
"I2","21112018",8.91666666666424,"1030",15,183.7643,183.7477,NA,2018-11-21 10:30:00,2018-11-12 12:30:00,8.91666666666667,20,30,1013.25,1500,0.0126999999999953,0.13979999999998,0.0165999999999826,-0.00389999999998736,0.141899999999964,-0.00209999999998445,9.60709926302559,105.753738344196,0.537541430379292,"",5.17465693397453,56.9619716039216,4.62528349674251,2.49130925607601
"I2","23112018",10.878472222219,"0935",10.75,183.7515,183.7378,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222,20,30,1013.25,1500,0.00990000000001601,0.149699999999996,0.0137,-0.00379999999998404,0.155599999999964,-0.00589999999996849,7.48899863812146,113.242736982317,0.537541430379292,"",4.03378768869683,60.9957592926184,3.81740107571501,2.05616080414989
"I2","25112018",13.125,"1530",13.33,183.7365,183.7217,NA,2018-11-25 15:30:00,2018-11-12 12:30:00,13.125,20,30,1013.25,1500,0.0160999999999945,0.16579999999999,0.0148000000000081,0.00129999999998631,0.170399999999972,-0.00459999999998217,12.1790785932848,125.421815575602,0.537541430379292,"",6.5599981603931,67.5557574530115,5.42129000752088,2.92006100493541
"I2","28112018",15.8541666666642,"0900",13,183.721,183.7049,NA,2018-11-28 09:00:00,2018-11-12 12:30:00,15.8541666666667,20,30,1013.25,1500,0.0167999999999893,0.182599999999979,0.0160999999999945,0.000699999999994816,0.186499999999967,-0.00389999999998736,12.7086037495108,138.130419325113,0.537541430379292,"",6.84521547171252,74.4009729247241,4.65658763340853,2.50817055452062
"I2","01122018",18.909722222219,"1020",11,183.7051,183.6924,NA,2018-12-01 10:20:00,2018-11-12 12:30:00,18.9097222222222,20,30,1013.25,1500,0.0125000000000171,0.195099999999996,0.0126999999999953,-0.000199999999978218,0.199199999999962,-0.00409999999996558,9.45580636126208,147.586225686375,0.537541430379292,"",5.09316627360583,79.4941391983299,3.09462753641305,1.66685441681645
"I2","05122018",22.8611111111095,"0910",12,183.6875,183.6736,NA,2018-12-05 09:10:00,2018-11-12 12:30:00,22.8611111111111,20,30,1013.25,1500,0.0187999999999988,0.213899999999995,0.0139000000000067,0.00489999999999213,0.213099999999969,0.000800000000026557,14.2215327673179,161.807758453693,0.537541430379292,"",7.66012207549223,87.1542612738221,3.59912252810857,1.93858976954461
"I2","09122018",27.1458333333285,"1600",12,183.6725,183.6595,NA,2018-12-09 16:00:00,2018-11-12 12:30:00,27.1458333333333,20,30,1013.25,1500,0.0140999999999849,0.22799999999998,0.0130000000000052,0.00109999999997967,0.226099999999974,0.00190000000000623,10.6661495754777,172.47390802917,0.537541430379292,"",5.74509155661339,92.8993528304355,2.48934447142428,1.3408317409276
"I3","12112018",0,"1230",0,183.7484,183.7484,NA,2018-11-12 12:30:00,2018-11-12 12:30:00,0,20,30,1013.25,1500,0,0,0,0,0,0,0,0,0.535487106829325,"",0,0,NA,NA
"I3","13112018",0.840277777773736,"0840",28,183.7478,183.7115,NA,2018-11-13 08:40:00,2018-11-12 12:30:00,0.840277777777778,20,30,1013.25,1500,0.0369000000000028,0.0369000000000028,0.0363000000000113,0.000599999999991496,0.0363000000000113,0.000599999999991496,27.8590297406533,27.8590297406533,0.535487106829325,"",14.9484529468191,14.9484529468191,33.1545477905295,17.7898944160492
"I3","14112018",1.84375,"0845",18.25,183.7125,183.6903,NA,2018-11-14 08:45:00,2018-11-12 12:30:00,1.84375,20,30,1013.25,1500,0.0211999999999932,0.058099999999996,0.022199999999998,-0.00100000000000477,0.0585000000000093,-0.000400000000013279,16.005729823892,43.8647595645453,0.535487106829325,"",8.58827106971381,23.5367240165329,15.9503466757125,8.55855386878054
"I3","15112018",2.85069444444525,"0855",15,183.6873,183.6684,NA,2018-11-15 08:55:00,2018-11-12 12:30:00,2.85069444444444,20,30,1013.25,1500,0.0219000000000165,0.0800000000000125,0.0189000000000021,0.00300000000001432,0.0774000000000115,0.00260000000000105,16.5342209030005,60.3989804675458,0.535487106829325,"",8.87184605787424,32.4085700744071,16.4201917933246,8.81066091264752
"I3","16112018",3.80902777777374,"0755",11.5,183.6695,183.6548,NA,2018-11-16 07:55:00,2018-11-12 12:30:00,3.80902777777778,20,30,1013.25,1500,0.0135999999999967,0.0936000000000092,0.0147000000000048,-0.00110000000000809,0.0921000000000163,0.00149999999999295,10.2678266794787,70.6668071470245,0.535487106829325,"",5.50945691264703,37.9180269870542,10.7142539264126,5.74899851754473
"I3","17112018",4.86111111110949,"0910",10.8,183.6529,183.6405,NA,2018-11-17 09:10:00,2018-11-12 12:30:00,4.86111111111111,20,30,1013.25,1500,0.0142999999999915,0.107900000000001,0.0123999999999853,0.00190000000000623,0.104500000000002,0.00339999999999918,10.7963177585657,81.4631249055903,0.535487106829325,"",5.79303190079594,43.7110588878501,10.2618465823991,5.5062481433308
"I3","18112018",5.85902777777665,"0907",8.2,183.6433,183.6338,NA,2018-11-18 09:07:00,2018-11-12 12:30:00,5.85902777777778,20,30,1013.25,1500,0.00669999999999504,0.114599999999996,0.00950000000000273,-0.00280000000000769,0.114000000000004,0.000599999999991496,5.05841461415243,86.5215395197427,0.535487106829325,"",2.71421774372917,46.4252766315793,5.06897497869137,2.71988416908142
"I3","19112018",6.8395833333343,"0839",7.2,183.6313,183.6228,NA,2018-11-19 08:39:00,2018-11-12 12:30:00,6.83958333333333,20,30,1013.25,1500,0.0109999999999957,0.125599999999991,0.00849999999999795,0.00249999999999773,0.122500000000002,0.00309999999998922,8.30485981428299,94.8263993340257,0.535487106829325,"",4.45617838522853,50.8814550168078,8.46954541966537,4.54454452884496
