"id","exper","vol.hs","descrip","substrate","tare","m.inoc","m.sub","m.tot1","m.tot2","m.tot","m.tot.sd","m.gained","conc.sub.vs","conc.inoc.vs","m.sub.vs","m.inoc.vs","ISR","vol.tot","date","time","order","mass.init","pres","vol","mass.final","notes","xCH4.oa","date.time","ctime","xCH4","temperature","pressure","massloss","cmassloss","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4"
"A3",1,611,"A","A",538.71,506.21,5.75,1052.6,1052.6,1052.6,0,1.9,830.1,18.3,4.773,9.3,1.9,1120,"19112016","1906",86,1049.3,0.607,386,1048.9,"",0.5515,2016-11-19 19:06:00,4.2,0.558,27,1.01,0.5,3.69999999999982,389.051904147867,217.510504712254,2903.6392071584,1715.3211447018,353.683549225333,197.736822465686
"A3",1,611,"A","A",538.71,506.21,5.75,1052.6,1052.6,1052.6,0,1.9,830.1,18.3,4.773,9.3,1.9,1120,"21112016","0928",98,1048.9,0.518,328,1048.5,"",0.5677,2016-11-21 09:28:00,5.8,0.5751,27,1.01,0.400000000000091,4.09999999999991,316.472783157308,182.341597952006,3220.1119903157,1897.66274265381,197.795489473318,113.963498720004
"A3",1,611,"A","A",538.71,506.21,5.75,1052.6,1052.6,1052.6,0,1.9,830.1,18.3,4.773,9.3,1.9,1120,"24112016","1121",119,1048.5,0.452,273,1048.1,"",0.5836,2016-11-24 11:21:00,8.85,0.5865,27,1.01,0.400000000000091,4.5,320.058639954219,188.053728857,3540.17063026992,2085.71647151081,104.937259001383,61.6569602809835
"A3",1,611,"A","A",538.71,506.21,5.75,1052.6,1052.6,1052.6,0,1.9,830.1,18.3,4.773,9.3,1.9,1120,"29112016","0949",136,1048.2,0.44,248,1047.9,"",0.5945,2016-11-29 09:49:00,13.8,0.5977,27,1.01,0.199999999999818,4.69999999999982,161.830626211585,96.8962754492703,3702.00125648151,2182.61274696008,32.6930558003202,19.5750051412667
"A3",1,611,"A","A",538.71,506.21,5.75,1052.6,1052.6,1052.6,0,1.9,830.1,18.3,4.773,9.3,1.9,1120,"07122016","1250",159,1047.9,0.428,252,1047.6,"Last volume was taken after disconnecting other syringes",0.6024,2016-12-07 12:50:00,21.9,0.6026,27,1.01,0.300000000000182,5,243.947183482715,147.257948573832,3945.94843996422,2329.87069553391,30.1169362324339,18.1799936510904
"A3",1,611,"A","A",538.71,506.21,5.75,1052.6,1052.6,1052.6,0,1.9,830.1,18.3,4.773,9.3,1.9,1120,"16122016","1137",177,1047.5,0.308,192,1047.3,"",0.5989,2016-12-16 11:37:00,30.85,0.6023,27,1.01,0.299999999999955,5.29999999999995,243.873297847548,147.140251620686,4189.82173781177,2477.0109471546,27.2484131673238,16.4402515777302
"B1",1,632.5,"B","B",538.07,485.05,5.48,1029.9,1029.9,1029.9,0,1.3,864,18.3,4.735,8.9,1.9,1120,"15112016","1440",17,1029.9,NA,NA,1029.9,"",NA,2016-11-15 14:40:00,0,NA,27,1.01,0,0,0,0,0,0,NA,NA
"B1",1,632.5,"B","B",538.07,485.05,5.48,1029.9,1029.9,1029.9,0,1.3,864,18.3,4.735,8.9,1.9,1120,"16112016","1450",30,NA,1.712,1240,1028.4,"",0.5318,2016-11-16 14:50:00,1,0.5384,27,1.01,1.5,1.5,1147.26196319971,618.932599381964,1147.26196319971,618.932599381964,1147.26196319971,618.932599381964
"B2",1,636.5,"B","B",537.48,481.17,5.35,1025.2,1025.2,1025.2,0,1.2,864,18.3,4.622,8.8,1.9,1120,"15112016","1440",18,1025.2,NA,NA,1025.2,"",NA,2016-11-15 14:40:00,0,NA,27,1.01,0,0,0,0,0,0,NA,NA
"B2",1,636.5,"B","B",537.48,481.17,5.35,1025.2,1025.2,1025.2,0,1.2,864,18.3,4.622,8.8,1.9,1120,"16112016","1454",31,1025.1,1.58,1148,1023.8,"Pressure not recorded. Estimated from vol and vol/pres ratio from B1.",0.5461,2016-11-16 14:54:00,1,0.5527,27,1.01,1.40000000000009,1.40000000000009,1077.85261107865,596.894254878628,1077.85261107865,596.894254878628,1077.85261107865,596.894254878628
"B3",1,624,"B","B",538.23,493.63,5.37,1039,1039,1039,0,1.8,864,18.3,4.64,9,1.9,1120,"15112016","1440",19,1039,NA,NA,1039,"",NA,2016-11-15 14:40:00,0,NA,27,1.01,0,0,0,0,0,0,NA,NA
"B3",1,624,"B","B",538.23,493.63,5.37,1039,1039,1039,0,1.8,864,18.3,4.64,9,1.9,1120,"16112016","1457",32,1039,1.705,1282,1037.5,"",0.547,2016-11-16 14:57:00,1,0.5535,27,1.01,1.5,1.5,1155.84526334984,641.009343279117,1155.84526334984,641.009343279117,1155.84526334984,641.009343279117
"B3",1,624,"B","B",538.23,493.63,5.37,1039,1039,1039,0,1.8,864,18.3,4.64,9,1.9,1120,"17112016","2127",44,1037.5,NA,NA,1035.9,"",0.519,2016-11-17 21:27:00,2.3,0.5255,27,1.01,1.59999999999991,3.09999999999991,1207.03704352513,635.614108798521,2362.88230687497,1276.62345207764,928.490033480866,488.933929845016
"B3",1,624,"B","B",538.23,493.63,5.37,1039,1039,1039,0,1.8,864,18.3,4.64,9,1.9,1120,"17112016","2325",59,1035.9,0.245,140,1035.7,"",0.519,2016-11-17 23:25:00,2.4,0.5255,27,1.01,0.200000000000045,3.29999999999995,150.879630440684,79.4517635998376,2513.76193731565,1356.07521567747,1508.79630440683,794.517635998376
"B3",1,624,"B","B",538.23,493.63,5.37,1039,1039,1039,0,1.8,864,18.3,4.64,9,1.9,1120,"18112016","1634",63,1035.7,0.765,502,1035.1,"",0.5634,2016-11-18 16:34:00,3.1,0.5699,27,1.01,0.600000000000136,3.90000000000009,472.295342626345,269.667255927206,2986.057279942,1625.74247160468,674.70763232335,385.238937038865
"B3",1,624,"B","B",538.23,493.63,5.37,1039,1039,1039,0,1.8,864,18.3,4.64,9,1.9,1120,"19112016","1917",91,1035.1,0.528,337,1034.7,"",0.5847,2016-11-19 19:17:00,4.2,0.592,27,1.01,0.399999999999864,4.29999999999995,321.817747196036,190.855918517917,3307.87502713803,1816.5983901226,292.561588360032,173.505380470834
"B3",1,624,"B","B",538.23,493.63,5.37,1039,1039,1039,0,1.8,864,18.3,4.64,9,1.9,1120,"21112016","0931",99,1034.7,0.397,252,1034.4,"",0.5949,2016-11-21 09:31:00,5.8,0.602,27,1.01,0.299999999999955,4.59999999999991,243.7994567617,147.022625632695,3551.67448389973,1963.62101575529,152.374660476062,91.8891410204343
"B3",1,624,"B","B",538.23,493.63,5.37,1039,1039,1039,0,1.8,864,18.3,4.64,9,1.9,1120,"24112016","1142",127,1034.4,0.381,229,1034.2,"Syringe barrel temperature (1000 mL, part in contact with biogas: 21.7C)",0.6067,2016-11-24 11:42:00,8.85,0.6095,27,1.01,0.200000000000045,4.79999999999995,163.772628014434,99.9898090573354,3715.44711191417,2063.61082481263,53.6959436112898,32.7835439532247
"B3",1,624,"B","B",538.23,493.63,5.37,1039,1039,1039,0,1.8,864,18.3,4.64,9,1.9,1120,"29112016","1009",144,1034.1,0.293,172,1033.9,"",0.6098,2016-11-29 10:09:00,13.8,0.6129,27,1.01,0.299999999999955,5.09999999999991,246.511244401043,151.342398244868,3961.95835631521,2214.9532230575,49.8002513941501,30.5742218676502
"B3",1,624,"B","B",538.23,493.63,5.37,1039,1039,1039,0,1.8,864,18.3,4.64,9,1.9,1120,"07122016","1222",153,1033.8,0.22,128,1033.6,"",0.6192,2016-12-07 12:22:00,21.9,0.6193,27,1.01,0.300000000000182,5.40000000000009,248.131657529191,153.923653557538,4210.0900138444,2368.87687661503,30.6335379665668,19.0029201922886
"B3",1,624,"B","B",538.23,493.63,5.37,1039,1039,1039,0,1.8,864,18.3,4.64,9,1.9,1120,"16122016","1113",171,1037.5,0.084,50,1033.4,"",0.6122,2016-12-16 11:13:00,30.85,0.6156,27,1.01,0.199999999999818,5.59999999999991,164.794852788041,101.618173504811,4374.88486663244,2470.49505011985,18.4128327137476,11.3539858664593
"C1",1,635.9,"C","C",534.77,484.04,3.06,1023.9,1023.9,1023.9,0,2,807.8,18.3,2.472,8.9,3.6,1120,"15112016","1440",8,1023.9,NA,NA,1023.9,"",NA,2016-11-15 14:40:00,0,NA,27,1.01,0,0,0,0,0,0,NA,NA
"C1",1,635.9,"C","C",534.77,484.04,3.06,1023.9,1023.9,1023.9,0,2,807.8,18.3,2.472,8.9,3.6,1120,"16112016","1503",27,NA,0.874,580,1023.2,"",0.6539,2016-11-16 15:03:00,1,0.6598,27,1.01,0.699999999999932,0.699999999999932,532.553176867688,351.901015935433,532.553176867688,351.901015935433,532.553176867688,351.901015935433
"C1",1,635.9,"C","C",534.77,484.04,3.06,1023.9,1023.9,1023.9,0,2,807.8,18.3,2.472,8.9,3.6,1120,"17112016","2239",45,1023.4,1.072,730,1022.6,"",0.6681,2016-11-17 22:39:00,2.3,0.6739,27,1.01,0.600000000000023,1.29999999999995,525.738438354388,354.800036196073,1058.29161522208,706.701052131506,404.414183349529,272.92310476621
"C1",1,635.9,"C","C",534.77,484.04,3.06,1023.9,1023.9,1023.9,0,2,807.8,18.3,2.472,8.9,3.6,1120,"18112016","1654",70,1022.6,0.589,382,1022.1,"",0.6521,2016-11-18 16:54:00,3.1,0.6588,27,1.01,0.5,1.79999999999995,431.036448952277,284.390257444148,1489.32806417435,991.091309575654,538.795561190346,355.487821805185
"C1",1,635.9,"C","C",534.77,484.04,3.06,1023.9,1023.9,1023.9,0,2,807.8,18.3,2.472,8.9,3.6,1120,"19112016","1857",81,1022.1,0.494,319,1021.8,"",0.6535,2016-11-19 18:57:00,4.2,0.6595,27,1.01,0.300000000000068,2.10000000000002,258.815742405685,170.942986696413,1748.14380658004,1162.03429627207,235.287038550623,155.402715178558
"C1",1,635.9,"C","C",534.77,484.04,3.06,1023.9,1023.9,1023.9,0,2,807.8,18.3,2.472,8.9,3.6,1120,"21112016","0941",103,1021.8,0.413,262,1021.5,"",0.6553,2016-11-21 09:41:00,5.8,0.662,27,1.01,0.299999999999955,2.39999999999998,259.510515539247,172.049733371833,2007.65432211928,1334.0840296439,162.19407221203,107.531083357395
"C1",1,635.9,"C","C",534.77,484.04,3.06,1023.9,1023.9,1023.9,0,2,807.8,18.3,2.472,8.9,3.6,1120,"24112016","1100",111,1021.4,0.376,226,1021.2,"",0.654,2016-11-24 11:00:00,8.85,0.6567,27,1.01,0.299999999999955,2.69999999999993,258.041981991847,169.710416344908,2265.69630411113,1503.79444598881,84.6039285219171,55.642759457347
"C1",1,635.9,"C","C",534.77,484.04,3.06,1023.9,1023.9,1023.9,0,2,807.8,18.3,2.472,8.9,3.6,1120,"29112016","0916",128,1021.2,0.353,212,1021,"",0.6525,2016-11-29 09:16:00,13.8,0.6555,27,1.01,0.200000000000045,2.89999999999998,171.807852722271,112.789610605949,2437.5041568334,1616.58405659476,34.7086571156102,22.7857799203938
"C1",1,635.9,"C","C",534.77,484.04,3.06,1023.9,1023.9,1023.9,0,2,807.8,18.3,2.472,8.9,3.6,1120,"07122016","1255",160,1020.9,0.377,223,1020.7,"",0.6491,2016-12-07 12:55:00,21.9,0.6492,27,1.01,0.299999999999955,3.19999999999993,255.991930000851,166.444762974506,2693.49608683425,1783.02881956926,31.6039419754137,20.5487361696921
"C1",1,635.9,"C","C",534.77,484.04,3.06,1023.9,1023.9,1023.9,0,2,807.8,18.3,2.472,8.9,3.6,1120,"16122016","1123",178,1020.7,0.276,164,1020.5,"",0.6403,2016-12-16 11:23:00,30.85,0.6436,27,1.01,0.200000000000045,3.39999999999998,169.65483626116,109.359938825117,2863.15092309541,1892.38875839438,18.9558476269453,12.2189875782254
"C2",1,626.3,"C","C",539.03,493.82,2.84,1037.9,1037.9,1037.9,0,2.2,807.8,18.3,2.294,9,3.9,1120,"15112016","1440",9,1037.9,NA,NA,1037.9,"",NA,2016-11-15 14:40:00,0,NA,27,1.01,0,0,0,0,0,0,NA,NA
"C2",1,626.3,"C","C",539.03,493.82,2.84,1037.9,1037.9,1037.9,0,2.2,807.8,18.3,2.294,9,3.9,1120,"16112016","1505",28,1037.9,0.83,530,1037.3,"",0.6652,2016-11-16 15:05:00,1,0.671,27,1.01,0.600000000000136,0.600000000000136,446.000460640993,299.696588774184,446.000460640993,299.696588774184,446.000460640993,299.696588774184
"C2",1,626.3,"C","C",539.03,493.82,2.84,1037.9,1037.9,1037.9,0,2.2,807.8,18.3,2.294,9,3.9,1120,"17112016","2243",46,1037.3,1.053,700,1036.6,"",0.6782,2016-11-17 22:43:00,2.3,0.6839,27,1.01,0.700000000000045,1.30000000000018,620.105138219952,424.675711710668,1066.10559886094,724.372300484853,477.003952476886,326.673624392822
"C2",1,626.3,"C","C",539.03,493.82,2.84,1037.9,1037.9,1037.9,0,2.2,807.8,18.3,2.294,9,3.9,1120,"18112016","1656",71,1036.6,0.542,353,1036.2,"",0.6597,2016-11-18 16:56:00,3.1,0.6655,27,1.01,0.399999999999864,1.70000000000005,347.319283250165,231.478877121592,1413.42488211111,955.851177606444,434.149104062706,289.34859640199
"C2",1,626.3,"C","C",539.03,493.82,2.84,1037.9,1037.9,1037.9,0,2.2,807.8,18.3,2.294,9,3.9,1120,"19112016","1858",82,1036.2,0.454,291,1035.9,"",0.655,2016-11-19 18:58:00,4.2,0.661,27,1.01,0.299999999999955,2,259.232160971707,171.606325333574,1672.65704308282,1127.45750294002,235.66560088337,156.005750303249
"C2",1,626.3,"C","C",539.03,493.82,2.84,1037.9,1037.9,1037.9,0,2.2,807.8,18.3,2.294,9,3.9,1120,"21112016","0943",104,1035.9,0.391,250,1035.6,"",0.6534,2016-11-21 09:43:00,5.8,0.6602,27,1.01,0.300000000000182,2.30000000000018,259.009905138786,171.252280405234,1931.6669482216,1298.70978334525,161.881190711741,107.032675253271
"C2",1,626.3,"C","C",539.03,493.82,2.84,1037.9,1037.9,1037.9,0,2.2,807.8,18.3,2.294,9,3.9,1120,"24112016","1103",112,1035.6,0.363,214,1035.3,"",0.6525,2016-11-24 11:03:00,8.85,0.6552,27,1.01,0.299999999999955,2.60000000000014,257.629359818648,169.053125214474,2189.29630804025,1467.76290855973,84.4686425634911,55.42725416868
"C2",1,626.3,"C","C",539.03,493.82,2.84,1037.9,1037.9,1037.9,0,2.2,807.8,18.3,2.294,9,3.9,1120,"29112016","0920",129,1035.3,0.35,210,1035.1,"",0.6521,2016-11-29 09:20:00,13.8,0.655,27,1.01,0.200000000000045,2.80000000000018,171.716295202315,112.643763025039,2361.01260324257,1580.40667158477,34.6901606469324,22.756315762634
