"method","id","elapsed.time","xCH4","vBg","vCH4","cvBg","cvCH4"
"vol","A2",2.85,0.5829,153.824486691353,89.827795671228,496.061214478032,264.449009092387
"gd","A2",0,0,0,0,0,0
"gd","A2",0.874305555555556,0.481180747320437,158.375507007665,76.2072448192014,158.375507007665,76.2072448192014
"gd","A2",2.01388888888889,0.547974963598378,183.861220779014,100.751345763533,342.236727786679,176.958590582735
"gd","A2",2.85,0.396577492894605,153.824486691353,61.0033292778564,496.061214478032,237.961919860591
"gd","A2",4.15138888888889,0.626884794523559,232.102036131923,145.50123722906,728.163250609956,383.463157089652
"vol","A2",4.15138888888889,0.6897,232.102036131923,160.297835709139,728.163250609956,424.746844801526
"vol","A2",5.14513888888889,0.7333,194.783669538163,143.001296604951,922.946920148119,567.748141406478
"vol","A2",5.93194444444444,0.723,136.530609489367,98.8310972678783,1059.47752963749,666.579238674356
"grav","A2",60.9166666666667,0.6772,95.9688855553297,65.0818075398441,1784.99840933386,1166.91675880654
"grav","A2",0,NA,0,0,0,0
"grav","A2",0.874305555555556,0.4637,163.169041246342,75.8389742220715,163.169041246342,75.8389742220715
"grav","A2",2.01388888888889,0.5483,168.145094997538,92.376044118968,331.31413624388,168.215018341039
"grav","A2",2.85,0.5829,166.028871239865,96.9547036499072,497.343007483745,265.169721990947
"grav","A2",4.15138888888889,0.6897,212.298004358623,146.620474301716,709.641011842368,411.790196292663
"grav","A2",5.14513888888889,0.7333,195.226467728454,143.326378864137,904.867479570822,555.1165751568
"grav","A2",5.93194444444444,0.723,128.603094621433,93.0925673079255,1033.47057419225,648.209142464725
"grav","A2",7.13194444444444,0.7193329441201,82.3248170619822,59.2915732507291,1115.79539125424,707.500715715454
"grav","A2",9.11111111111111,0.713284848484849,90.8402467973348,64.8761441536556,1206.63563805157,772.37685986911
"grav","A2",15.2194444444444,0.694618515429525,133.416120071279,92.7969730709229,1340.05175812285,865.173832940033
"man","A2",0,0,-9.09606252328734,0,-9.09606252328734,0
"man","A2",0.874305555555556,0.4637,148.02833262571,68.801758080987,138.932270102422,68.801758080987
"man","A2",2.01388888888889,0.5483,166.162432510882,91.2868032027045,305.094702613305,160.088561283691
"man","A2",2.85,0.5829,133.080095230276,77.713840360403,438.17479784358,237.802401644095
"vol","A2",7.13194444444444,0.7193329441201,94.6612225792942,68.1764383191774,1154.13875221678,734.755676993533
"vol","A2",9.11111111111111,0.713284848484849,77.3673453773078,55.254088671533,1231.50609759409,790.009765665066
"vol","A2",15.2194444444444,0.694618515429525,118.326528224118,82.3014763682448,1349.83262581821,872.311242033311
"vol","A2",20.9194444444444,0.6772,87.3795900731947,59.2569313600653,1437.2122158914,931.568173393376
"man","A2",7.13194444444444,0.7193329441201,80.1959153908399,57.7583062009755,1015.37299527576,650.112161503814
"man","A2",9.11111111111111,0.713284848484849,67.5996655483229,48.2782225001679,1082.97266082408,698.390384003982
"man","A2",15.2194444444444,0.694618515429525,106.040516732802,73.755997179526,1189.01317755689,772.146381183508
"man","A2",20.9194444444444,0.6772,74.576670518347,50.5745637198126,1263.58984807523,822.72094490332
"man","A2",30.96875,0.6772,51.0359246531411,34.6102823500929,1314.62577272837,857.331227253413
"man","A2",50.8645833333333,0.6772,64.4881202550229,43.7329599771584,1379.1138929834,901.064187230572
"man","A2",60.9166666666667,0.6772,33.915063656109,22.9996798732844,1413.02895663951,924.063867103856
"gd","A2",7.13194444444444,0.830690494696152,94.6612225792942,78.6341778129365,1154.13875221678,717.383461824634
"gd","A2",9.11111111111111,0.764296741479851,77.3673453773078,59.1316099688225,1231.50609759409,776.515071793456
"gd","A2",15.2194444444444,0.712767261371207,118.326528224118,84.3392754698673,1349.83262581821,860.854347263324
"gd","A2",20.9194444444444,0.767517333986178,87.3795900731947,67.0653500177835,1437.2122158914,927.919697281107
"gd","A2",30.96875,0.97186619656453,64.6244884916336,62.8063558352921,1501.83670438303,990.726053116399
"gd","A2",50.8645833333333,0.690305693118928,70.9959169344707,49.0088856480636,1572.8326213175,1039.73493876446
"vol","A2",30.96875,0.6772,64.6244884916336,43.8254388183816,1501.83670438303,975.393612211758
"vol","A2",50.8645833333333,0.6772,70.9959169344707,48.146256730053,1572.8326213175,1023.53986894181
"vol","A2",60.9166666666667,0.6772,39.1387747202851,26.5421671716959,1611.97139603779,1050.08203611351
"gd","A2",5.14513888888889,0.770075748594706,194.783669538163,149.998180133625,922.946920148119,533.461337223276
"gd","A2",5.93194444444444,0.771167338827568,136.530609489367,105.287946788421,1059.47752963749,638.749284011697
"gd","A2",60.9166666666667,0.57016242107065,39.1387747202851,22.3154585522565,1611.97139603779,1062.05039731672
"vol","A3",0,0,0,0,0,0
"vol","A3",0.874305555555556,0.4597,162.926527323978,75.0743353464494,162.926527323978,75.0743353464494
"grav","A3",30.96875,0.6737,112.983910697128,76.2258012359817,1560.55590781287,1024.30664325857
"grav","A3",50.8645833333333,0.6737,121.674980750746,82.0893244079752,1682.23088856362,1106.39596766654
"grav","A3",0.874305555555556,0.4597,163.051770356404,75.132045638141,163.051770356404,75.132045638141
"grav","A3",2.01388888888889,0.5577,169.679763886815,94.8134080068741,332.731534243219,169.945453645015
"grav","A3",2.85,0.6059,153.734647403974,93.3082950715722,486.466181647193,263.253748716587
"grav","A3",0,NA,0,0,0,0
"gd","A3",0,0,0,0,0,0
"gd","A3",0.874305555555556,0.561057562951251,162.926527323978,91.4111603605012,162.926527323978,91.4111603605012
"gd","A3",2.01388888888889,0.586379034040275,182.951016715751,107.278640458468,345.877544039729,198.68980081897
"gd","A3",2.85,0.567662774439864,148.363262311778,84.2203011088535,494.240806351507,282.910101927823
"gd","A3",4.15138888888889,0.706229939267918,243.934688954335,172.273980565559,738.175495305843,455.184082493382
"gd","A3",5.14513888888889,0.781925247832676,207.526526423837,162.270230605813,945.70202172968,617.454313099195
