"descrip","elapsed.time","mean.vol","sd.vol","mean.grav","sd.grav","mean.man","sd.man","mean.gd03","sd.gd03","mean.gd06","sd.gd06"
"Sludge C1",7.13194444444444,242.673278851454,14.0098160880918,249.910219548753,13.809761654491,208.007382493365,20.5784709611078,172.110023311368,39.5761830236703,172.110023311368,39.5761830236703
"Sludge C1",8.19375,271.795416774955,18.8142554723784,277.424167746385,3.59042198137249,232.555914983911,24.3636111105852,187.646641303531,39.7614115004762,187.646641303531,39.7614115004762
"Sludge C1",9.11111111111111,286.573392312558,17.7881899410145,294.078374905712,4.57117497915333,244.547178647817,23.8545671575369,197.171499168974,41.2462478539606,197.171499168974,41.2462478539606
"Sludge C1",11.9569444444444,304.38326890419,21.3180533195234,315.188329401961,7.23049475293209,259.931243342257,28.6438246317042,210.279498415977,47.6857183431052,210.279498415977,47.6857183431052
"Sludge C1",20.9194444444444,320.910328409364,27.4208562885833,347.428360411028,7.00426159469813,274.464767863175,34.8836690912751,231.31956921382,51.7997195982139,231.31956921382,51.7997195982139
"Sludge C1",30.96875,327.955743308613,25.4152135767645,368.935320525813,8.42908195721874,279.124935081569,33.3929055039107,245.227645172399,57.4381343494882,245.227645172399,57.4381343494882
"Sludge C1",50.8645833333333,341.185636003637,32.5947370939042,389.887441376009,9.41480051002936,290.378551118072,39.569597989723,259.002566727905,60.3995015589534,259.002566727905,60.3995015589534
"Sludge C1",60.9166666666667,348.632145889314,34.5133467843689,407.013570812333,12.3046152669268,296.792638450005,41.5413515256649,273.648072608704,66.1443190309389,273.648072608704,66.1443190309389
"Sludge C2",0,0,0,0,0,0,0,0,0,0,0
"Sludge C2",0.874305555555556,19.8988757010721,1.2964099435029,18.7390316193503,2.08828609271134,18.0021503064592,0.882732664714415,13.9965606447137,7.78938720796106,13.9965606447137,7.78938720796106
"Sludge C2",2.01388888888889,47.2565190345638,2.4524798727967,45.8212329547346,1.731177695141,40.7767512139531,2.17678235322266,33.0209122562595,16.3089262953638,33.0209122562595,16.3089262953638
"Sludge C2",2.85,65.8169968852794,3.92173699812702,64.3733623135011,3.75162873544791,56.0382262909962,3.34167556608426,44.9269445034356,22.4810153640318,44.9269445034356,22.4810153640318
