"id","elapsed.time","xCH4","vBg","vCH4","cvBg","cvCH4"
"C1-2",20.9194444444444,0.6998,76.4571413140454,53.5748926267352,1768.52649491893,1167.0985276005
"C1-2",30.96875,0.6998,55.5224478590091,38.9055767884625,1824.04894277794,1206.00410438896
"C1-2",50.8645833333333,0.6998,77.3673453773078,54.2126889675297,1901.41628815525,1260.21679335649
"C1-2",60.9166666666667,0.6998,38.2285706570227,26.7874463133676,1939.64485881227,1287.00423966986
"C1-3",0,0,0,0,0,0
"C1-3",0.874305555555556,0.4681,144.722446058729,67.9021881375573,144.722446058729,67.9021881375573
"C1-3",2.01388888888889,0.5489,165.657139513765,91.1085554278415,310.379585572494,159.010743565399
"C1-3",2.85,0.5917,127.428568856742,75.5340688033135,437.808154429236,234.544812368712
"C1-3",4.15138888888889,0.6807,221.179587372774,150.767022082042,658.98774180201,385.311834450755
"C1-3",5.14513888888889,0.7167,204.79591423405,146.958915301857,863.78365603606,532.270749752611
"C1-3",5.93194444444444,0.7271,168.387751703552,122.580716103613,1032.17140773961,654.851465856224
"C1-3",7.13194444444444,0.725202418682235,172.938772019864,125.566192799735,1205.11017975948,780.417658655958
"C1-3",8.19375,0.723523366694468,92.8408144527694,67.2536409512989,1297.95099421225,847.671299607257
"C1-3",9.11111111111111,0.722072727272727,72.8163250609956,52.6425295094922,1370.76731927324,900.313829116749
"C1-3",11.9569444444444,0.717572560467056,72.8163250609956,52.3154746164918,1443.58364433424,952.629303733241
"C1-3",20.9194444444444,0.7034,77.3673453773078,54.4907195933823,1520.95098971154,1007.12002332662
"C1-3",30.96875,0.7034,54.6122437957467,38.4640373600345,1575.56323350729,1045.58406068666
"C1-3",50.8645833333333,0.7034,46.4204072263847,32.6944317560294,1621.98364073368,1078.27849244269
"C1-3",60.9166666666667,0.7034,39.1387747202851,27.5658934413581,1661.12241545396,1105.84438588405
"C2-1",0,0,0,0,0,0
"C2-1",0.874305555555556,0.4892,162.016323260715,79.4354526561257,162.016323260715,79.4354526561257
"C2-1",2.01388888888889,0.4903,200.244893917738,98.3989374298499,362.261217178453,177.834390085976
"C2-1",2.85,0.5168,136.530609489367,70.708116131907,498.79182666782,248.542506217883
"C2-1",4.15138888888889,0.6334,187.502037032064,118.95409297531,686.293863699883,367.496599193193
"C2-1",5.14513888888889,0.6889,182.951016715751,126.206293602499,869.244880415635,493.702892795692
"C2-1",5.93194444444444,0.7098,150.183670438303,106.735539054727,1019.42855085394,600.438431850419
"C2-1",7.13194444444444,0.709407673060884,220.269383309512,156.459198297994,1239.69793416345,756.897630148413
"C2-1",8.19375,0.709060527291261,180.220404525964,127.949623223908,1419.91833868941,884.847253372321
"C2-1",9.11111111111111,0.708760606060606,81.91836569362,58.1343955412722,1501.83670438303,942.981648913593
"C2-1",11.9569444444444,0.707830191826522,91.0204063262445,64.5092406287545,1592.85711070928,1007.49088954235
"C2-1",20.9194444444444,0.7049,40.95918284681,28.9093569384255,1633.81629355609,1036.40024648077
"C2-1",30.96875,0.7049,16.383673138724,11.5637427753702,1650.19996669481,1047.96398925614
"C2-1",50.8645833333333,0.7049,19.1142853285113,13.4910332379319,1669.31425202332,1061.45502249408
"C2-1",60.9166666666667,0.7049,13.6530609489367,9.63645231280851,1682.96731297226,1071.09147480688
"C2-2",0,0,0,0,0,0
"C2-2",0.874305555555556,0.4764,157.465302944403,75.1882702100949,157.465302944403,75.1882702100949
"C2-2",2.01388888888889,0.4766,205.706118297313,98.2639764644795,363.171421241715,173.452246674574
"C2-2",2.85,0.5092,126.51836479348,64.5614286332751,489.689786035195,238.013675307849
"C2-2",4.15138888888889,0.6179,182.040812652489,112.670890072026,671.730598687684,350.684565379876
"C2-2",5.14513888888889,0.6762,154.734690754616,104.779654207616,826.4652894423,455.464219587492
"C2-2",5.93194444444444,0.7098,118.326528224118,84.0946671340276,944.791817666418,539.55888672152
"C2-2",7.13194444444444,0.71038448707256,194.783669538163,138.546398811816,1139.57548720458,678.105285533336
"C2-2",8.19375,0.710901663423223,113.775507907806,80.985368276482,1253.35099511239,759.090653809818
"C2-2",9.11111111111111,0.711348484848485,104.673467275181,74.5532226885887,1358.02446238757,833.643876498407
"C2-2",11.9569444444444,0.712734612176814,77.3673453773078,55.2115977570521,1435.39180776488,888.855474255459
"C2-2",20.9194444444444,0.7171,60.0734681753213,43.13193223755,1495.4652759402,931.987406493009
"C2-2",30.96875,0.7171,30.9469381509231,22.2194802435864,1526.41221409112,954.206886736595
"C2-2",50.8645833333333,0.7171,30.0367340876607,21.565966118775,1556.44894817878,975.77285285537
"C2-2",60.9166666666667,0.7171,4.55102031631222,3.26757062405682,1560.99996849509,979.040423479427
"C2-3",0,0,0,0,0,0
"C2-3",0.874305555555556,0.4856,152.914282628091,74.4222373167963,152.914282628091,74.4222373167963
"C2-3",2.01388888888889,0.4916,209.346934550362,103.143787661885,362.261217178453,177.566024978681
"C2-3",2.85,0.5303,126.51836479348,67.2304922696049,488.779581971933,244.796517248286
"C2-3",4.15138888888889,0.6387,186.591832968801,119.36440211941,675.371414940734,364.160919367696
"C2-3",5.14513888888889,0.6865,168.387751703552,115.756555479223,843.759166644286,479.917474846919
"C2-3",5.93194444444444,0.7071,151.093874501566,106.975212393619,994.853041145852,586.892687240537
"C2-3",7.13194444444444,0.707564386989158,191.142853285113,135.41869104264,1185.99589443097,722.311378283178
"C2-3",8.19375,0.70797529422667,182.951016715751,129.69007195958,1368.94691114672,852.001450242758
"C2-3",9.11111111111111,0.708330303030303,79.1877535038327,56.162569860243,1448.13466465055,908.164020103001
"C2-3",11.9569444444444,0.709431609674729,103.763263211919,73.7063990453122,1551.89792786247,981.870419148313
"C2-3",20.9194444444444,0.7129,76.4571413140454,54.5746710622009,1628.35506917651,1036.44509021051
"C2-3",30.96875,0.7129,56.4326519222716,40.2813048316245,1684.78772109878,1076.72639504214
"C2-3",50.8645833333333,0.7129,47.3306112896471,33.7843201813625,1732.11833238843,1110.5107152235
"C2-3",60.9166666666667,0.7129,20.9346934550362,14.9430646956026,1753.05302584347,1125.4537799191
"C3-1",0,0,0,0,0,0
"C3-1",0.874305555555556,0.3948,172.938772019864,68.4570237173783,172.938772019864,68.4570237173783
"C3-1",2.01388888888889,0.5645,191.142853285113,108.105592248865,364.081625304978,176.562615966244
"C3-1",2.85,0.5908,149.273466375041,88.3485279988417,513.355091680019,264.911143965085
"C3-1",4.15138888888889,0.6809,255.767341776747,174.394830469804,769.122433456766,439.305974434889
"C3-1",5.14513888888889,0.716,201.155097981,144.205770552414,970.277531437766,583.511744987303
"C3-1",5.93194444444444,0.7375,127.428568856742,94.0863472685524,1097.70610029451,677.598092255855
"C3-1",7.13194444444444,0.73240775646372,77.3673453773078,56.730690625402,1175.07344567182,734.328782881257
"C3-1",8.19375,0.727901946066166,50.0612234794345,36.4829820390708,1225.13466915125,770.811764920328
"C3-1",11.9569444444444,0.711932693911593,49.151019416172,35.0362614707426,1274.28568856742,805.848026391071
