"date","exper","id","time","temp.air","pres.amb","mass.init","vol","mass.final","notes","date.time.e","etime","date.time","start.time","time.d","mass.drift","mass.init.orig","mass.final.orig","temp.grav","pres.grav","mass.tot","cmass.tot","mass.vent","mass.leak","cmass.vent","cmass.leak","vBg","cvBg","xCH4","xCH4.lim.flag","vCH4","cvCH4","rvBg","rvCH4"
"19.10.2018","IIS-BMP2","I4","10.48",20.5,1017.29,722.96,79,722.87,NA,2014-10-19 10:48:00,21.8006944444423,2018-10-19 10:48:00,2018-09-27 15:35:00,21.8006944444444,0.0200000000000387,722.94,722.85,30,1500,0.0799999999999272,0.904999999999859,0.0899999999999181,-0.00999999999999091,0.894999999999868,0.0149999999999864,72.023268078544,773.959256772578,0.615588436727259,"",44.3366910044592,476.440368967223,20.232833794987,12.4550985264185
"25.10.2018","IIS-BMP2","I4","14.08",20.6,997.15,722.81,51,722.76,NA,2014-10-25 14:08:00,27.9395833333328,2018-10-25 14:08:00,2018-09-27 15:35:00,27.9395833333333,0.0200000000000387,722.79,722.74,30,1500,0.110000000000127,1.01499999999999,0.0499999999999545,0.0600000000001728,0.944999999999823,0.0750000000001592,45.5306863939538,819.489943166532,0.615588436727259,"",28.0281640603731,504.468533027596,7.41676339449022,4.56567378359019
"29.10.2018","IIS-BMP2","I4","09.46",20,1010.42,722.76,55,722.71,NA,2014-10-29 09:46:00,31.757638888892,2018-10-29 09:46:00,2018-09-27 15:35:00,31.7576388888889,0.0300000000000296,722.73,722.68,30,1500,0.0499999999999545,1.06499999999994,0.0499999999999545,0,0.994999999999777,0.0750000000001592,49.9181042554154,869.408047421948,0.615588436727259,"",30.7290077629795,535.197540790575,13.0742215583482,8.04833961052938
"27.09.2018","IIS-BMP2","L1","15.35",20.8,1007.24,467.76,0,467.76,NA,2014-09-27 15:35:00,0,2018-09-27 15:35:00,2018-09-27 15:35:00,0,0,467.76,467.76,30,1500,0,0,0,0,0,0,0,0,0.509792487048781,"",0,0,NA,NA
"28.09.2018","IIS-BMP2","L1","09.00",20.3,1011.22,467.76,62,467.69,NA,2014-09-28 09:00:00,0.725694444445253,2018-09-28 09:00:00,2018-09-27 15:35:00,0.725694444444444,0.0100000000000477,467.75,467.68,30,1500,0.0699999999999363,0.0699999999999363,0.0699999999999932,-5.6843418860808e-14,0.0699999999999932,-5.6843418860808e-14,56.2343327495513,56.2343327495513,0.509792487048781,"",28.6678403499225,28.6678403499225,77.4903724012956,39.5040096687927
"29.09.2018","IIS-BMP2","L1","06.05",19,1000,467.69,57.5,467.63,"Pressure not measured.",2014-09-29 06:05:00,1.60416666666424,2018-09-29 06:05:00,2018-09-27 15:35:00,1.60416666666667,0.0300000000000296,467.66,467.6,30,1500,0.0600000000000023,0.129999999999939,0.0600000000000023,0,0.129999999999995,-5.6843418860808e-14,51.8879288400645,108.122261589616,0.509792487048781,"",26.4520762911867,55.1199166411091,59.0661008139864,30.1114544342362
"30.09.2018","IIS-BMP2","L1","15.02",20.3,1002.34,467.65,347,467.22,NA,2014-09-30 15:02:00,2.97708333333139,2018-09-30 15:02:00,2018-09-27 15:35:00,2.97708333333333,0.0300000000000296,467.62,467.19,30,1500,0.410000000000025,0.539999999999964,0.430000000000007,-0.0199999999999818,0.560000000000002,-0.0200000000000387,311.900472751296,420.022734340912,0.509792487048781,"",159.004517715574,214.124434356683,227.180920972113,115.815126712406
"01.10.2018","IIS-BMP2","L1","08.50",20.3,1000.62,467.22,349,466.79,NA,2014-10-01 08:50:00,3.71875,2018-10-01 08:50:00,2018-09-27 15:35:00,3.71875,0.0200000000000387,467.2,466.77,30,1500,0.430000000000007,0.96999999999997,0.430000000000007,0,0.990000000000009,-0.0200000000000387,313.146781569137,733.169515910049,0.509792487048781,"",159.639876587452,373.764310944135,422.22037964378,215.244777421283
"02.10.2018","IIS-BMP2","L1","09.45",20.3,1000,466.78,326,466.41,"Forgot to measure initial mass. Set to final value from previous (assumes no leakage). Pressure not measured.",2014-10-02 09:45:00,4.75694444444525,2018-10-02 09:45:00,2018-09-27 15:35:00,4.75694444444444,0.0100000000000477,466.77,466.4,30,1500,0.379999999999995,1.34999999999997,0.370000000000005,0.00999999999999091,1.36000000000001,-0.0100000000000477,292.323943379122,1025.49345928917,0.509792487048781,"",149.02455011915,522.788861063285,281.569550813335,143.542041586338
"03.10.2018","IIS-BMP2","L1","08.07",20,1002.27,466.41,147,466.23,NA,2014-10-03 08:07:00,5.68888888888614,2018-10-03 08:07:00,2018-09-27 15:35:00,5.68888888888889,0.0200000000000387,466.39,466.21,30,1500,0.180000000000007,1.52999999999997,0.180000000000007,0,1.54000000000002,-0.0100000000000477,132.315878988193,1157.80933827736,0.509792487048781,"",67.4536410254363,590.242502088721,141.978290419521,72.3794657799019
