"id","exper","date","time","time.d","pres","pres.resid","xCH4.man","vol.hs.man","temperature.man","rh.resid","pres.resid.prev","rh.resid.prev","temp.prev","vBg.man","vCH4.man","cvBg.man","cvCH4.man","rvBg.man","rvCH4.man","mass.final","xCH4.grav","vol.hs.grav","temperature.grav","pressure","massloss","cmassloss","vBg.grav","vCH4.grav","cvBg.grav","cvCH4.grav","rvBg.grav","rvCH4.grav","vBg.diff","vCH4.diff","cvBg.diff","cvCH4.diff","xCH4.grav2","objective","cvBg.grav2","cvCH4.grav2","vBg.grav2","vCH4.grav2","time.d.end"
"3","TSR1","29042016",1600,3.1,1.432,1.005,0.0118705035971223,502.87,35,0.7018156424581,1.003,0.715406562054208,35,181.609597320614,2.16513361185492,315.897895085449,47.8874013414388,151.341331100511,1.8042780098791,474.47,0.0118705035971223,502.87,35,1.5,0.25,0.489999999999952,125.420723294874,1.49525480830998,327.338405442382,70.2438686201596,104.517269412395,1.24604567359165,56.1888740257394,0.66987880354494,-11.4405103569324,-22.3564672787208,0.361943733660919,0.00384197811433751,315.894053107335,114.655119101585,181.607613302589,91.0842123805007,12.9
"3","TSR1","30042016",1320,4,1.305,1.005,0.488275068335491,502.87,35,0.770114942528736,1.005,0.7018156424581,35,124.536082554004,60.9439586586316,440.433977639453,108.83136000007,138.373425060004,67.7155096207018,474.28,0.488275068335491,502.87,35,1.5,0.190000000000055,0.680000000000007,136.501062321784,66.7992354375743,463.839467764165,137.043104057734,151.667847024204,74.2213727084159,-11.9649797677801,-5.8552767789427,-23.4054901247124,-28.2117440576635,0.367654463294708,0.00567070038448492,440.428306939068,162.373499593416,124.534253831733,47.7183804918311,12.9
"3","TSR1","02052016",1100,5.9,1.529,1.008,0.489594409843536,502.87,35,0.659254414650098,1.005,0.770114942528736,35,665.184799507823,219.113743517718,665.184799507823,219.113743517718,118.289906246511,58.0433597461303,473.97,0.489594409843536,502.87,35,1.5,0.309999999999945,0.989999999999952,686.817955023779,246.455825416109,686.817955023779,246.455825416109,117.357098557692,57.5856428201971,-21.6331555159564,-27.3420818983905,-21.6331555159564,-27.3420818983905,0.411779923120085,0.00554908092851747,665.179250426894,274.612369646016,224.750943487826,112.2388700526,12.9
"3","TSR1","04052016",1430,8.1,1.6,1.007,0.510352477199901,502.87,35,0.629375,1.008,0.659254414650098,35,251.903875967219,128.835057321717,917.088675475042,347.948800839435,114.501761803281,58.5613896916895,473.63,0.510352477199901,502.87,35,1.5,0.340000000000032,1.32999999999998,249.244344134125,127.474852224237,936.062299157905,373.930677640346,113.29288369733,57.9431146473805,2.65953183309341,1.36020509747976,-18.973623682863,-25.9818768009108,0.441971342367456,0.0176136573296617,917.071061817712,406.308559475894,251.891811390818,131.696189829878,12.9
"3","TSR1","09052016",1045,12.9,1.663,0.997,0.524020858759569,502.87,35,0.599518941671678,1.007,0.629375,35,279.309615155248,146.668712542839,1196.39829063029,494.617513382274,58.1895031573434,30.5559817797581,473.25,0.524020858759569,502.87,35,1.5,0.379999999999995,1.70999999999998,282.127222535913,148.148270798446,1218.18952169382,522.078948438791,58.7765046949819,30.8642230830095,-2.81760738066487,-1.47955825560683,-21.7912310635279,-27.4614350565176,0.458618108520727,0.00264910975920429,1196.39564152053,549.988068080354,279.324579702819,143.67950860446,12.9
"4","TSR1","28042016",1030,1.9,1.403,1.003,0.301514456172556,502.423333333333,35,0.714896650035638,1.013,1,20,-1068.73582108786,-512.921793916097,134.608440066327,40.7104806058335,NA,NA,473.83,0.301514456172556,502.423333333333,35,1.5,0.170000000000016,0.170000000000016,-1062.2777085339,-510.806980747044,165.297469403317,49.991957554974,86.998668107009,26.3115566078811,-6.45811255396302,-2.11481316905355,-30.6890293369899,-9.28147694914054,0.590714987452974,0.00284113747923698,134.605598928848,79.6558157119478,134.605598928848,79.6558157119478,12.9
"4","TSR1","29042016",1600,3.1,1.442,1.005,0.385146010577144,502.423333333333,35,0.696948682385576,1.003,0.714896650035638,35,185.82984743687,71.7641785246939,320.438287503198,112.474659130527,154.858206197392,59.8034821039116,473.56,0.385146010577144,502.423333333333,35,1.5,0.269999999999982,0.439999999999998,177.410206418431,68.5126630685107,342.707675821748,118.504620623485,147.841838682025,57.0938858904256,8.41964101843973,3.2515154561832,-22.2693883185502,-6.02996149295734,0.503200340603781,0.00273480942331616,320.435552693774,161.593610295839,185.829953764926,81.9377945838908,12.9
"4","TSR1","30042016",1320,4,1.311,1.005,0.455119896305898,502.423333333333,35,0.766590389016018,1.005,0.696948682385576,35,126.941195576314,57.9111645448964,447.379483079512,170.385823675424,141.045772862571,64.3457383832182,473.37,0.455119896305898,502.423333333333,35,1.5,0.189999999999998,0.629999999999995,132.524160631956,60.4581392012939,475.231836453703,178.962759824779,147.24906736884,67.1757102236599,-5.58296505564169,-2.54697465639754,-27.8523533741919,-8.57693614935488,0.475369677786657,0.00400357125181472,447.383486650763,213.160559133546,126.947933956989,51.5669488377072,12.9
"4","TSR1","02052016",1100,5.9,1.532,1.008,0.485770363101079,502.423333333333,35,0.657963446475196,1.005,0.766590389016018,35,673.161457108856,280.31069078271,673.161457108856,280.31069078271,118.832617910181,57.8551932143612,473.07,0.485770363101079,502.423333333333,35,1.5,0.300000000000011,0.930000000000007,690.2723939489,283.658029706085,690.2723939489,283.658029706085,113.179240786946,55.1027736217401,-17.1109368400442,-3.34733892337471,-17.1109368400442,-3.34733892337471,0.496533516679534,0.00617339126017669,673.167630500116,334.986278874659,225.784143849353,121.825719741113,12.9
"4","TSR1","04052016",1430,8.1,1.609,1.007,0.499226737759457,502.423333333333,35,0.625854568054692,1.008,0.657963446475196,35,255.602878801576,127.883256692638,928.764335910432,408.193947475348,116.183126727989,58.128753042108,472.72,0.499226737759457,502.423333333333,35,1.5,0.349999999999966,1.27999999999997,253.966254912701,127.064420872511,944.238648861601,410.722450578596,115.439206778501,57.7565549420504,1.63662388887462,0.818835820126822,-15.4743129511696,-2.52850310324789,0.499200986576565,0.00468049469691323,928.769016405128,464.657885891038,255.601385905012,129.671607016379,12.9
