"exper","id","date","inject.date.time","xCH4.oa","xCH4.GC"
2,"C6","24012017","03-02-2017 12:09:55",0.6462,0.6366
2,"A3","24012017","03-02-2017 12:27:46",0.5627,0.5524
2,"A2","24012017","03-02-2017 12:45:44",0.5672,0.5569
2,"I3","24012017","03-02-2017 13:03:44",0.5933,0.5831
2,"I2","24012017","03-02-2017 13:21:44",0.576,0.5657
2,"L2","24012017","03-02-2017 13:39:47",0.5279,0.5175
2,"I1","24012017","03-02-2017 13:57:45",0.5836,0.5734
2,"E1","24012017","03-02-2017 14:15:41",0.7444,0.7363
2,"L1","24012017","03-02-2017 14:33:44",0.5415,0.531
2,"L3","24012017","03-02-2017 14:51:39",0.5207,0.5102
2,"E1","28012017","09-02-2017 10:13:52",0.725,0.7158
2,"E2","28012017","09-02-2017 10:30:25",0.7246,0.7155
2,"C6","28012017","09-02-2017 10:47:09",0.6413,0.6309
2,"C3","28012017","09-02-2017 11:04:12",0.6418,0.6314
2,"E3","28012017","09-02-2017 11:21:39",0.7237,0.7146
2,"C2","28012017","09-02-2017 11:39:14",0.6423,0.6318
2,"C4","28012017","09-02-2017 11:56:49",0.6407,0.6303
2,"C1","28012017","09-02-2017 12:13:54",0.6286,0.618
2,"B2","28012017","09-02-2017 12:30:42",0.5885,0.5775
2,"C5","28012017","09-02-2017 12:47:48",0.6461,0.6357
2,"I1","28012017","09-02-2017 13:04:38",0.6196,0.6088
2,"A3","28012017","09-02-2017 13:21:17",0.5709,0.5598
2,"I3","28012017","09-02-2017 13:38:10",0.6202,0.6095
2,"L1","28012017","09-02-2017 13:56:39",0.5364,0.5251
2,"B1","28012017","09-02-2017 14:13:33",0.589,0.578
2,"A1","28012017","09-02-2017 14:30:48",0.5765,0.5654
2,"L2","28012017","09-02-2017 14:48:17",0.5464,0.5352
2,"I2","28012017","09-02-2017 15:05:48",0.6211,0.6104
2,"A2","28012017","09-02-2017 15:23:24",0.5734,0.5623
2,"L3","29112016","01-12-2016 20:30:35",0.5854,0.5885
