"descrip","elapsed.time","mean","sd"
"L",8.91666666666667,329.541353912841,2.68770351874028
"L",10.8784722222222,342.872842825105,2.56093581238983
"L",13.125,348.629591545212,2.81763773071363
"L",15.8541666666667,353.842167632625,2.12499314299776
"L",18.9097222222222,357.359689367261,2.39900709941695
"L",22.8611111111111,362.552446722971,3.73434637274537
"L",27.1458333333333,366.590396796767,3.78044477828567
"C",0,0,0
"C",0.840277777777778,70.2066269319074,3.0136508323844
"C",1.84375,171.17416500928,4.33212907895939
"C",2.85069444444444,272.086829850155,5.11539997953445
"C",3.80902777777778,331.243556837147,6.20909580487787
"C",4.86111111111111,368.105704845929,6.80398523422312
"C",5.85902777777778,389.51036015657,6.95054308189207
"C",6.83958333333333,406.294247941458,7.31100641070554
"C",8.91666666666667,427.103933625205,7.50355483910543
