"id","elapsed.time","descrip","xCH4"
"L3",8.91666666666667,"L",0.593267020267432
"L3",10.8784722222222,"L",0.632038672898289
"L3",13.125,"L",0.517930920348626
"L3",15.8541666666667,"L",0.543675218957237
"L3",18.9097222222222,"L",0.559055034592192
"L3",22.8611111111111,"L",0.332552388766554
"L3",27.1458333333333,"L",0.47855258240625
"C1",0,"C",0
"C1",0.840277777777778,"C",0.541532169042405
"C1",1.84375,"C",0.568711374961847
"C1",2.85069444444444,"C",0.589056183448244
"C1",3.80902777777778,"C",0.604709212879285
"C1",4.86111111111111,"C",0.603902393004394
"C1",5.85902777777778,"C",0.609522511616815
"C1",6.83958333333333,"C",0.604902186458583
"C1",8.91666666666667,"C",0.610773905129117
"C1",10.8784722222222,"C",0.617202661467973
"C1",13.125,"C",0.616015887648589
