"id","date","day","time","pres.init","pres.resid","mass.init","mass.final","cCH4","cCO2","xCO2","notes","date.time","start.time","time.d","xCH4","vol.hs","temperature","pres.init.abs","pres.resid.abs","rh.resid","pres.resid.prev","rh.resid.prev","temp.prev","xCH4.prev","vBg","vCH4","cvBg","cvCH4","rvBg","rvCH4"
"I1","23112018",10.878472222219,"0935",170,0,183.5817,183.5681,49.61,29.3,0.371309086300849,NA,2018-11-23 09:35:00,2018-11-12 12:30:00,10.8784722222222,0.628690913699151,79.961,30,1183.25,1013.25,0.856327910416226,1013.25,0.84209432786204,30,0.617650892973537,11.6074692882293,7.29751047255168,118.694955967111,63.3762200984574,5.91672770798235,3.7197929488405
"I1","25112018",13.125,"1530",178,0,183.5679,183.5539,50.71,29.33,0.366441779110445,NA,2018-11-25 15:30:00,2018-11-12 12:30:00,13.125,0.633558220889555,79.961,30,1191.25,1013.25,0.850577124868835,1013.25,0.856327910416226,30,0.628690913699151,12.2193121406478,7.74164566032295,130.914268107759,71.1178657587803,5.43919922180303,3.44604938202938
"I1","28112018",15.8541666666642,"0900",178,0,183.5526,183.5397,52.452556,29.966672,0.363588360716021,NA,2018-11-28 09:00:00,2018-11-12 12:30:00,15.8541666666667,0.636411639283979,79.961,30,1191.25,1013.25,0.850577124868835,1013.25,0.850577124868835,30,0.633558220889555,12.2018963385081,7.76542885116313,143.116164446267,78.8832946099435,4.47092384922435,2.8453479759987
"I1","01122018",18.909722222219,"1020",170,0,183.538,183.526,55.31,31.04,0.359467284308049,NA,2018-12-01 10:20:00,2018-11-12 12:30:00,18.9097222222222,0.640532715691951,79.961,30,1183.25,1013.25,0.856327910416226,1013.25,0.850577124868835,30,0.636411639283979,11.6331587723952,7.45141878055794,154.749323218662,86.3347133905014,3.80721559823843,2.43864614636442
"I1","05122018",22.8611111111095,"0910",180,0,183.5203,183.5077,56.78,31.03,0.353376608586721,NA,2018-12-05 09:10:00,2018-11-12 12:30:00,22.8611111111111,0.646623391413279,79.961,30,1193.25,1013.25,0.849151477058454,1013.25,0.856327910416226,30,0.640532715691951,12.3614965315623,7.9932328101823,167.110819750224,94.3279462006837,3.12839279533387,2.02289195899165
"I1","09122018",27.1458333333285,"1600",200,0,183.5068,183.4914,58.15,31.18,0.349042874734132,NA,2018-12-09 16:00:00,2018-11-12 12:30:00,27.1458333333333,0.650957125265868,79.961,30,1213.25,1013.25,0.835153513290748,1013.25,0.849151477058454,30,0.646623391413279,13.7616071626968,8.95821623766728,180.872426912921,103.286162438351,3.21178514007834,2.09073442175703
"I2","12112018",0,"1230",0,0,NA,184.28255,0,0,NA,NA,2018-11-12 12:30:00,2018-11-12 12:30:00,0,0,79.969,30,1013.25,1013.25,1,1013.25,1,20,0,-3.76163819295645,0,-3.76163819295645,0,NA,NA
"I2","13112018",0.840277777773736,"0840",344,0,184.2815,184.25,11.77,22.2,0.653517809832205,NA,2018-11-13 08:40:00,2018-11-12 12:30:00,0.840277777777778,0.346482190167795,79.969,30,1357.25,1013.25,0.746546325290109,1013.25,1,30,0,24.4581621489489,8.47431758884687,20.6965239559924,8.47431758884687,29.107234292964,10.0851382875533
"I2","14112018",1.84375,"0845",266,0,184.2496,184.2266,21.61,24.25,0.528783253379852,NA,2018-11-14 08:45:00,2018-11-12 12:30:00,1.84375,0.471216746620148,79.969,30,1279.25,1013.25,0.792065663474692,1013.25,0.746546325290109,30,0.346482190167795,18.144775385499,8.55012202530818,38.8412993414914,17.0244396141551,18.0819906955838,8.52053682798878
"I2","15112018",2.85069444444525,"0855",208,0,184.2241,184.2067,28.68,26.19,0.477310005467469,NA,2018-11-15 08:55:00,2018-11-12 12:30:00,2.85069444444444,0.522689994532531,79.969,30,1221.25,1013.25,0.829682702149437,1013.25,0.792065663474692,30,0.471216746620148,14.1588812503774,7.40070556334652,53.0001805918688,24.4251451775016,14.0612337934782,7.34966621463378
"I2","16112018",3.80902777777374,"0755",178,0,184.2073,184.1926,33.57,26.88,0.444665012406948,NA,2018-11-16 07:55:00,2018-11-12 12:30:00,3.80902777777778,0.555334987593052,79.969,30,1191.25,1013.25,0.850577124868835,1013.25,0.829682702149437,30,0.522689994532531,12.1398336751323,6.74167438336132,65.1400142670011,31.1668195608629,12.6676525305728,7.03479066089877
"I2","17112018",4.86111111110949,"0910",147,0,184.1919,184.1801,36.52,27.79,0.432125641424351,NA,2018-11-17 09:10:00,2018-11-12 12:30:00,4.86111111111111,0.567874358575649,79.969,30,1160.25,1013.25,0.873303167420814,1013.25,0.850577124868835,30,0.555334987593052,9.99903853940859,5.67819759693985,75.1390528064097,36.8450171578027,9.50403663151708,5.39709870600223
